constituent,block_bits,dimension,message_exponent,message_bits,outer_rows,output_bits,bad_weight,inner,configuration,comparison,reference_rm2sub_state_bits,step_bits,state_bits,persistence_exponent,epochs_per_region,a_minimum_distance,kernel_minimum_distance,kernel_weight_four,margin_bits,dominant_first_weight,dominant_second_weight,dominant_pointwise_margin_bits
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RandomStepConv,m22,same-live-state-reset-rate,16,1,22,22.0,512,,,,17.92870541532832,8,8,17.92870544133366
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RM2Sub,t64_s16,rm2sub,16,64,16,22.0,8,16,6,0,17.320511990818634,8,8,17.320512074490782
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RandomStepConv,m25,same-live-state-reset-rate,19,1,25,25.0,512,,,,20.36681205649522,8,8,20.366812056709204
"extended BCH [32,16,8]",32,16,13,8192,512,16384,1638,RM2Sub,t64_s19,rm2sub,19,64,19,25.0,8,16,6,0,19.43477692448969,8,8,19.434776925480932
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RandomStepConv,m22,same-live-state-reset-rate,16,1,22,22.0,128,,,,80.80747582412238,22,22,80.95598845204056
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RM2Sub,t64_s16,rm2sub,16,64,16,22.0,2,16,6,0,78.29210929944058,22,22,78.52676747409357
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RandomStepConv,m25,same-live-state-reset-rate,19,1,25,25.0,128,,,,81.53360475825949,22,22,81.65412541364033
"extended BCH [128,64,22]",128,64,13,8192,128,16384,1638,RM2Sub,t64_s19,rm2sub,19,64,19,25.0,2,16,6,0,79.98421365315383,22,22,80.14903239961491
