family,outer_model,constituent,block_bits,dimension,message_exponent,message_bits,outer_rows,output_bits,bad_weight,occupation,configuration,step_bits,state_bits,persistence_exponent,epochs_per_region,a_minimum_distance,kernel_minimum_distance,kernel_weight_four,margin_bits,dominant_weight,dominant_first_weight,dominant_second_weight,dominant_log_surprisal
structured,fixed-exact-spectrum,"RM(4,9) [512,256,32]",512,256,16,65536,256,131072,13107,1,t64_s14,64,14,20.0,4,24,6,0,42.57798175660809,32,,,-5.8999999999999995
random-control,single-reused-constituent-Q1-ensemble-average,"random full-rank [512,256]",512,256,16,65536,256,131072,13107,1,t64_s14,64,14,20.0,4,24,6,0,139.56650291741653,52,,,-5.199999999999999
