series,outer_model,block_bits,dimension,message_exponent,message_bits,memory_bits,distance_cutoff,relative_distance_lower,q1_margin_bits_diagnostic,dominant_weight,dominant_log_surprisal
"RM(4,9) [512,256,32] exact",structured,512,256,11,2048,13,410,0.10009765625,38.92544524829276,32,-2.5
"RM(4,9) [512,256,32] exact",structured,512,256,12,4096,14,820,0.10009765625,38.085887237009466,32,-3.0
"RM(4,9) [512,256,32] exact",structured,512,256,13,8192,15,1639,0.10003662109375,37.08165472484826,32,-4.0
"RM(4,9) [512,256,32] exact",structured,512,256,14,16384,16,3277,0.100006103515625,36.91068389950989,32,-4.5
"RM(4,9) [512,256,32] exact",structured,512,256,15,32768,17,6554,0.100006103515625,35.97522710727816,32,-5.200000000000017
"RM(4,9) [512,256,32] exact",structured,512,256,16,65536,18,13108,0.100006103515625,35.00509859855364,32,-5.900000000000015
"RM(4,9) [512,256,32] exact",structured,512,256,17,131072,19,26215,0.10000228881835938,34.018750582992,32,-6.600000000000012
"RM(4,9) [512,256,32] exact",structured,512,256,18,262144,20,52429,0.10000038146972656,33.021382562392006,32,-7.30000000000001
"RM(4,9) [512,256,32] exact",structured,512,256,19,524288,21,104858,0.10000038146972656,32.017065602581255,32,-8.000000000000007
"RM(4,9) [512,256,32] exact",structured,512,256,20,1048576,22,209716,0.10000038146972656,31.0087960950569,32,-8.700000000000005
"random full-rank [512,256] reused",random,512,256,8,256,10,52,0.1015625,-0.5747845523080277,251,0.5
"random full-rank [512,256] reused",random,512,256,9,512,11,103,0.1005859375,103.51777822139483,80,-0.5
"random full-rank [512,256] reused",random,512,256,10,1024,12,205,0.10009765625,121.60922900163392,79,-1.0
"random full-rank [512,256] reused",random,512,256,11,2048,13,410,0.10009765625,127.0639759162799,58,-1.5
"random full-rank [512,256] reused",random,512,256,12,4096,14,820,0.10009765625,128.77914742590332,64,-2.5
"random full-rank [512,256] reused",random,512,256,13,8192,15,1639,0.10003662109375,129.46134799791324,51,-3.0
"random full-rank [512,256] reused",random,512,256,14,16384,16,3277,0.100006103515625,128.6387089239496,58,-3.5
"random full-rank [512,256] reused",random,512,256,15,32768,17,6554,0.100006103515625,128.4146926846024,65,-4.5
"random full-rank [512,256] reused",random,512,256,16,65536,18,13108,0.100006103515625,128.2689974788344,56,-5.200000000000017
"random full-rank [512,256] reused",random,512,256,17,131072,19,26215,0.10000228881835938,127.385651883263,56,-5.900000000000015
"random full-rank [512,256] reused",random,512,256,18,262144,20,52429,0.10000038146972656,126.4208508895573,56,-6.600000000000012
"random full-rank [512,256] reused",random,512,256,19,524288,21,104858,0.10000038146972656,125.4408703812938,56,-7.20000000000001
"random full-rank [512,256] reused",random,512,256,20,1048576,22,209716,0.10000038146972656,124.45162817163357,56,-7.9000000000000075
