constituent,block_bits,dimension,message_exponent,message_bits,output_bits,outer_rows,bad_weight,inner,state_bits,step_bits,epochs_per_region,comparison,reference_rm2sub_state_bits,margin_bits,dominant_weight,dominant_log_surprisal,a_minimum_distance
"extended BCH [128,64,22]",128,64,13,8192,16384,128,1638,RandomStepConv,26,1,128,same-live-state-reset-rate,19,39.328757568007234,22,-3.5999999999999996,
"extended BCH [128,64,22]",128,64,13,8192,16384,128,1638,RM2Sub,19,128,1,rm2sub,19,38.26814372861058,22,-3.5999999999999996,48
"extended BCH [128,64,22]",128,64,13,8192,16384,128,1638,RandomStepConv,20,1,128,same-stored-state-bits,20,38.25167020002742,22,-3.5999999999999996,
"extended BCH [128,64,22]",128,64,13,8192,16384,128,1638,RandomStepConv,27,1,128,same-live-state-reset-rate,20,39.33917962264461,22,-3.5999999999999996,
"extended BCH [128,64,22]",128,64,13,8192,16384,128,1638,RM2Sub,20,128,1,rm2sub,20,38.281242576625175,22,-3.5999999999999996,32
"extended BCH [128,64,22]",128,64,15,32768,65536,512,6553,RandomStepConv,15,1,512,same-stored-state-bits,15,16.79851691268479,22,-5.3999999999999995,
"extended BCH [128,64,22]",128,64,15,32768,65536,512,6553,RandomStepConv,22,1,512,same-live-state-reset-rate,15,36.57262081381663,22,-5.0,
"extended BCH [128,64,22]",128,64,15,32768,65536,512,6553,RM2Sub,15,128,4,rm2sub,15,36.87006067038005,22,-5.0,48
"extended BCH [128,64,22]",128,64,15,32768,65536,512,6553,RandomStepConv,16,1,512,same-stored-state-bits,16,22.61056938336731,22,-5.3,
"extended BCH [128,64,22]",128,64,15,32768,65536,512,6553,RandomStepConv,23,1,512,same-live-state-reset-rate,16,37.068236339688184,22,-5.0,
"extended BCH [128,64,22]",128,64,15,32768,65536,512,6553,RM2Sub,16,128,4,rm2sub,16,37.10613566020667,22,-5.0,48
"extended BCH [128,64,22]",128,64,15,32768,65536,512,6553,RandomStepConv,18,1,512,same-stored-state-bits,18,30.370917697793892,22,-5.199999999999999,
"extended BCH [128,64,22]",128,64,15,32768,65536,512,6553,RandomStepConv,25,1,512,same-live-state-reset-rate,18,37.50320791756542,22,-5.0,
"extended BCH [128,64,22]",128,64,15,32768,65536,512,6553,RM2Sub,18,128,4,rm2sub,18,37.300776561487304,22,-5.0,48
"extended BCH [128,64,22]",128,64,15,32768,65536,512,6553,RandomStepConv,19,1,512,same-stored-state-bits,19,32.80482929720337,22,-5.1,
"extended BCH [128,64,22]",128,64,15,32768,65536,512,6553,RandomStepConv,26,1,512,same-live-state-reset-rate,19,37.58237858811776,22,-5.0,
"extended BCH [128,64,22]",128,64,15,32768,65536,512,6553,RM2Sub,19,128,4,rm2sub,19,37.33462150655633,22,-5.0,48
"extended BCH [128,64,22]",128,64,15,32768,65536,512,6553,RandomStepConv,20,1,512,same-stored-state-bits,20,34.55801828346258,22,-5.1,
"extended BCH [128,64,22]",128,64,15,32768,65536,512,6553,RandomStepConv,27,1,512,same-live-state-reset-rate,20,37.622811398661796,22,-5.0,
"extended BCH [128,64,22]",128,64,15,32768,65536,512,6553,RM2Sub,20,128,4,rm2sub,20,37.35170785236559,22,-5.0,32
