family,outer_model,constituent,block_bits,dimension,message_exponent,message_bits,outer_rows,output_bits,bad_weight,occupation,configuration,step_bits,state_bits,persistence_exponent,epochs_per_region,a_minimum_distance,kernel_minimum_distance,kernel_weight_four,margin_bits,dominant_weight,dominant_first_weight,dominant_second_weight
structured,fixed-exact-spectrum,"RM(4,9) [512,256,32]",512,256,16,65536,256,131072,13107,1,t128_s14,128,14,21.0,2,48,4,928,42.5363120138745,32,,
random-control,single-reused-constituent-Q1-ensemble-average,"random full-rank [512,256]",512,256,16,65536,256,131072,13107,1,t128_s14,128,14,21.0,2,48,4,928,139.47579321002777,52,,
