series,family,outer_model,block_bits,dimension,message_exponent,message_bits,outer_rows,output_bits,bad_weight,state_bits,step_bits,epochs_per_region,margin_bits,dominant_weight,dominant_log_surprisal
"RM(1,3) [8,4,4] exact",rm,fixed,8,4,13,8192,2048,16384,1638,16,64,32,5.887986499832613,4,-4.8999999999999995
"RM(1,3) [8,4,4] exact",rm,fixed,8,4,14,16384,4096,32768,3276,16,64,64,4.975119081313092,4,-5.6
"RM(1,3) [8,4,4] exact",rm,fixed,8,4,15,32768,8192,65536,6553,16,64,128,4.01696638190269,4,-6.3
"RM(1,3) [8,4,4] exact",rm,fixed,8,4,16,65536,16384,131072,13107,16,64,256,3.0352052598540387,4,-7.0
"RM(1,3) [8,4,4] exact",rm,fixed,8,4,17,131072,32768,262144,26214,16,64,512,2.0378542372337303,4,-7.7
"RM(1,3) [8,4,4] exact",rm,fixed,8,4,18,262144,65536,524288,52428,16,64,1024,1.0242301093159325,4,-8.4
"RM(1,3) [8,4,4] exact",rm,fixed,8,4,19,524288,131072,1048576,104857,16,64,2048,-0.012813381090647454,4,-9.1
"RM(1,3) [8,4,4] exact",rm,fixed,8,4,20,1048576,262144,2097152,209715,16,64,4096,-1.091660095885132,4,-9.8
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,10,1024,64,2048,204,16,64,1,10.404948383874832,8,-1.8999999999999986
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,11,2048,128,4096,409,16,64,2,10.38553662136752,8,-2.5999999999999996
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,12,4096,256,8192,819,16,64,4,10.047857711008664,8,-3.4000000000000004
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,13,8192,512,16384,1638,16,64,8,9.467363091074555,8,-4.1
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,14,16384,1024,32768,3276,16,64,16,8.717379655414856,8,-4.699999999999999
