series,family,outer_model,block_bits,dimension,message_exponent,message_bits,memory_bits,distance_cutoff,relative_distance_lower,q1_margin_bits_diagnostic,dominant_weight,dominant_log_surprisal
"extended BCH [128,64,22] exact",bch,structured,128,64,18,262144,20,52429,0.10000038146972656,24.09477541102343,22,-7.30000000000001
"extended BCH [128,64,22] exact",bch,structured,128,64,19,524288,21,104858,0.10000038146972656,23.100235810893334,22,-8.000000000000007
"extended BCH [128,64,22] exact",bch,structured,128,64,20,1048576,22,209716,0.10000038146972656,22.102223788540968,22,-8.700000000000005
"RM(1,3) [8,4,4] exact",rm,structured,8,4,8,256,10,52,0.1015625,-1.2817356261840742,4,-2.0
"RM(1,3) [8,4,4] exact",rm,structured,8,4,9,512,11,103,0.1005859375,-1.9570078456930793,4,-3.0
"RM(1,3) [8,4,4] exact",rm,structured,8,4,10,1024,12,205,0.10009765625,-2.8684250098380266,4,-3.5
"RM(1,3) [8,4,4] exact",rm,structured,8,4,11,2048,13,410,0.10009765625,-4.032315551225732,4,-4.5
"RM(1,3) [8,4,4] exact",rm,structured,8,4,12,4096,14,820,0.10009765625,-4.818841264901388,4,-5.0
"RM(1,3) [8,4,4] exact",rm,structured,8,4,13,8192,15,1639,0.10003662109375,-5.812567768100033,4,-5.700000000000015
"RM(1,3) [8,4,4] exact",rm,structured,8,4,14,16384,16,3277,0.100006103515625,-6.811060343408202,4,-6.400000000000013
"RM(1,3) [8,4,4] exact",rm,structured,8,4,15,32768,17,6554,0.100006103515625,-7.808898886584417,4,-7.000000000000011
"RM(1,3) [8,4,4] exact",rm,structured,8,4,16,65536,18,13108,0.100006103515625,-8.80571589607514,4,-7.700000000000008
"RM(1,3) [8,4,4] exact",rm,structured,8,4,17,131072,19,26215,0.10000228881835938,-9.802911907417435,4,-8.400000000000006
"RM(1,3) [8,4,4] exact",rm,structured,8,4,18,262144,20,52429,0.10000038146972656,-10.80085072986268,4,-9.100000000000003
"RM(1,3) [8,4,4] exact",rm,structured,8,4,19,524288,21,104858,0.10000038146972656,-11.799463905046364,4,-9.8
"RM(1,3) [8,4,4] exact",rm,structured,8,4,20,1048576,22,209716,0.10000038146972656,-12.798554519327409,4,-10.5
"RM(2,5) [32,16,8] exact",rm,structured,32,16,8,256,10,52,0.1015625,4.106764702032891,8,-1.5
"RM(2,5) [32,16,8] exact",rm,structured,32,16,9,512,11,103,0.1005859375,3.580172018539194,8,-2.0
"RM(2,5) [32,16,8] exact",rm,structured,32,16,10,1024,12,205,0.10009765625,2.7402315783104196,8,-3.0
"RM(2,5) [32,16,8] exact",rm,structured,32,16,11,2048,13,410,0.10009765625,2.0994309227649874,8,-3.5
"RM(2,5) [32,16,8] exact",rm,structured,32,16,12,4096,14,820,0.10009765625,0.9510287806639252,8,-4.0
"RM(2,5) [32,16,8] exact",rm,structured,32,16,13,8192,15,1639,0.10003662109375,0.06320278921502326,8,-5.0
"RM(2,5) [32,16,8] exact",rm,structured,32,16,14,16384,16,3277,0.100006103515625,-0.8022939164147497,8,-5.500000000000016
"RM(2,5) [32,16,8] exact",rm,structured,32,16,15,32768,17,6554,0.100006103515625,-1.7910435440955899,8,-6.2000000000000135
"RM(2,5) [32,16,8] exact",rm,structured,32,16,16,65536,18,13108,0.100006103515625,-2.7840669710401156,8,-6.900000000000011
"RM(2,5) [32,16,8] exact",rm,structured,32,16,17,131072,19,26215,0.10000228881835938,-3.778824378675344,8,-7.6000000000000085
"RM(2,5) [32,16,8] exact",rm,structured,32,16,18,262144,20,52429,0.10000038146972656,-4.775501964031627,8,-8.300000000000006
"RM(2,5) [32,16,8] exact",rm,structured,32,16,19,524288,21,104858,0.10000038146972656,-5.773640116443531,8,-9.000000000000004
"RM(2,5) [32,16,8] exact",rm,structured,32,16,20,1048576,22,209716,0.10000038146972656,-6.772649713585214,8,-9.700000000000001
"RM(3,7) [128,64,16] exact",rm,structured,128,64,8,256,10,52,0.1015625,13.425129570250583,16,-1.0
"RM(3,7) [128,64,16] exact",rm,structured,128,64,9,512,11,103,0.1005859375,13.587379890834757,16,-1.5
"RM(3,7) [128,64,16] exact",rm,structured,128,64,10,1024,12,205,0.10009765625,13.332993412109563,16,-2.5
"RM(3,7) [128,64,16] exact",rm,structured,128,64,11,2048,13,410,0.10009765625,12.996958720919329,16,-3.0
"RM(3,7) [128,64,16] exact",rm,structured,128,64,12,4096,14,820,0.10009765625,11.808915595701892,16,-3.5
"RM(3,7) [128,64,16] exact",rm,structured,128,64,13,8192,15,1639,0.10003662109375,11.058728017915161,16,-4.5
