series,outer_model,block_bits,dimension,message_exponent,message_bits,output_bits,outer_rows,bad_weight,step_bits,state_bits,epochs_per_region,margin_bits,dominant_weight,dominant_log_surprisal,dominant_witness_at_grid_edge,a_minimum_distance,kernel_minimum_distance,kernel_weight_four,map_tag,map_source,notes
"RM(1,3) [8,4,4] exact",fixed,8,4,22,4194304,8388608,1048576,838860,64,14,16384,-7.0545927667576835,4,-11.1,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(2,5) [32,16,8] exact",fixed,32,16,22,4194304,8388608,262144,838860,64,14,4096,-2.5410857545412013,8,-10.4,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(3,7) [128,64,16] exact",fixed,128,64,22,4194304,8388608,65536,838860,64,14,1024,6.1076145330719,16,-10.4,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(4,9) [512,256,32] exact",fixed,512,256,22,4194304,8388608,16384,838860,64,14,256,34.42521620157188,32,-10.0,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [64,32] reused",random-ensemble-average,64,32,22,4194304,8388608,131072,838860,64,14,2048,-2.853956772862809,7,-11.2,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [128,64] reused",random-ensemble-average,128,64,22,4194304,8388608,65536,838860,64,14,1024,16.76352587653151,13,-10.7,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [512,256] reused",random-ensemble-average,512,256,22,4194304,8388608,16384,838860,64,14,256,131.53573512124873,53,-9.3,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [8,4,4] exact",fixed,8,4,24,16777216,33554432,4194304,3355443,64,14,65536,-16.577400283670936,4,-12.0,1,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [32,16,8] exact",fixed,32,16,24,16777216,33554432,1048576,3355443,64,14,16384,-11.463147469006618,8,-11.6,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [128,64,22] exact",fixed,128,64,24,16777216,33554432,262144,3355443,64,14,4096,18.592035474526966,22,-11.1,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
