weight,count
0,1
12,787
13,3297
14,12896
15,35141
16,117564
17,307117
18,854356
19,2013139
20,4617455
21,9489458
22,18697480
23,34313416
24,58433375
25,93189460
26,139395888
27,197829324
28,261375494
29,322877414
30,375799744
31,413680822
32,428856201
33,413691174
34,375841016
35,322876282
36,261353654
37,197820392
38,139379984
39,93197036
40,58450270
41,34315076
42,18698544
43,9485340
44,4611559
45,2013073
46,855456
47,308557
48,118906
49,35221
50,12116
51,2763
52,859
53,142
54,40
55,4
56,3
