outer_label,message_exponent,step_bits,target_q1_margin,smallest_tested_passing_state,attained_margin,status
"extended BCH [128,64,22] exact",24,256,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [128,64,22] exact",24,256,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",16,64,0,14,5.612589712034172,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",16,64,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",16,64,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",16,64,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",16,128,0,14,5.590548106890581,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",16,128,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",16,128,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",16,128,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",16,256,0,14,5.452922499365651,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",16,256,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",16,256,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",16,256,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",18,64,0,14,3.5900538984926462,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",18,64,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",18,64,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",18,64,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",18,128,0,14,3.653148088858754,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",18,128,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",18,128,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",18,128,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",18,256,0,14,3.6526911898189285,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",18,256,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",18,256,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",18,256,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",20,64,0,14,1.155380852400658,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",20,64,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",20,64,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",20,64,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",20,128,0,14,1.4508287676764482,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",20,128,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",20,128,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",20,128,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",20,256,0,14,1.5900756936726543,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",20,256,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",20,256,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",20,256,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",22,64,0,16,0.3975815486396306,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",22,64,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",22,64,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",22,64,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",22,128,0,16,0.6912023929852205,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",22,128,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",22,128,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",22,128,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",22,256,0,16,0.8368883146676501,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",22,256,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",22,256,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",22,256,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",24,64,0,20,0.8689534438373043,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",24,64,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",24,64,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",24,64,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",24,128,0,19,0.38212112269416204,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",24,128,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",24,128,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",24,128,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",24,256,0,20,0.97873461493925,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",24,256,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",24,256,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [32,16,8] exact",24,256,60,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",16,64,0,14,13.729725132697592,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",16,64,20,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",16,64,40,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",16,64,60,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",16,128,0,14,13.701278902209722,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",16,128,20,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",16,128,40,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",16,128,60,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",16,256,0,14,13.557504441562505,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",16,256,20,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",16,256,40,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",16,256,60,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",18,64,0,14,11.721453551388974,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",18,64,20,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",18,64,40,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",18,64,60,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",18,128,0,14,11.78160287056985,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",18,128,20,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",18,128,40,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",18,128,60,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",18,256,0,14,11.778962372444003,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",18,256,20,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",18,256,40,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",18,256,60,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",20,64,0,14,9.309976474598042,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",20,64,20,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",20,64,40,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",20,64,60,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",20,128,0,14,9.597141004916395,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",20,128,20,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",20,128,40,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",20,128,60,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",20,256,0,14,9.732303371423884,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",20,256,20,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",20,256,40,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",20,256,60,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",22,64,0,14,5.579984632232543,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",22,64,20,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",22,64,40,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",22,64,60,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",22,128,0,14,6.7235058413223605,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",22,128,20,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",22,128,40,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",22,128,60,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",22,256,0,14,7.307531690621895,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",22,256,20,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",22,256,40,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",22,256,60,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",24,64,0,16,3.925698544589704,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",24,64,20,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",24,64,40,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",24,64,60,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",24,128,0,14,1.261414508726658,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",24,128,20,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",24,128,40,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",24,128,60,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",24,256,0,14,3.585545568789791,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",24,256,20,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",24,256,40,,,Q1 screen only; no full-occupation guarantee
"Philips shortened-XBCH [64,32,12] exact",24,256,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",16,64,0,14,1.1711253544330646,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",16,64,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",16,64,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",16,64,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",16,128,0,14,1.170902250959038,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",16,128,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",16,128,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",16,128,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",16,256,0,14,1.1086957026547284,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",16,256,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",16,256,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",16,256,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",18,64,0,16,1.0145732355642376,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",18,64,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",18,64,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",18,64,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",18,128,0,16,1.0180540975293029,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",18,128,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",18,128,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",18,128,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",18,256,0,16,1.017034929802472,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",18,256,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",18,256,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",18,256,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",20,64,0,18,0.7824169983016037,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",20,64,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",20,64,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",20,64,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",20,128,0,18,0.7969109328497012,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",20,128,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",20,128,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",20,128,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",20,256,0,18,0.8033419006225194,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",20,256,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",20,256,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",20,256,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",22,64,0,20,0.5089811215732818,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",22,64,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",22,64,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",22,64,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",22,128,0,20,0.5263969184118191,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",22,128,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",22,128,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",22,128,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",22,256,0,20,0.5348650503662579,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",22,256,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",22,256,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",22,256,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",24,64,0,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",24,64,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",24,64,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",24,64,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",24,128,0,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",24,128,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",24,128,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",24,128,60,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",24,256,0,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",24,256,20,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",24,256,40,,,Q1 screen only; no full-occupation guarantee
"extended BCH [8,4,4] exact",24,256,60,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",16,64,0,14,24.95716048232669,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",16,64,20,14,24.95716048232669,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",16,64,40,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",16,64,60,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",16,128,0,14,24.94312592690437,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",16,128,20,14,24.94312592690437,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",16,128,40,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",16,128,60,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",16,256,0,14,24.852591646555585,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",16,256,20,14,24.852591646555585,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",16,256,40,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",16,256,60,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",18,64,0,14,22.90930587541376,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",18,64,20,14,22.90930587541376,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",18,64,40,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",18,64,60,,,Q1 screen only; no full-occupation guarantee
