result_id,study,outer_id,inner_id,outer_family,outer_label,outer_model_kind,block_bits,dimension,minimum_distance,step_bits,state_bits,persistence_exponent,persistence_offset,map_tag,message_exponent,message_bits,output_bits,outer_rows,epochs_per_region,bad_weight,distance_target,occupation_min,occupation_max,coverage_kind,result_class,arithmetic,margin_bits,margin_bits_text,failure_upper_text,dominant_weight,source_path,source_sha256,source_locator,notes
f922f7599ea047f2b8734cd5,rm2sub_epoch_calibration_bch_q1,bch-b128-k64-fixed-exact-spectrum,rm2sub-t256-s18-calibration-selected-a96-kd4-k4576,bch,"extended BCH [128,64,22] exact",fixed_exact_spectrum,128,64,22,256,18,26.0,11.0,calibration-selected,15,32768,65536,512,2,6553,0.1,1,1,single_occupation,diagnostic,nearest_binary64_diagnostic,37.024450591442594,,,22,small_k_replay/rm2sub_epoch_calibration_bch_q1_d100.csv,7f9298964523a2213ea1f6f0479b63e0f63ef2daecd68139272c8368ced9320b,csv-line-16,
8248b5130cf26d6b580b3458,rm2sub_epoch_calibration_bch_q1,bch-b128-k64-fixed-exact-spectrum,rm2sub-t64-s20-calibration-selected-a16-kd8-k40,bch,"extended BCH [128,64,22] exact",fixed_exact_spectrum,128,64,22,64,20,26.0,11.0,calibration-selected,15,32768,65536,512,8,6553,0.1,1,1,single_occupation,diagnostic,nearest_binary64_diagnostic,37.49967514341649,,,22,small_k_replay/rm2sub_epoch_calibration_bch_q1_d100.csv,7f9298964523a2213ea1f6f0479b63e0f63ef2daecd68139272c8368ced9320b,csv-line-14,
253eeb1a466d89ce85118bb2,rm2sub_epoch_calibration_bch_q1,bch-b32-k16-fixed-exact-spectrum,rm2sub-t128-s19-calibration-selected-a48-kd6-k40,bch,"extended BCH [32,16,8] exact",fixed_exact_spectrum,32,16,8,128,19,26.0,11.0,calibration-selected,15,32768,65536,2048,16,6553,0.1,1,1,single_occupation,diagnostic,nearest_binary64_diagnostic,9.265133444697621,,,8,small_k_replay/rm2sub_epoch_calibration_bch_q1_d100.csv,7f9298964523a2213ea1f6f0479b63e0f63ef2daecd68139272c8368ced9320b,csv-line-8,
ffe9a322837ee41acf21e248,rm2sub_epoch_calibration_bch_q1,bch-b32-k16-fixed-exact-spectrum,rm2sub-t256-s18-calibration-selected-a96-kd4-k4576,bch,"extended BCH [32,16,8] exact",fixed_exact_spectrum,32,16,8,256,18,26.0,11.0,calibration-selected,15,32768,65536,2048,8,6553,0.1,1,1,single_occupation,diagnostic,nearest_binary64_diagnostic,8.587845398947474,,,8,small_k_replay/rm2sub_epoch_calibration_bch_q1_d100.csv,7f9298964523a2213ea1f6f0479b63e0f63ef2daecd68139272c8368ced9320b,csv-line-9,
c5b462261b0531c83e712286,rm2sub_epoch_calibration_bch_q1,bch-b32-k16-fixed-exact-spectrum,rm2sub-t64-s20-calibration-selected-a16-kd8-k40,bch,"extended BCH [32,16,8] exact",fixed_exact_spectrum,32,16,8,64,20,26.0,11.0,calibration-selected,15,32768,65536,2048,32,6553,0.1,1,1,single_occupation,diagnostic,nearest_binary64_diagnostic,9.801456343833138,,,8,small_k_replay/rm2sub_epoch_calibration_bch_q1_d100.csv,7f9298964523a2213ea1f6f0479b63e0f63ef2daecd68139272c8368ced9320b,csv-line-7,
ca853f277818fb171510ed9b,rm2sub_rm49_t128_s13_q03_q08,rm-b512-k256-fixed-exact-spectrum,rm2sub-t128-s13-primary-tranche-selected-a56-kd4-k42016,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,128,13,20.0,4.0,primary-tranche-selected,16,65536,131072,256,2,13107,0.1,3,3,single_occupation,diagnostic,nearest_binary64_diagnostic,77.43784823996134,,,,small_k_replay/rm2sub_q_ladder_rm49_t128_s13_d100.json,dc6ffd218931bb0ccc266bf98ef40baa3f73efc15305cc41eeed1ba91605e34b,occupation-3,Positive recurrence over regular and all-one RM rows.
8e82377670a947316382b9e1,rm2sub_rm49_t128_s13_q03_q08,rm-b512-k256-fixed-exact-spectrum,rm2sub-t128-s13-primary-tranche-selected-a56-kd4-k42016,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,128,13,20.0,4.0,primary-tranche-selected,16,65536,131072,256,2,13107,0.1,4,4,single_occupation,diagnostic,nearest_binary64_diagnostic,103.79495234529304,,,,small_k_replay/rm2sub_q_ladder_rm49_t128_s13_d100.json,dc6ffd218931bb0ccc266bf98ef40baa3f73efc15305cc41eeed1ba91605e34b,occupation-4,Positive recurrence over regular and all-one RM rows.
d6cd368de8b720215faf7b20,rm2sub_rm49_t128_s13_q03_q08,rm-b512-k256-fixed-exact-spectrum,rm2sub-t128-s13-primary-tranche-selected-a56-kd4-k42016,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,128,13,20.0,4.0,primary-tranche-selected,16,65536,131072,256,2,13107,0.1,5,5,single_occupation,diagnostic,nearest_binary64_diagnostic,122.33905406004403,,,,small_k_replay/rm2sub_q_ladder_rm49_t128_s13_d100.json,dc6ffd218931bb0ccc266bf98ef40baa3f73efc15305cc41eeed1ba91605e34b,occupation-5,Positive recurrence over regular and all-one RM rows.
2a9c39e6941373d005f0a8ff,rm2sub_rm49_t128_s13_q03_q08,rm-b512-k256-fixed-exact-spectrum,rm2sub-t128-s13-primary-tranche-selected-a56-kd4-k42016,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,128,13,20.0,4.0,primary-tranche-selected,16,65536,131072,256,2,13107,0.1,6,6,single_occupation,diagnostic,nearest_binary64_diagnostic,150.95181012314765,,,,small_k_replay/rm2sub_q_ladder_rm49_t128_s13_d100.json,dc6ffd218931bb0ccc266bf98ef40baa3f73efc15305cc41eeed1ba91605e34b,occupation-6,Positive recurrence over regular and all-one RM rows.
2e4a987d3dddf1d5b9912922,rm2sub_rm49_t128_s13_q03_q08,rm-b512-k256-fixed-exact-spectrum,rm2sub-t128-s13-primary-tranche-selected-a56-kd4-k42016,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,128,13,20.0,4.0,primary-tranche-selected,16,65536,131072,256,2,13107,0.1,7,7,single_occupation,diagnostic,nearest_binary64_diagnostic,162.59520789596746,,,,small_k_replay/rm2sub_q_ladder_rm49_t128_s13_d100.json,dc6ffd218931bb0ccc266bf98ef40baa3f73efc15305cc41eeed1ba91605e34b,occupation-7,Positive recurrence over regular and all-one RM rows.
7a4d0d493fd605c2423097ba,rm2sub_rm49_t128_s13_q03_q08,rm-b512-k256-fixed-exact-spectrum,rm2sub-t128-s13-primary-tranche-selected-a56-kd4-k42016,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,128,13,20.0,4.0,primary-tranche-selected,16,65536,131072,256,2,13107,0.1,8,8,single_occupation,diagnostic,nearest_binary64_diagnostic,189.30972750829503,,,,small_k_replay/rm2sub_q_ladder_rm49_t128_s13_d100.json,dc6ffd218931bb0ccc266bf98ef40baa3f73efc15305cc41eeed1ba91605e34b,occupation-8,Positive recurrence over regular and all-one RM rows.
0e6c334a9a6236c898b5fb8c,rm2sub_rm49_t128_s14_primary_q1,random-b512-k256-random-ensemble-expectation,rm2sub-t128-s14-primary-tranche-selected-a48-kd4-k4928,random,"random full-rank [512,256] reused",random_ensemble_expectation,512,256,,128,14,21.0,5.0,primary-tranche-selected,16,65536,131072,256,2,13107,0.1,1,1,single_occupation,reference,nearest_binary64_diagnostic,139.47579321002777,,,52,small_k_replay/rm2sub_primary_q1_rm49_t128_s14_d100.csv,47da9bb9606e6d3a23dd193cddac2c44405a576d53e794764e76b1adb1c1aae7,csv-line-3,
b445e03b5e28b0f5fd7fdab5,rm2sub_rm49_t128_s14_primary_q1,rm-b512-k256-fixed-exact-spectrum,rm2sub-t128-s14-primary-tranche-selected-a48-kd4-k4928,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,128,14,21.0,5.0,primary-tranche-selected,16,65536,131072,256,2,13107,0.1,1,1,single_occupation,diagnostic,nearest_binary64_diagnostic,42.5363120138745,,,32,small_k_replay/rm2sub_primary_q1_rm49_t128_s14_d100.csv,47da9bb9606e6d3a23dd193cddac2c44405a576d53e794764e76b1adb1c1aae7,csv-line-2,
92e26bd58464434f7890f9f8,rm2sub_rm49_t256_s12_q03_q08,rm-b512-k256-fixed-exact-spectrum,rm2sub-t256-s12-primary-tranche-selected-a120-kd4-k481600,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,256,12,20.0,4.0,primary-tranche-selected,16,65536,131072,256,1,13107,0.1,3,3,single_occupation,diagnostic,nearest_binary64_diagnostic,69.02568193288063,,,,small_k_replay/rm2sub_q_ladder_rm49_t256_s12_d100.json,dcdbfe4c4b77d2dc4fa1c05d2c03b1c8800995f82d525f89dede8fb0d85c6adf,occupation-3,Positive recurrence over regular and all-one RM rows.
512476e5e35d24bcc5b36b2c,rm2sub_rm49_t256_s12_q03_q08,rm-b512-k256-fixed-exact-spectrum,rm2sub-t256-s12-primary-tranche-selected-a120-kd4-k481600,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,256,12,20.0,4.0,primary-tranche-selected,16,65536,131072,256,1,13107,0.1,4,4,single_occupation,diagnostic,nearest_binary64_diagnostic,90.6317676157772,,,,small_k_replay/rm2sub_q_ladder_rm49_t256_s12_d100.json,dcdbfe4c4b77d2dc4fa1c05d2c03b1c8800995f82d525f89dede8fb0d85c6adf,occupation-4,Positive recurrence over regular and all-one RM rows.
b9709bc4d8997395f9f05605,rm2sub_rm49_t256_s12_q03_q08,rm-b512-k256-fixed-exact-spectrum,rm2sub-t256-s12-primary-tranche-selected-a120-kd4-k481600,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,256,12,20.0,4.0,primary-tranche-selected,16,65536,131072,256,1,13107,0.1,5,5,single_occupation,diagnostic,nearest_binary64_diagnostic,95.57507913207117,,,,small_k_replay/rm2sub_q_ladder_rm49_t256_s12_d100.json,dcdbfe4c4b77d2dc4fa1c05d2c03b1c8800995f82d525f89dede8fb0d85c6adf,occupation-5,Positive recurrence over regular and all-one RM rows.
