H,e0_log2,e1_log2,e2_log2,e3_log2,e4_log2,e5_log2,e6_log2,e7_log2,e8_log2,total_log2
0,-408317.00092895416,-63.8926492,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-63.8926492
1,-408317.00092895416,-64.49514866155835,-127.7852983999437,-inf,-inf,-inf,-inf,-inf,-inf,-64.49514866155835
2,-408317.00092895416,-65.51276674491037,-127.06258302279576,-191.67802672630867,-inf,-inf,-inf,-inf,-inf,-65.51276674491037
3,-408317.00092895416,-66.70033088458267,-127.1784414572257,-190.19643835297916,-255.57083419278297,-inf,-inf,-inf,-inf,-66.70033088458267
4,-408317.00092895416,-67.98101345269329,-127.68088919665261,-189.67791347106788,-253.57549756727036,-319.4637207883658,-inf,-inf,-inf,-67.98101345269329
5,-408317.00092895416,-69.32059473981268,-128.40872326826099,-189.6511217505839,-252.57785874511595,-317.0896554521362,-383.35668652909646,-inf,-inf,-69.32059473981268
6,-408317.00092895416,-70.70082132031982,-129.28476487465738,-189.92827081503154,-252.12508057581027,-315.714565820508,-380.6875251385923,-447.2497314154789,-inf,-70.70082132031982
7,-408317.00092895416,-72.11079769292415,-130.26585774291638,-190.41293792681955,-252.02462101575784,-314.90965374139444,-379.0063650370196,-444.3411358595217,-511.1428554510401,-72.11079769292415
8,-408317.00092895416,-73.5434961143076,-131.32536492437768,-191.0485999195703,-252.1722460776432,-314.4867571460135,-377.9049034947446,-442.40628932516876,-508.03378169432574,-73.5434961143076
9,-408317.00092895416,-74.9941181295876,-132.44566876893123,-191.79916722741558,-252.50443282758175,-314.33992127552034,-377.20288600666396,-441.0516105662445,-505.8848427763199,-74.9941181295876
10,-408317.00092895416,-76.45924121843264,-133.6145028363646,-192.6401541218608,-252.9794306659597,-314.4024416945194,-376.79600532535585,-440.1054867052343,-504.31156856643986,-76.45924121843264
11,-408317.00092895416,-77.93633832787509,-134.82297989756586,-193.55417012277726,-253.56827609864098,-314.6293522348577,-376.616786676067,-439.4670609381292,-503.1502695859431,-77.93633832787509
12,-408317.00092895416,-79.42349039906055,-136.06445313597652,-194.52841330596556,-254.2500339671909,-314.9888336727515,-376.61870596750873,-439.0696437327556,-502.30435890048733,-79.42349039906055
13,-408317.00092895416,-80.91920571487746,-137.33382042685318,-195.55318320827186,-255.0090723849219,-315.4575197314507,-376.7682386392122,-438.86631458029603,-501.7089210801456,-80.91920571487746
14,-408317.00092895416,-82.4223017529305,-138.6270795578378,-196.62095214708236,-255.833406762387,-316.01773701875766,-377.0404031647268,-438.8226880138191,-501.31746575760087,-82.4223017529305
15,-408317.00092895416,-83.93182521599172,-139.94103292630942,-197.72576044155358,-256.71364480530264,-316.65579024142124,-377.41607695891724,-438.91278447506784,-501.0953814799509,-83.93182521599172
16,-408317.00092895416,-85.4469963661009,-141.27308520872793,-198.86280865505566,-257.64228794780183,-317.36084940997006,-377.8802937337563,-439.1164902620809,-501.0161698697898,-85.4469963661009
17,-408317.00092895416,-86.96716931212556,-142.62110093721023,-200.0281744638956,-258.61325361907836,-318.12420143620494,-378.42111885789507,-439.4179140494925,-501.05908932497607,-86.96716931212556
18,-408317.00092895416,-88.49180299602835,-143.98330180867984,-201.21861096485478,-259.62153936880105,-318.93873140731995,-379.0288814835336,-439.80428228957555,-501.20760195885356,-88.49180299602835
19,-408317.00092895416,-90.02043968579642,-145.3581912092157,-202.43139990353725,-260.6629811626504,-319.79855381073736,-379.69563558124696,-440.265173845306,-501.4483118948954,-90.02043968579642
20,-408317.00092895416,-91.55268870239892,-146.74449767357103,-203.66424273509634,-261.7340757599873,-320.6987444232463,-380.4147724627969,-440.79197584988225,-501.77021845520403,-91.55268870239892
21,-408317.00092895416,-93.0882139049056,-148.14113183039294,-204.9151783616748,-262.83184777479255,-321.6351415464141,-381.180736359798,-441.3774882104653,-502.16417831122294,-93.0882139049056
22,-408317.00092895416,-94.62672401810477,-149.5471532267152,-206.1825201474994,-263.95374864486666,-322.6041961836363,-381.98881188852715,-442.0156306417336,-502.6225102979997,-94.62672401810477
23,-408317.00092895416,-96.16796496723782,-150.96174433590664,-207.46480693695193,-265.0975786407628,-323.60285727421814,-382.8349625472168,-442.70122182862394,-503.1386997632037,-96.16796496723782
24,-408317.00092895416,-97.71171380861321,-152.3841900271815,-208.76076456404766,-266.2614259469591,-324.6284826403736,-383.71570627521487,-443.42981048301493,-503.7071739364079,-97.71171380861321
25,-408317.00092895416,-99.25777384881758,-153.81386115029036,-210.0692752422297,-267.44361849244086,-325.6787690030261,-384.6280182893186,-444.19754430155285,-504.3231288039964,-99.25777384881758
26,-408317.00092895416,-100.80597065799087,-155.25020125768353,-211.38935294795183,-268.6426854298836,-326.7516963392042,-385.56925429549347,-445.00106703730273,-504.9823939397326,-100.80597065799087
27,-408317.00092895416,-102.35614885808809,-156.69271584087215,-212.7201235120373,-269.8573261019571,-327.845483260606,-386.53708922240435,-445.8374368160046,-505.6813258096402,-102.35614885808809
28,-408317.00092895416,-103.90816942557734,-158.14096344393258,-214.06080829152998,-271.08638472716285,-328.95855080686994,-387.52946777169996,-446.70406056006874,-506.41672257004575,-103.90816942557734
29,-408317.00092895416,-105.46190748191054,-159.5945483424901,-215.41071074360056,-272.3288296518761,-330.0894928844159,-388.5445642171533,-447.5986409196939,-507.1857554359418,-105.46190748191054
