k,N,parity_n,parity_extra,delta,d,sigma,offset,h,outer_source,outer_log2,outer_z,inner_log2,term_log2,cum_log2,best_r,best_piece_log2,survivor_only_sum
1048576,2097232,1048656,80,0.106,222306,80,60,248,gf,304.212272,0.40634819091,-547.779564,-243.567292,-40.991450,0,-547.779564,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,249,gf,305.511483,0.40634819091,-549.377780,-243.866297,-40.991450,0,-549.377780,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,250,gf,306.810695,0.40634819091,-550.869691,-244.058996,-40.991450,0,-550.869691,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,251,gf,308.109907,0.40634819091,-555.188022,-247.078115,-40.991450,0,-555.188022,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,252,gf,309.409118,0.40634819091,-557.985070,-248.575952,-40.991450,0,-557.985070,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,253,gf,310.708330,0.40634819091,-558.843526,-248.135196,-40.991450,0,-558.843526,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,254,gf,312.007541,0.40634819091,-560.429456,-248.421914,-40.991450,0,-560.429456,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,255,gf,313.306753,0.40634819091,-561.918660,-248.611907,-40.991450,0,-561.918660,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,256,gf,314.605965,0.40634819091,-564.106661,-249.500697,-40.991450,0,-564.106661,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,257,gf,315.905176,0.40634819091,-568.408952,-252.503775,-40.991450,0,-568.408952,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,258,gf,317.204388,0.40634819091,-571.294654,-254.090266,-40.991450,0,-571.294654,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,259,gf,318.503600,0.40634819091,-572.120981,-253.617381,-40.991450,0,-572.120981,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,260,gf,319.802811,0.40634819091,-573.692163,-253.889352,-40.991450,0,-573.692163,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,261,gf,321.102023,0.40634819091,-575.159043,-254.057021,-40.991450,0,-575.159043,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,262,gf,322.401234,0.40634819091,-577.344350,-254.943115,-40.991450,0,-577.344350,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,263,gf,323.700446,0.40634819091,-581.629228,-257.928782,-40.991450,0,-581.629228,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,264,gf,324.999658,0.40634819091,-584.604986,-259.605328,-40.991450,0,-584.604986,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,265,gf,326.298869,0.40634819091,-585.399178,-259.100309,-40.991450,0,-585.399178,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,266,gf,327.598081,0.40634819091,-586.955609,-259.357528,-40.991450,0,-586.955609,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,267,gf,328.897293,0.40634819091,-588.400141,-259.502848,-40.991450,0,-588.400141,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,268,gf,330.196504,0.40634819091,-590.582739,-260.386234,-40.991450,0,-590.582739,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,269,gf,331.495716,0.40634819091,-594.848965,-263.353249,-40.991450,0,-594.848965,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,270,gf,332.794927,0.40634819091,-597.916043,-265.121115,-40.991450,0,-597.916043,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,271,gf,334.094139,0.40634819091,-598.678097,-264.583958,-40.991450,0,-598.678097,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,272,gf,335.393351,0.40634819091,-600.219773,-264.826422,-40.991450,0,-600.219773,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,273,gf,336.692562,0.40634819091,-601.641933,-264.949371,-40.991450,0,-601.641933,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,274,gf,337.991774,0.40634819091,-603.821811,-265.830037,-40.991450,0,-603.821811,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,275,gf,339.290986,0.40634819091,-608.068268,-268.777282,-40.991450,0,-608.068268,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,276,gf,340.590197,0.40634819091,-611.227805,-270.637608,-40.991450,0,-611.227806,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,277,gf,341.889409,0.40634819091,-611.957719,-270.068310,-40.991450,0,-611.957719,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,278,gf,343.188620,0.40634819091,-613.484635,-270.296014,-40.991450,0,-613.484635,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,279,gf,344.487832,0.40634819091,-614.884404,-270.396572,-40.991450,0,-614.884404,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,280,gf,345.787044,0.40634819091,-617.061550,-271.274506,-40.991450,0,-617.061550,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,281,gf,347.086255,0.40634819091,-621.287231,-274.200976,-40.991450,0,-621.287231,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,282,gf,348.385467,0.40634819091,-624.540254,-276.154787,-40.991450,0,-624.540254,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,283,gf,349.684679,0.40634819091,-625.238022,-275.553344,-40.991450,0,-625.238022,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,284,gf,350.983890,0.40634819091,-626.750175,-275.766285,-40.991450,0,-626.750175,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,285,gf,352.283102,0.40634819091,-628.127535,-275.844433,-40.991450,0,-628.127535,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,286,gf,353.582313,0.40634819091,-630.301940,-276.719626,-40.991450,0,-630.301940,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,287,gf,354.881525,0.40634819091,-634.505939,-279.624414,-40.991450,0,-634.505939,blocked
