weight,count
0,1
22,13
24,232
26,1416
28,8150
30,32187
32,109026
34,292492
36,673433
38,1255656
40,2001675
42,2579088
44,2869517
46,2581880
48,1999811
50,1253820
52,675859
54,292683
56,108145
58,32320
60,8049
62,1485
64,246
66,32
