k,k_eff,N,delta,d,sigma,block_bits,blocks,d0,h,outer_log2,outer_z,inner_log2,term_log2,cum_log2
1048576,1048640,2097280,0.106,222311,40,80,13108,12,1,-inf,,-2.237846,-inf,-inf
1048576,1048640,2097280,0.106,222311,40,80,13108,12,2,-inf,,-4.475692,-inf,-inf
1048576,1048640,2097280,0.106,222311,40,80,13108,12,3,-inf,,-6.713537,-inf,-inf
1048576,1048640,2097280,0.106,222311,40,80,13108,12,4,-inf,,-8.951381,-inf,-inf
1048576,1048640,2097280,0.106,222311,40,80,13108,12,5,-inf,,-11.189224,-inf,-inf
1048576,1048640,2097280,0.106,222311,40,80,13108,12,6,-inf,,-13.427067,-inf,-inf
1048576,1048640,2097280,0.106,222311,40,80,13108,12,7,-inf,,-15.664909,-inf,-inf
1048576,1048640,2097280,0.106,222311,40,80,13108,12,8,-inf,,-17.902750,-inf,-inf
1048576,1048640,2097280,0.106,222311,40,80,13108,12,9,-inf,,-20.140591,-inf,-inf
1048576,1048640,2097280,0.106,222311,40,80,13108,12,10,-inf,,-22.378431,-inf,-inf
1048576,1048640,2097280,0.106,222311,40,80,13108,12,11,-inf,,-24.616270,-inf,-inf
1048576,1048640,2097280,0.106,222311,40,80,13108,12,12,-2.456096,0.141400061521,-26.854109,-29.310205,-29.310205
1048576,1048640,2097280,0.106,222311,40,80,13108,12,13,0.366049,0.141400061521,-29.091946,-28.725897,-27.988669
1048576,1048640,2097280,0.106,222311,40,80,13108,12,14,3.188195,0.141400061521,-31.329784,-28.141589,-27.063104
1048576,1048640,2097280,0.106,222311,40,80,13108,12,15,6.010340,0.141400061521,-33.567620,-27.557280,-26.289135
1048576,1048640,2097280,0.106,222311,40,80,13108,12,16,8.832486,0.141400061521,-35.805456,-26.972970,-25.590909
1048576,1048640,2097280,0.106,222311,40,80,13108,12,17,11.654631,0.141400061521,-38.043291,-26.388660,-24.935333
1048576,1048640,2097280,0.106,222311,40,80,13108,12,18,14.476776,0.141400061521,-40.281125,-25.804349,-24.305374
1048576,1048640,2097280,0.106,222311,40,80,13108,12,19,17.298922,0.141400061521,-42.518958,-25.220037,-23.691402
1048576,1048640,2097280,0.106,222311,40,80,13108,12,20,20.121067,0.141400061521,-44.756791,-24.635724,-23.087640
1048576,1048640,2097280,0.106,222311,40,80,13108,12,21,22.943212,0.141400061521,-46.994623,-24.051411,-22.490500
1048576,1048640,2097280,0.106,222311,40,80,13108,12,22,25.765358,0.141400061521,-49.232455,-23.467097,-21.897694
1048576,1048640,2097280,0.106,222311,40,80,13108,12,23,28.587503,0.141400061521,-51.470285,-22.882782,-21.307744
1048576,1048640,2097280,0.106,222311,40,80,13108,12,24,31.252331,0.173712159159,-53.708115,-22.455784,-20.770460
1048576,1048640,2097280,0.106,222311,40,80,13108,12,25,33.742427,0.192539805332,-55.945944,-22.203518,-20.315921
1048576,1048640,2097280,0.106,222311,40,80,13108,12,26,36.119198,0.192539805332,-58.183773,-22.064575,-19.940098
1048576,1048640,2097280,0.106,222311,40,80,13108,12,27,38.492887,0.21340807009,-60.421601,-21.928713,-19.615886
1048576,1048640,2097280,0.106,222311,40,80,13108,12,28,40.721201,0.21340807009,-62.659428,-21.938227,-19.352920
1048576,1048640,2097280,0.106,222311,40,80,13108,12,29,42.949514,0.21340807009,-64.897254,-21.947740,-19.131932
1048576,1048640,2097280,0.106,222311,40,80,13108,12,30,45.082886,0.236538124161,-67.135080,-22.052194,-18.952926
1048576,1048640,2097280,0.106,222311,40,80,13108,12,31,47.162741,0.236538124161,-69.372905,-22.210164,-18.809421
1048576,1048640,2097280,0.106,222311,40,80,13108,12,32,49.228925,0.262175109676,-71.610729,-22.381804,-18.692972
1048576,1048640,2097280,0.106,222311,40,80,13108,12,33,51.160322,0.262175109676,-73.848553,-22.688230,-18.605230
1048576,1048640,2097280,0.106,222311,40,80,13108,12,34,53.091720,0.262175109676,-76.086375,-22.994656,-18.537984
1048576,1048640,2097280,0.106,222311,40,80,13108,12,35,54.970255,0.290590738289,-78.324197,-23.353942,-18.487654
1048576,1048640,2097280,0.106,222311,40,80,13108,12,36,56.753195,0.290590738289,-80.562019,-23.808824,-18.452011
1048576,1048640,2097280,0.106,222311,40,80,13108,12,37,58.536134,0.290590738289,-82.799839,-24.263705,-18.426552
1048576,1048640,2097280,0.106,222311,40,80,13108,12,38,60.319073,0.290590738289,-85.037659,-24.718586,-18.408257
1048576,1048640,2097280,0.106,222311,40,80,13108,12,39,62.075170,0.322086170895,-87.275478,-25.200308,-18.395297
1048576,1048640,2097280,0.106,222311,40,80,13108,12,40,63.709651,0.322086170895,-89.513297,-25.803645,-18.386829
1048576,1048640,2097280,0.106,222311,40,80,13108,12,41,65.344133,0.322086170895,-91.751114,-26.406982,-18.381283
1048576,1048640,2097280,0.106,222311,40,80,13108,12,42,66.978614,0.322086170895,-93.988931,-27.010317,-18.377643
1048576,1048640,2097280,0.106,222311,40,80,13108,12,43,68.613095,0.322086170895,-96.226747,-27.613652,-18.375253
1048576,1048640,2097280,0.106,222311,40,80,13108,12,44,70.247577,0.322086170895,-98.464563,-28.216986,-18.373681
1048576,1048640,2097280,0.106,222311,40,80,13108,12,45,71.882058,0.322086170895,-100.702377,-28.820319,-18.372648
1048576,1048640,2097280,0.106,222311,40,80,13108,12,46,73.516539,0.322086170895,-102.940191,-29.423652,-18.371968
1048576,1048640,2097280,0.106,222311,40,80,13108,12,47,75.151021,0.322086170895,-105.178005,-30.026984,-18.371521
1048576,1048640,2097280,0.106,222311,40,80,13108,12,48,76.785502,0.322086170895,-107.415817,-30.630315,-18.371227
1048576,1048640,2097280,0.106,222311,40,80,13108,12,49,78.419984,0.322086170895,-109.653629,-31.233645,-18.371033
1048576,1048640,2097280,0.106,222311,40,80,13108,12,50,80.054465,0.322086170895,-111.891440,-31.836975,-18.370905
1048576,1048640,2097280,0.106,222311,40,80,13108,12,51,81.688946,0.322086170895,-114.129250,-32.440303,-18.370821
1048576,1048640,2097280,0.106,222311,40,80,13108,12,52,83.323428,0.322086170895,-116.367059,-33.043631,-18.370766
1048576,1048640,2097280,0.106,222311,40,80,13108,12,53,84.957909,0.322086170895,-118.604868,-33.646959,-18.370730
1048576,1048640,2097280,0.106,222311,40,80,13108,12,54,86.592391,0.322086170895,-120.842676,-34.250285,-18.370706
1048576,1048640,2097280,0.106,222311,40,80,13108,12,55,88.226872,0.322086170895,-123.080483,-34.853611,-18.370690
1048576,1048640,2097280,0.106,222311,40,80,13108,12,56,89.861353,0.322086170895,-125.318289,-35.456936,-18.370680
1048576,1048640,2097280,0.106,222311,40,80,13108,12,57,91.495835,0.322086170895,-127.556094,-36.060260,-18.370673
1048576,1048640,2097280,0.106,222311,40,80,13108,12,58,93.130316,0.322086170895,-129.793899,-36.663583,-18.370669
1048576,1048640,2097280,0.106,222311,40,80,13108,12,59,94.764797,0.322086170895,-132.031702,-37.266905,-18.370666
1048576,1048640,2097280,0.106,222311,40,80,13108,12,60,96.399279,0.322086170895,-134.269505,-37.870227,-18.370664
1048576,1048640,2097280,0.106,222311,40,80,13108,12,61,98.033760,0.322086170895,-136.507307,-38.473547,-18.370662
