sigma,offset,k,N,delta,d,h_max,r_max,total_log2_hle30,margin_bits_hle30,peak_h,peak_term_log2,peak_outer_log2,peak_inner_log2
24,4,1048576,2097176,0.106,222300,30,12,-0.001620,0.001620,6,-2.920995,10.506043,-13.427038
32,12,1048576,2097184,0.106,222301,30,12,-6.298032,6.298032,8,-8.912531,8.990210,-17.902741
40,20,1048576,2097192,0.106,222302,30,12,-12.087817,12.087817,9,-14.807343,5.333229,-20.140572
48,28,1048576,2097200,0.106,222303,30,12,-17.868817,17.868817,10,-20.718520,1.659880,-22.378400
56,36,1048576,2097208,0.106,222304,30,12,-23.649662,23.649662,12,-26.586660,0.267400,-26.854059
64,44,1048576,2097216,0.106,222304,30,12,-29.430620,29.430620,13,-32.455230,-3.363265,-29.091965
72,52,1048576,2097224,0.106,222305,30,12,-35.211599,35.211599,15,-38.317360,-4.749734,-33.567626
80,60,1048576,2097232,0.106,222306,30,12,-40.992920,40.992920,16,-44.159768,-8.354322,-35.805446
