H,e0_log2,e1_log2,e2_log2,e3_log2,e4_log2,e5_log2,e6_log2,e7_log2,e8_log2,total_log2
0,-656040.9993273108,-63.8926492,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-63.8926492
1,-656040.9993273108,-64.84975686509478,-127.78529840279889,-inf,-inf,-inf,-inf,-inf,-inf,-64.84975686509478
2,-656040.9993273108,-66.2219834287678,-127.35651895115274,-191.6780094913881,-inf,-inf,-inf,-inf,-inf,-66.2219834287678
3,-656040.9993273108,-67.76415630942232,-127.80183252625173,-190.43779509826035,-255.5707824614429,-inf,-inf,-inf,-inf,-67.76415630942232
4,-656040.9993273108,-69.39944789529973,-128.64512478851503,-190.2219566081417,-253.77188362994278,-319.4636173163643,-inf,-inf,-inf,-69.39944789529973
5,-656040.9993273108,-71.09363847965774,-129.7188851221177,-190.52058775714303,-253.04919774458085,-317.2480621934963,-383.35651407303146,-inf,-inf,-71.09363847965774
6,-656040.9993273108,-72.82847463150082,-130.94355917876254,-191.1338039177678,-252.90488322466433,-316.11990694047347,-380.81423902951605,-447.24947272510417,-inf,-72.82847463150082
7,-656040.9993273108,-74.59306084416399,-132.27489626925606,-191.96031156106073,-253.1294336406398,-315.6051482785076,-379.35236727151755,-444.44169605681,-511.14249326876154,-74.59306084416399
8,-656040.9993273108,-76.38036937432918,-133.6856851125774,-192.94127612354288,-253.61124536093598,-315.4950151542696,-378.52164612960735,-442.69945543055104,-508.11297824617617,-76.38036937432918
9,-656040.9993273108,-78.1856017859244,-135.15797768875524,-194.03937817555948,-254.28317289352398,-315.67381412585934,-378.1189992946222,-441.59530045700336,-506.1314178230493,-78.1856017859244
10,-656040.9993273108,-80.00533553712033,-136.67930400538526,-195.22942000964653,-255.10150427647775,-316.06985262626534,-378.02828192764497,-440.93408834750716,-504.78798171533566,-80.00533553712033
11,-656040.9993273108,-81.83704358032384,-138.24064461163937,-196.49357151713653,-256.0361308740479,-316.6354059759242,-378.175661988292,-440.601430550589,-503.8961875784247,-81.83704358032384
12,-656040.9993273108,-83.6788068701165,-139.83526307014657,-197.81874509771225,-257.0654076636305,-317.3370264913799,-378.5110096754801,-440.5229672358247,-503.34474214909307,-83.6788068701165
13,-656040.9993273108,-85.52913366788918,-141.45799432132728,-199.19504678031117,-258.17324084419243,-318.15033278097883,-378.99864233485937,-440.64729640913356,-503.05986829391003,-85.52913366788918
14,-656040.9993273108,-87.38684146468246,-143.10479070716002,-200.61481330208878,-259.34733308347495,-319.05698939059556,-379.61222332248946,-440.9373053346626,-502.9897171096968,-87.38684146468246
15,-656040.9993273108,-89.25097695789415,-144.77242095436796,-202.07198718861216,-260.5780731388581,-320.0428524611951,-380.3317429624894,-441.365285852616,-503.09635083248185,-89.25097695789415
16,-656040.9993273108,-91.12076041762555,-146.45826428423496,-203.56169674373982,-261.8578047996482,-321.0967781607731,-381.14163310261114,-441.9099870285836,-503.35113850475057,-91.12076041762555
17,-656040.9993273108,-92.99554593930809,-148.16016559977962,-205.07996508680282,-263.1803291850972,-322.2098276568819,-382.0295379342341,-442.5547440738901,-503.7319263381344,-92.99554593930809
18,-656040.9993273108,-94.87479247296608,-149.87633125041032,-206.62350339477666,-264.54055625024984,-323.37471978412594,-382.9854839199595,-443.2862417972148,-504.2212127020198,-94.87479247296608
19,-656040.9993273108,-96.75804229464842,-151.60525243784699,-208.1895606681349,-265.93425476292947,-324.5854440167137,-384.0013023576836,-444.09366986074724,-504.80492576718615,-96.75804229464842
20,-656040.9993273108,-98.64490470920087,-153.34564787685463,-209.7758123925497,-267.3578690711805,-325.8369803797234,-385.0702173474425,-444.9681293009245,-505.4715789626909,-98.64490470920087
