weight,count
0,1
13,1764
14,6300
15,7707
16,23121
17,177660
18,454020
19,352800
20,776160
21,4820112
22,9202032
23,5486040
24,9143400
25,42679728
26,62378064
27,28457632
28,36588384
29,132625080
30,150308424
31,53382483
32,53382483
33,150308424
34,132625080
35,36588384
36,28457632
37,62378064
38,42679728
39,9143400
40,5486040
41,9202032
42,4820112
43,776160
44,352800
45,454020
46,177660
47,23121
48,7707
49,6300
50,1764
63,1
