power,k,sigma,c,delta,n,w_out_log2,h0,s_tiny_log2,s_low_log2,gap_worst,gap_eta,s_lin_log2,s_top_log2,total_log2,h_cap,h_small_log2,h_tail_log2,h_total_log2,r_small_log2,r_total_log2,a_stop_h,a_peak_h,a_peak_log2,a_small_log2,a_tail_log2,a_total_log2,l_stop_h,l_peak_h,l_peak_log2,l_tail_log2,l_total_log2,q_single,q_peak_h,q_peak_log2,q_total_log2,m_gamma,m_peak_h,m_peak_log2,m_total_log2,ms_gamma,ms_peak_h,ms_peak_log2,ms_total_log2,m0_gamma,m0_peak_h,m0_peak_log2,m0_total_log2,b_opt_log2,b_ctr_log2,b_safe_log2,b_pess_log2
10,1024,14,4,0.12,2062.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-272.4274553238865,-860.0122363598522,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,4.0,-3.1627119860375075,-inf,0.4756406029027334,0.24,4.0,-3.221463765409448,-0.6408623212351513,0.04268188040000001,4.0,-3.559739765005597,-1.356593571422728,0.04085999999999998,4.0,-3.544183085168406,-1.3326447790824523,0.048,3.0,-3.6029320635872493,-1.423825006608931,0.4756406029027334,-1.356593571422728,-1.3326447790824523,-0.6408623212351513
10,1024,15,5,0.12,2063.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-272.56466061160927,-860.4314432239563,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,3.0,-6.278904978847853,-inf,-4.360413099894667,0.24,4.0,-3.961296583673544,-1.4699059134301002,0.04268188040000001,4.0,-4.29958761340983,-2.1461633553261894,0.04085999999999998,4.0,-4.284030831310597,-2.1224371725729045,0.048,4.0,-4.34499170499868,-2.2130674563499535,-4.360413099894667,-2.1461633553261894,-2.1224371725729045,-1.4699059134301002
10,1024,16,6,0.12,2064.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-272.700862983031,-860.8506500880604,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,3.0,-8.328644720746137,-inf,-7.1209375672444315,0.24,4.0,-4.706432483735269,-2.24423718489149,0.04268188040000001,4.0,-5.044738529130593,-2.912009018126254,0.04085999999999998,4.0,-5.029181644867083,-2.887803700866185,0.048,4.0,-5.090142922024838,-2.98046607783202,-7.1209375672444315,-2.912009018126254,-2.887803700866185,-2.24423718489149
10,1024,17,7,0.12,2065.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-272.83706605116436,-861.2698569521644,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,3.0,-11.158149859285357,-inf,-9.777818976635169,0.24,4.0,-5.460907321455776,-2.9856724397158336,0.04268188040000001,4.0,-5.799228368049958,-3.6645511047229116,0.04085999999999998,4.0,-5.783671381719801,-3.6394129897469027,0.048,4.0,-5.8446330619617335,-3.7357755436231352,-9.777818976635169,-3.6645511047229116,-3.6394129897469027,-2.9856724397158336
10,1024,18,8,0.12,2066.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-272.97427133888715,-861.6890638162686,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,2.0,-13.637130610958092,-inf,-12.010729582774141,0.24,5.0,-6.16182425508798,-3.707130960183923,0.04268188040000001,4.0,-6.564331307990826,-4.4098940983250055,0.04085999999999998,4.0,-6.548774219691507,-4.38352504055412,0.048,4.0,-6.609736302632679,-4.484682671174548,-12.010729582774141,-4.4098940983250055,-4.38352504055412,-3.707130960183923
12,4096,16,4,0.12,8208.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-1113.698949999359,-3434.4749011350136,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,5.0,-3.3515592911367644,-inf,-0.03386647702923189,0.24,4.0,-2.6800457402212166,0.19912891225289758,0.04268188040000001,4.0,-3.041639142961661,-0.8135877802993543,0.04085999999999998,4.0,-3.0259228975136034,-0.7847232767880826,0.048,4.0,-3.0875136026346803,-0.89423597346137,-0.03386647702923189,-0.8135877802993543,-0.7847232767880826,0.19912891225289758
12,4096,17,5,0.12,8209.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-1113.8359031337925,-3434.8941079991178,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,4.0,-6.412547423484657,-inf,-4.804372652948723,0.24,5.0,-3.434398942674699,-0.716002917637205,0.04268188040000001,4.0,-3.8096941838391327,-1.6257599184977034,0.04085999999999998,4.0,-3.7939779318035587,-1.597841102168077,0.048,4.0,-3.8555686629464123,-1.7042241182099547,-4.804372652948723,-1.6257599184977034,-1.597841102168077,-0.716002917637205
12,4096,18,6,0.12,8210.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-1113.9728563122894,-3435.313314863222,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,3.0,-8.87192202957068,-inf,-7.642567861500679,0.24,5.0,-4.144660207432188,-1.541663421369938,0.04268188040000001,4.0,-4.581252844996405,-2.406976259015153,0.04085999999999998,4.0,-4.565536586374914,-2.378986649140468,0.048,4.0,-4.627127343533227,-2.4859541896026225,-7.642567861500679,-2.406976259015153,-2.378986649140468,-1.541663421369938
12,4096,19,7,0.12,8211.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-1114.1098095348345,-3435.7325217273255,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,3.0,-10.873123681225179,-38.24770977959982,-10.035415027210934,0.24,5.0,-4.857213469913161,-2.3140678254647056,0.04268188040000001,4.0,-5.360079301164973,-3.170740273464067,0.04085999999999998,4.0,-5.344363035959162,-3.1420352164199596,0.048,4.0,-5.405953819126621,-3.2519407999122154,-10.035415027210934,-3.170740273464067,-3.1420352164199596,-2.3140678254647056
12,4096,20,8,0.12,8212.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-1114.2470148225573,-3436.1517285914297,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,21.0,3.0,-13.730090439420513,-inf,-12.51781820982683,0.24,5.0,-5.5773352479298,-3.054392150062851,0.04268188040000001,4.0,-6.147481515511965,-3.9249651530716956,0.04085999999999998,4.0,-6.131765243723434,-3.8951321239979655,0.048,4.0,-6.193356052893725,-4.009479496515307,-12.51781820982683,-3.9249651530716956,-3.8951321239979655,-3.054392150062851
14,16384,18,4,0.12,32786.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-4483.932277957388,-13735.758694512037,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,5.0,-2.7308095626737288,-inf,-0.0719699153822666,0.24,5.0,-2.0810194352625278,1.1459165589907232,0.04268188040000001,4.0,-2.5639978765294353,-0.24273814108433367,0.04085999999999998,4.0,-2.5482409887503463,-0.2077763419305778,0.048,4.0,-2.609992242666338,-0.3398054547917039,-0.0719699153822666,-0.24273814108433367,-0.2077763419305778,1.1459165589907232
14,16384,19,5,0.12,32787.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-4484.069483245111,-13736.17790137614,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,4.0,-6.047905359772141,-17.94271435387245,-4.7827854574895925,0.24,5.0,-2.8263892638068278,0.10224805351516156,0.04268188040000001,4.0,-3.3548699579790693,-1.0812167382847093,0.04085999999999998,4.0,-3.3391130697849523,-1.0482830464450332,0.048,4.0,-3.4008643253404696,-1.1733442360160913,-4.7827854574895925,-1.0812167382847093,-1.0482830464450332,0.10224805351516156
14,16384,20,6,0.12,32788.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-4484.2066254131505,-13736.597108240245,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,4.0,-9.75225796891154,-35.41493509707861,-8.151161521151401,0.24,5.0,-3.562461002054561,-0.8007161862890702,0.04268188040000001,4.0,-4.148024690661074,-1.87916644420172,0.04085999999999998,4.0,-4.132267802051955,-1.846793101610906,0.048,4.0,-4.194019059246897,-1.9702125316409513,-8.151161521151401,-1.87916644420172,-1.846793101610906,-0.8007161862890702
14,16384,21,7,0.12,32789.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-4484.343767583951,-13737.016315104349,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,22.0,3.0,-11.493449263174154,-44.86407391943729,-10.483710734831957,0.24,5.0,-4.299880443263402,-1.61970716310243,0.04268188040000001,5.0,-4.912182415932091,-2.6540386877264184,0.04085999999999998,5.0,-4.885929778223475,-2.621302180227986,0.048,5.0,-4.988813272959471,-2.7464273859659705,-10.483710734831957,-2.6540386877264184,-2.621302180227986,-1.61970716310243
14,16384,22,8,0.12,32790.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-4484.480909757514,-13737.435521968453,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,20.0,3.0,-13.471416932103965,-inf,-12.699930537360775,0.24,6.0,-5.0431301305603,-2.3883013624597567,0.04268188040000001,5.0,-5.655771007227505,-3.4161165204272064,0.04085999999999998,5.0,-5.629518368558193,-3.382434970407452,0.048,5.0,-5.732401867099407,-3.5113712191292965,-12.699930537360775,-3.4161165204272064,-3.382434970407452,-2.3883013624597567
16,65536,20,4,0.12,131092.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-17970.035892605545,-54944.309777162984,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,6.0,-2.8509680618552107,-inf,0.08291225533620253,0.24,5.0,-1.5049699055798662,2.243495098932652,0.04268188040000001,5.0,-2.119871661073814,0.3427537983176629,0.04085999999999998,5.0,-2.0935953792351985,0.38510352360596767,0.048,4.0,-2.174725451558431,0.22605226946180623,0.08291225533620253,0.3427537983176629,0.38510352360596767,2.243495098932652
16,65536,21,5,0.12,131093.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-17970.173097893265,-54944.72898402709,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,5.0,-6.92418463748937,-inf,-5.063219184380435,0.24,5.0,-2.2720480190508727,1.0181186735114278,0.04268188040000001,5.0,-2.886949781162274,-0.5273780514757072,0.04085999999999998,5.0,-2.8606734992634415,-0.4885678008102786,0.048,5.0,-2.9636506476915034,-0.63532257278087,-5.063219184380435,-0.5273780514757072,-0.4885678008102786,1.0181186735114278
16,65536,22,6,0.12,131094.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-17970.310287394248,-54945.14819089119,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,4.0,-9.355146717221032,-inf,-8.156326147432791,0.24,6.0,-3.0080922906646066,0.0009184424725421853,0.04268188040000001,5.0,-3.644968122843297,-1.3450613184182243,0.04085999999999998,5.0,-3.618691840884251,-1.3077168837514899,0.048,5.0,-3.7216689895508246,-1.4496530367046494,-8.156326147432791,-1.3450613184182243,-1.3077168837514899,0.0009184424725421853
16,65536,23,7,0.12,131095.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-17970.447476895402,-54945.567397755294,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,21.0,1.0,-12.736712457913164,-inf,-11.081164386602213,0.24,6.0,-3.7206101372789497,-0.8881433883302152,0.04268188040000001,5.0,-4.403610084622755,-2.132537298167858,0.04085999999999998,5.0,-4.377333802603494,-2.0953516615716583,0.048,5.0,-4.480310951508577,-2.237175176389196,-11.081164386602213,-2.132537298167858,-2.0953516615716583,-0.8881433883302152
16,65536,24,8,0.12,131096.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-17970.584682183126,-54945.9866046194,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,19.0,3.0,-14.145921488252798,-inf,-13.12021645591489,0.24,6.0,-4.432288764757405,-1.6994987701889877,0.04268188040000001,5.0,-5.16729870261429,-2.9030452400673195,0.04085999999999998,5.0,-5.141022420534816,-2.865200287080413,0.048,5.0,-5.243999569678404,-3.0098500465898264,-13.12021645591489,-2.9030452400673195,-2.865200287080413,-1.6994987701889877
18,262144,22,4,0.12,524310.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-71919.62489403832,-219781.99446644454,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,6.0,-2.3531818497363375,-inf,0.4458373170599434,0.24,13.0,-0.7043838821930315,3.5161931128611568,0.04268188040000001,5.0,-1.5932202078791278,0.9404816694491723,0.04085999999999998,5.0,-1.5669380044634345,0.9917097205473001,0.048,5.0,-1.6699386082262837,0.8004836298633399,0.4458373170599434,0.9404816694491723,0.9917097205473001,3.5161931128611568
18,262144,23,5,0.12,524311.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-71919.76209932605,-219782.41367330865,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,5.0,-6.416418249536987,-inf,-4.937374015907241,0.24,6.0,-1.6547215374380393,2.06303033816416,0.04268188040000001,5.0,-2.3788571311722517,0.03244661112351522,0.04085999999999998,5.0,-2.3525749277527908,0.07812600145100745,0.048,5.0,-2.4555755315305596,-0.09375421908322791,-4.937374015907241,0.03244661112351522,0.07812600145100745,2.06303033816416
18,262144,24,6,0.12,524312.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-71919.8993006666,-219782.83288017273,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,4.0,-10.073570314955688,-38.95720538209847,-8.412422667974697,0.24,6.0,-2.400137934529665,0.8886534691868792,0.04268188040000001,5.0,-3.155698697623703,-0.8088043045665952,0.04085999999999998,5.0,-3.129416494200476,-0.7658291217235538,0.048,5.0,-3.232417097993163,-0.9285680372851925,-8.412422667974697,-0.8088043045665952,-0.7658291217235538,0.8886534691868792
18,262144,25,7,0.12,524313.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-71920.03650200715,-219783.25208703685,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,21.0,1.0,-12.736895885549185,-inf,-11.193819860404604,0.24,6.0,-3.133273367229801,-0.10175426199604473,0.04268188040000001,5.0,-3.932601592813226,-1.6110822314268631,0.04085999999999998,5.0,-3.9063193893862334,-1.5689988509998218,0.048,5.0,-4.009319993193838,-1.7290835132577316,-11.193819860404604,-1.6110822314268631,-1.5689988509998218,-0.10175426199604473
18,262144,26,8,0.12,524314.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-71920.17370729487,-219783.67129390096,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,18.0,1.0,-14.736893592559792,-inf,-13.720266080198137,0.24,6.0,-3.865221181632597,-0.9764599560682332,0.04268188040000001,5.0,-4.713645021601675,-2.391197146689892,0.04085999999999998,5.0,-4.687362818170918,-2.34886968260274,0.048,5.0,-4.790363421993439,-2.5103536484070132,-13.720266080198137,-2.391197146689892,-2.34886968260274,-0.9764599560682332
20,1048576,24,4,0.12,2097176.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-287723.15701680054,-879136.2182575259,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,7.0,-2.227183147065718,-inf,0.8599503114309571,0.24,24.0,1.03379091463907,4.94908382507944,0.04268188040000001,5.0,-1.1077782786758554,1.5513408853769326,0.04085999999999998,5.0,-1.081494594229584,1.6131612100586685,0.048,5.0,-1.1845010644339702,1.3838722512209185,0.8599503114309571,1.5513408853769326,1.6131612100586685,4.94908382507944
20,1048576,25,5,0.12,2097177.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-287723.29422110145,-879136.63746439,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,5.0,-7.356719475002203,-inf,-5.055595924861827,0.24,14.0,-0.9668389212958672,3.2521855515531968,0.04268188040000001,5.0,-1.909410959045525,0.5985285981346441,0.04085999999999998,5.0,-1.8831272745990173,0.6522405491695868,0.048,5.0,-1.9861337448043361,0.45124771580022766,-5.055595924861827,0.5985285981346441,0.6522405491695868,3.2521855515531968
20,1048576,26,6,0.12,2097178.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-287723.43142638914,-879137.0566712541,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,2.0,-10.717612171152044,-35.487156092127066,-8.59755559031215,0.24,7.0,-1.8325282526840816,1.8853818112615264,0.04268188040000001,5.0,-2.702521921327074,-0.27075625445662,0.04085999999999998,5.0,-2.676238236880332,-0.22137959221666753,0.048,5.0,-2.7792447070865816,-0.40756247541469665,-8.59755559031215,-0.27075625445662,-0.22137959221666753,1.8853818112615264
20,1048576,27,7,0.12,2097179.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-287723.5686306901,-879137.4758781183,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,20.0,4.0,-12.66567628267691,-inf,-11.182768277059546,0.24,7.0,-2.5617406742116007,0.7592209942792894,0.04268188040000001,5.0,-3.495257611423873,-1.090527761652764,0.04085999999999998,5.0,-3.4689739269768944,-1.0430339738407017,0.048,5.0,-3.5719803971840767,-1.2231421673191487,-11.182768277059546,-1.090527761652764,-1.0430339738407017,0.7592209942792894
20,1048576,28,8,0.12,2097180.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-287723.70583499095,-879137.8950849824,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,18.0,1.0,-14.736946332237896,-inf,-13.894951417458985,0.24,7.0,-3.275555895986315,-0.20490407962438487,0.04268188040000001,6.0,-4.260262074363654,-1.8817840760022713,0.04085999999999998,6.0,-4.22083677232634,-1.8346227022107544,0.048,5.0,-4.36812192153277,-2.0141570016343753,-13.894951417458985,-1.8817840760022713,-1.8346227022107544,-0.20490407962438487
