k,k_eff,N,delta,d,sigma,block_bits,blocks,d0,h,outer_log2,outer_z,inner_log2,term_log2,cum_log2
1048576,1048576,2097152,0.104,218103,32,256,4096,32,1,-inf,,-2.265328,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,2,-inf,,-4.530654,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,3,-inf,,-6.795980,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,4,-inf,,-9.061306,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,5,-inf,,-11.326631,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,6,-inf,,-13.591954,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,7,-inf,,-15.857278,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,8,-inf,,-18.122600,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,9,-inf,,-20.387922,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,10,-inf,,-22.653243,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,11,-inf,,-24.918563,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,12,-inf,,-27.183883,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,13,-inf,,-29.449202,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,14,-inf,,-31.714520,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,15,-inf,,-33.979837,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,16,-inf,,-36.245153,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,17,-inf,,-38.510469,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,18,-inf,,-40.775784,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,19,-inf,,-43.041098,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,20,-inf,,-45.306411,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,21,-inf,,-47.571723,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,22,-inf,,-49.837034,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,23,-inf,,-52.102345,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,24,-inf,,-54.367654,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,25,-inf,,-56.632962,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,26,-inf,,-58.898269,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,27,-inf,,-61.163575,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,28,-inf,,-63.428880,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,29,-inf,,-65.694183,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,30,-inf,,-67.959485,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,31,-inf,,-70.224786,-inf,-inf
1048576,1048576,2097152,0.104,218103,32,256,4096,32,32,37.629712,0.202087410346,-72.490085,-34.860373,-34.860373
1048576,1048576,2097152,0.104,218103,32,256,4096,32,33,39.148185,0.364110441035,-74.755382,-35.607197,-34.185990
1048576,1048576,2097152,0.104,218103,32,256,4096,32,34,40.605737,0.364110441035,-77.020677,-36.414940,-33.907037
1048576,1048576,2097152,0.104,218103,32,256,4096,32,35,42.063289,0.364110441035,-79.285970,-37.222682,-33.768961
1048576,1048576,2097152,0.104,218103,32,256,4096,32,36,43.520840,0.364110441035,-81.551261,-38.030420,-33.695634
1048576,1048576,2097152,0.104,218103,32,256,4096,32,37,44.978392,0.364110441035,-83.816549,-38.838157,-33.655359
1048576,1048576,2097152,0.104,218103,32,256,4096,32,38,46.435944,0.364110441035,-86.081834,-39.645890,-33.632845
