enum,n,q1,h,bits_per_pair,pred_bits_per_pair,pred_bits_per_pair_hdep
enum_WC12_WC120.120.12.txt,120,0.16666666666666666,2,0.22808026914150134,0.26504446503616325,0.2333844381026447
enum_WC12_WC120.120.12.txt,120,0.16666666666666666,3,0.24222667398174194,0.26504446503616325,0.24393778041381814
enum_WC12_WC120.120.12.txt,120,0.16666666666666666,4,0.25789114829764775,0.26504446503616325,0.2544911227249916
enum_WC12_WC120.120.12.txt,120,0.16666666666666666,5,0.27560617740878135,0.26504446503616325,0.265044465036165
enum_WC12_WC120.120.12.txt,120,0.16666666666666666,6,0.2958826390371962,0.26504446503616325,0.27559780734733846
enum_WC12_WC120.120.12.txt,120,0.16666666666666666,7,0.319447885049778,0.26504446503616325,0.2861511496585119
enum_WC12_WC120.120.12.txt,120,0.16666666666666666,8,0.3476341913629026,0.26504446503616325,0.29670449196968535
enum_WC12_WC120.120.12.txt,120,0.18333333333333332,2,0.20637791426346597,0.24177696322580433,0.21011693629228606
enum_WC12_WC120.120.12.txt,120,0.18333333333333332,3,0.21795510139966368,0.24177696322580433,0.2206702786034595
enum_WC12_WC120.120.12.txt,120,0.18333333333333332,4,0.2305676687929161,0.24177696322580433,0.23122362091463294
enum_WC12_WC120.120.12.txt,120,0.18333333333333332,5,0.24460796415197672,0.24177696322580433,0.24177696322580638
enum_WC12_WC120.120.12.txt,120,0.18333333333333332,6,0.2604009673884057,0.24177696322580433,0.2523303055369798
enum_WC12_WC120.120.12.txt,120,0.18333333333333332,7,0.27833540497522,0.24177696322580433,0.26288364784815327
enum_WC12_WC120.120.12.txt,120,0.18333333333333332,8,0.29905098264873053,0.24177696322580433,0.2734369901593267
enum_WC12_WC120.120.12.txt,120,0.2,2,0.18842786315155333,0.21850946141544542,0.18684943448192737
enum_WC12_WC120.120.12.txt,120,0.2,3,0.1980882224139057,0.21850946141544542,0.1974027767931008
enum_WC12_WC120.120.12.txt,120,0.2,4,0.20846058528866518,0.21850946141544542,0.20795611910427425
enum_WC12_WC120.120.12.txt,120,0.2,5,0.21986553385418084,0.21850946141544542,0.2185094614154477
enum_WC12_WC120.120.12.txt,120,0.2,6,0.23252002415337442,0.21850946141544542,0.22906280372662113
enum_WC12_WC120.120.12.txt,120,0.2,7,0.24665314201695518,0.21850946141544542,0.23961614603779458
enum_WC12_WC120.120.12.txt,120,0.2,8,0.262615952150251,0.21850946141544542,0.250169488348968
enum_WC12_WC120.120.12.txt,120,0.21666666666666667,2,0.17333352084743092,0.1952419596050865,0.16358193267156873
enum_WC12_WC120.120.12.txt,120,0.21666666666666667,3,0.18152676877813956,0.1952419596050865,0.17413527498274217
enum_WC12_WC120.120.12.txt,120,0.21666666666666667,4,0.1902099594146137,0.1952419596050865,0.1846886172939156
enum_WC12_WC120.120.12.txt,120,0.21666666666666667,5,0.19965645937110826,0.1952419596050865,0.19524195960508905
enum_WC12_WC120.120.12.txt,120,0.21666666666666667,6,0.21002154528410222,0.1952419596050865,0.2057953019162625
enum_WC12_WC120.120.12.txt,120,0.21666666666666667,7,0.2214556052189497,0.1952419596050865,0.21634864422743594
enum_WC12_WC120.120.12.txt,120,0.21666666666666667,8,0.23416623330727784,0.1952419596050865,0.22690198653860938
enum_WC12_WC120.120.12.txt,120,0.23333333333333334,2,0.1604639606399843,0.1719744577947276,0.14031443086121004
enum_WC12_WC120.120.12.txt,120,0.23333333333333334,3,0.16750909845273412,0.1719744577947276,0.15086777317238348
enum_WC12_WC120.120.12.txt,120,0.23333333333333334,4,0.17488580054354208,0.1719744577947276,0.16142111548355692
enum_WC12_WC120.120.12.txt,120,0.23333333333333334,5,0.18283724933224893,0.1719744577947276,0.17197445779473036
enum_WC12_WC120.120.12.txt,120,0.23333333333333334,6,0.19148102344915344,0.1719744577947276,0.1825278001059038
enum_WC12_WC120.120.12.txt,120,0.23333333333333334,7,0.20092460648189053,0.1719744577947276,0.19308114241707725
enum_WC12_WC120.120.12.txt,120,0.23333333333333334,8,0.21129701416982133,0.1719744577947276,0.2036344847282507
enum_WC16_WC128.128.16.txt,128,0.1875,2,0.18702427106365618,0.2359600877732146,0.20430006083969637
enum_WC16_WC128.128.16.txt,128,0.1875,3,0.19559853895455903,0.2359600877732146,0.21485340315086981
enum_WC16_WC128.128.16.txt,128,0.1875,4,0.20492374018850593,0.2359600877732146,0.22540674546204326
enum_WC16_WC128.128.16.txt,128,0.1875,5,0.21517502841655234,0.2359600877732146,0.2359600877732167
enum_WC16_WC128.128.16.txt,128,0.1875,6,0.22656183062777419,0.2359600877732146,0.24651343008439014
enum_WC16_WC128.128.16.txt,128,0.1875,7,0.2393929767563504,0.2359600877732146,0.2570667723955636
enum_WC16_WC128.128.16.txt,128,0.1875,8,0.25410837657881424,0.2359600877732146,0.267620114706737
enum_WC16_WC128.128.16.txt,128,0.203125,2,0.1721404197248114,0.21414680482600312,0.18248677789248513
enum_WC16_WC128.128.16.txt,128,0.203125,3,0.1793759965569944,0.21414680482600312,0.19304012020365857
enum_WC16_WC128.128.16.txt,128,0.203125,4,0.18718101902710915,0.21414680482600312,0.203593462514832
enum_WC16_WC128.128.16.txt,128,0.203125,5,0.19568305694088456,0.21414680482600312,0.21414680482600545
enum_WC16_WC128.128.16.txt,128,0.203125,6,0.20501328174473218,0.21414680482600312,0.2247001471371789
enum_WC16_WC128.128.16.txt,128,0.203125,7,0.2153755950023309,0.21414680482600312,0.23525348944835234
enum_WC16_WC128.128.16.txt,128,0.203125,8,0.22703369462370343,0.21414680482600312,0.24580683175952578
enum_WC16_WC128.128.16.txt,128,0.21875,2,0.159450289109172,0.19233352187879166,0.1606734949452739
enum_WC16_WC128.128.16.txt,128,0.21875,3,0.16563871256691146,0.19233352187879166,0.17122683725644733
enum_WC16_WC128.128.16.txt,128,0.21875,4,0.17226729927877363,0.19233352187879166,0.18178017956762077
enum_WC16_WC128.128.16.txt,128,0.21875,5,0.17943561210590936,0.19233352187879166,0.1923335218787942
enum_WC16_WC128.128.16.txt,128,0.21875,6,0.18722616873418527,0.19233352187879166,0.20288686418996765
enum_WC16_WC128.128.16.txt,128,0.21875,7,0.19577766446628053,0.19233352187879166,0.2134402065011411
enum_WC16_WC128.128.16.txt,128,0.21875,8,0.20526304440728435,0.19233352187879166,0.22399354881231454
enum_WC16_WC128.128.16.txt,128,0.234375,2,0.14850280111623024,0.17052023893158014,0.13886021199806264
enum_WC16_WC128.128.16.txt,128,0.234375,3,0.1538566975471253,0.17052023893158014,0.14941355430923609
enum_WC16_WC128.128.16.txt,128,0.234375,4,0.15955759977485293,0.17052023893158014,0.15996689662040953
enum_WC16_WC128.128.16.txt,128,0.234375,5,0.1656821671026508,0.17052023893158014,0.17052023893158297
enum_WC16_WC128.128.16.txt,128,0.234375,6,0.17228762709713086,0.17052023893158014,0.1810735812427564
enum_WC16_WC128.128.16.txt,128,0.234375,7,0.17947251195035688,0.17052023893158014,0.19162692355392985
enum_WC16_WC128.128.16.txt,128,0.234375,8,0.1873516257478332,0.17052023893158014,0.2021802658651033
enum_WC16_WC128.128.16.txt,128,0.25,2,0.1389616800337904,0.14870695598436867,0.1170469290508514
enum_WC16_WC128.128.16.txt,128,0.25,3,0.14363962072323475,0.14870695598436867,0.12760027136202484
enum_WC16_WC128.128.16.txt,128,0.25,4,0.1485954917471314,0.14870695598436867,0.13815361367319828
enum_WC16_WC128.128.16.txt,128,0.25,5,0.15389044328114865,0.14870695598436867,0.14870695598437172
enum_WC16_WC128.128.16.txt,128,0.25,6,0.15956401741803167,0.14870695598436867,0.15926029829554517
enum_WC16_WC128.128.16.txt,128,0.25,7,0.16568834024408272,0.14870695598436867,0.1698136406067186
enum_WC16_WC128.128.16.txt,128,0.25,8,0.17234201841959254,0.14870695598436867,0.18036698291789205
