band,code,weight,count
2,primal,31,70767393455573668
2,primal,32,119419975869731838
2,primal,33,191795718988889968
2,primal,34,293334630570727888
2,primal,35,427430461020920352
2,primal,36,593653414405999536
2,primal,37,786189657434973892
2,primal,38,993081679633485022
2,primal,39,1196790742265579196
2,primal,40,1376309342875602686
2,primal,41,1510583424681409268
2,primal,42,1582515981580730858
2,primal,43,1582515981580730858
2,primal,44,1510583424681409268
2,primal,45,1376309342875602686
2,primal,46,1196790742265579196
2,primal,47,993081679633485022
2,primal,48,786189657434973892
2,primal,49,593653414405999536
2,primal,50,427430461020920352
2,primal,51,293334630570727888
2,primal,52,191795718988889968
2,primal,53,119419975869731838
2,primal,54,70767393455573668
2,primal,55,39887076124292712
2,primal,56,21368076338030500
2,primal,57,10871477638846568
2,primal,58,5248299642567388
2,primal,59,2401764149149356
2,primal,60,1040764416273576
2,primal,61,426542813286292
2,primal,62,165113364455144
2,primal,63,60279481122740
2,primal,64,20721068475145
2,primal,65,6694500381584
2,primal,66,2028636139536
2,primal,67,575283433600
2,primal,68,152281247312
2,primal,69,37519146540
2,primal,70,8575742377
2,primal,71,1811665258
2,primal,72,352265393
2,primal,73,62739214
2,primal,74,10175771
2,primal,75,1493747
2,primal,76,196590
2,primal,77,22809
2,primal,78,2314
2,primal,79,161
2,primal,80,8
2,primal,85,1
2,dual,0,1
2,dual,22,11
2,dual,24,56
2,dual,26,485
2,dual,28,2647
2,dual,30,8959
2,dual,32,27444
2,dual,34,66102
2,dual,36,136217
2,dual,38,224148
2,dual,40,314184
2,dual,42,357712
2,dual,44,347073
2,dual,46,269068
2,dual,48,180210
2,dual,50,96746
2,dual,52,43719
2,dual,54,15929
2,dual,56,4980
2,dual,58,1195
2,dual,60,232
2,dual,62,29
2,dual,64,5
