k,k_eff,N,delta,d,sigma,block_bits,blocks,d0,h_max,model,singleton_volume,total_log2,margin_bits,peak_h,peak_term_log2,peak_outer_log2,peak_inner_log2
1048576,1048640,2097280,0.106,222311,32,80,13108,12,160,random-like,0,-18.370627,18.370627,27,-21.928695,38.492887,-60.421583
1048576,1048640,2097280,0.106,222311,32,80,13108,13,160,random-like,0,-18.371716,18.371716,27,-21.928878,38.492705,-60.421583
1048576,1048640,2097280,0.106,222311,32,80,13108,14,160,random-like,0,-18.373549,18.373549,27,-21.929312,38.492270,-60.421583
1048576,1048640,2097280,0.106,222311,32,80,13108,15,160,random-like,0,-18.376843,18.376843,27,-21.931934,38.489649,-60.421583
1048576,1048640,2097280,0.106,222311,32,80,13108,16,160,random-like,0,-18.382590,18.382590,27,-21.938964,38.482618,-60.421583
1048576,1048640,2097280,0.106,222311,32,80,13108,17,160,random-like,0,-18.394956,18.394956,28,-21.945786,40.713621,-62.659406
1048576,1048640,2097280,0.106,222311,32,80,13108,18,160,random-like,0,-18.418699,18.418699,28,-21.952938,40.706468,-62.659406
1048576,1048640,2097280,0.106,222311,32,80,13108,19,160,random-like,0,-18.482263,18.482263,28,-21.965148,40.694259,-62.659406
1048576,1048640,2097280,0.106,222311,32,80,13108,20,160,random-like,0,-18.597004,18.597004,28,-21.984831,40.674575,-62.659406
1048576,1048640,2097280,0.106,222311,32,80,13108,21,160,random-like,0,-18.839833,18.839833,28,-22.014973,40.644434,-62.659406
1048576,1048640,2097280,0.106,222311,32,80,13108,22,160,random-like,0,-18.687913,18.687913,28,-22.066693,40.592713,-62.659406
1048576,1048640,2097280,0.106,222311,32,80,13108,23,160,random-like,0,-18.811410,18.811410,29,-22.129993,42.767235,-64.897229
1048576,1048640,2097280,0.106,222311,32,80,13108,24,160,random-like,0,-18.965458,18.965458,29,-22.212810,42.684419,-64.897229
1048576,1048640,2097280,0.106,222311,32,80,13108,25,160,random-like,0,-19.161546,19.161546,30,-22.330074,44.804976,-67.135050
1048576,1048640,2097280,0.106,222311,32,80,13108,26,160,random-like,0,-19.377353,19.377353,30,-22.466200,44.668850,-67.135050
1048576,1048640,2097280,0.106,222311,32,80,13108,27,160,random-like,0,-19.681769,19.681769,31,-22.643253,46.729617,-69.372869
1048576,1048640,2097280,0.106,222311,32,80,13108,28,160,random-like,0,-20.027717,20.027717,32,-22.854366,48.756322,-71.610687
1048576,1048640,2097280,0.106,222311,32,80,13108,29,160,random-like,0,-20.348887,20.348887,33,-23.130661,50.717842,-73.848504
1048576,1048640,2097280,0.106,222311,32,80,13108,30,160,random-like,0,-20.838674,20.838674,34,-23.502788,52.583530,-76.086318
1048576,1048640,2097280,0.106,222311,32,80,13108,31,160,random-like,0,-20.894502,20.894502,34,-23.703081,52.383237,-76.086318
1048576,1048640,2097280,0.106,222311,32,80,13108,32,160,random-like,0,-21.329991,21.329991,35,-24.090340,54.233790,-78.324131
1048576,1048640,2097280,0.106,222311,32,80,13108,33,160,random-like,0,-21.804119,21.804119,35,-24.478834,53.845297,-78.324131
1048576,1048640,2097280,0.106,222311,32,80,13108,34,160,random-like,0,-22.348495,22.348495,36,-24.975524,55.586417,-80.561941
1048576,1048640,2097280,0.106,222311,32,80,13108,35,160,random-like,0,-22.999154,22.999154,38,-25.557557,59.479997,-85.037554
1048576,1048640,2097280,0.106,222311,32,80,13108,36,160,random-like,0,-23.676055,23.676055,39,-26.152684,61.122672,-87.275356
1048576,1048640,2097280,0.106,222311,32,80,13108,37,160,random-like,0,-24.379864,24.379864,40,-26.825821,62.687334,-89.513155
1048576,1048640,2097280,0.106,222311,32,80,13108,38,160,random-like,0,-24.722526,24.722526,40,-27.180172,62.332983,-89.513155
1048576,1048640,2097280,0.106,222311,32,80,13108,39,160,random-like,0,-25.443977,25.443977,41,-27.862059,63.888891,-91.750951
1048576,1048640,2097280,0.106,222311,32,80,13108,40,160,random-like,0,-26.206508,26.206508,42,-28.597266,65.391476,-93.988742
