power,k,sigma,c,delta,n,w_out_log2,h0,s_tiny_log2,s_low_log2,gap_worst,gap_eta,s_lin_log2,s_top_log2,total_log2,h_cap,h_small_log2,h_tail_log2,h_total_log2,r_small_log2,r_total_log2
20,1048576,20,0,0.11,2097172.0,7.715779229664858,10.0,35.17761873168074,6.735329238318733,-0.08410484708168553,0.5000032188136595,-176361.85089849212,-879134.5414300695,35.17761873563616,64.0,-23.246835609044506,-15.676695722738833,-15.66912399125453,89.37927953305284,89.37927953305284
20,1048576,21,1,0.11,2097173.0,7.130816728943702,10.0,24.8764646853437,6.150366737597576,-0.08410484708168553,0.5000032188136595,-176361.93500235237,-879134.9606369337,24.87646801237475,64.0,-24.24683514196585,-16.26165822345999,-16.25597570074838,88.87928022104622,88.87928022104622
20,1048576,22,2,0.11,2097174.0,6.545854228222546,10.0,15.118029659179516,5.56540423687642,-0.08410484708168553,0.5000032188136595,-176362.01910719948,-879135.3798437978,15.119949471422498,64.0,-25.24683467522258,-16.846620724181147,-16.842356733792183,38.15881264861669,38.15881264861669
20,1048576,23,3,0.11,2097175.0,5.960891727501389,10.0,8.861615748024084,4.980441736155264,-0.08410484708168553,0.5000032188136595,-176362.10321105973,-879135.7990506619,8.95634593886968,64.0,-26.24683420847879,-17.4315832249023,-17.428384050171214,4.661591940154653,4.661592262607389
20,1048576,24,4,0.11,2097176.0,5.375929226780233,10.0,7.427011069526161,4.395479235434107,-0.08410484708168553,0.5000032188136595,-176362.18731491998,-879136.2182575259,7.593466374450559,64.0,-27.246833741398596,-18.01654572562346,-18.01414567896648,-1.90277798252908,-1.9027576381685753
