outer_weight,aggregate_log2,peak_first_r,peak_remaining_ones,peak_gap_min,peak_gap_max,peak_inner_mode,peak_outer_log2_bound,peak_placement_log2,peak_inner_log2,peak_best_lambda,peak_best_alpha,peak_best_rho,peak_term_log2
549,-202.80181412566904,1,548,1,4000,cap,741.5312633950023,-944.372461227279,0.0,nan,nan,nan,-202.84119783227675
550,-203.1861354296534,1,549,1,4000,cap,742.8674729980113,-946.0930642368476,0.0,nan,nan,nan,-203.22559123883627
551,-203.57045831959954,1,550,1,4000,cap,744.2036826010203,-947.813668833659,0.0,nan,nan,nan,-203.60998623263868
552,-203.9547827855181,1,551,1,4000,cap,745.5398922040293,-949.5342750078198,0.0,nan,nan,nan,-203.99438280379047
553,-204.33910883157102,1,552,1,4000,cap,746.8761018070384,-951.2548827634064,0.0,nan,nan,nan,-204.37878095636802
554,-204.7234364599812,1,553,1,4000,cap,748.2123114100474,-952.9754921027106,0.0,nan,nan,nan,-204.76318069266324
555,-205.10776566595868,1,554,1,4000,cap,749.5485210130565,-954.6961030208713,0.0,nan,nan,nan,-205.14758200781478
556,-205.492096442479,1,555,1,4000,cap,750.8847306160656,-956.4167155109299,0.0,nan,nan,nan,-205.5319848948643
557,-205.87642881069263,1,556,1,4000,cap,752.2209402190746,-958.137329594053,0.0,nan,nan,nan,-205.9163893749784
558,-206.2607627557972,1,557,1,4000,cap,753.5571498220836,-959.8579452553167,0.0,nan,nan,nan,-206.30079543323313
559,-206.64509828434774,1,558,1,4000,cap,754.8933594250926,-961.5785625014096,0.0,nan,nan,nan,-206.68520307631695
560,-207.0294353842872,1,559,1,4000,cap,756.2295690281017,-963.2991813201907,0.0,nan,nan,nan,-207.069612292089
561,-207.41377406690572,1,560,1,4000,cap,757.5657786311107,-965.0198017229932,0.0,nan,nan,nan,-207.4540230918825
562,-207.79811433350642,1,561,1,4000,cap,758.9019882341197,-966.7404237111341,0.0,nan,nan,nan,-207.8384354770144
563,-208.18245617804922,1,562,1,4000,cap,760.2381978371287,-968.4610472785125,0.0,nan,nan,nan,-208.2228494413838
564,-208.56679959499772,1,563,1,4000,cap,761.5744074401377,-970.1816724196042,0.0,nan,nan,nan,-208.60726497946644
565,-208.9511445923888,1,564,1,4000,cap,762.9106170431469,-971.9022991425263,0.0,nan,nan,nan,-208.99168209937943
566,-209.33549117548606,1,565,1,4000,cap,764.2468266461559,-973.6229274524649,0.0,nan,nan,nan,-209.37610080630895
567,-209.71983933481093,1,566,1,4000,cap,765.5830362491649,-975.3435573399865,0.0,nan,nan,nan,-209.7605210908216
568,-210.10418907798234,1,567,1,4000,cap,766.919245852174,-977.064188812591,0.0,nan,nan,nan,-210.1449429604171
569,-210.48854039697036,1,568,1,4000,cap,768.255455455183,-978.7848218624267,0.0,nan,nan,nan,-210.52936640724374
570,-210.87289330165908,1,569,1,4000,cap,769.591665058192,-980.5054564992852,0.0,nan,nan,nan,-210.91379144109317
571,-211.2572477786829,1,570,1,4000,cap,770.927874661201,-982.2260927097659,0.0,nan,nan,nan,-211.29821804856488
572,-211.6416038390303,1,571,1,4000,cap,772.26408426421,-983.9467305049566,0.0,nan,nan,nan,-211.68264624074652
573,-212.02596148356918,1,572,1,4000,cap,773.6002938672191,-985.6673698856066,0.0,nan,nan,nan,-212.06707601838752
574,-212.41032070083762,1,573,1,4000,cap,774.9365034702282,-987.3880108403864,0.0,nan,nan,nan,-212.4515073701582
575,-212.79468150086777,1,574,1,4000,cap,776.2727130732372,-989.108653379195,0.0,nan,nan,nan,-212.8359403059577
576,-213.1790438746911,1,575,1,4000,cap,777.6089226762463,-990.8292974931637,0.0,nan,nan,nan,-213.22037481691746
577,-213.5634078370952,1,576,1,4000,cap,778.9451322792553,-992.5499431970175,0.0,nan,nan,nan,-213.60481091776217
578,-213.94777337653846,1,577,1,4000,cap,780.2813418822643,-994.270590479262,0.0,nan,nan,nan,-213.98924859699764
579,-214.33214048526983,1,578,1,4000,cap,781.6175514852733,-995.9912393321329,0.0,nan,nan,nan,-214.37368784685953
580,-214.71650919010997,1,579,1,4000,cap,782.9537610882824,-997.7118897823975,0.0,nan,nan,nan,-214.75812869411516
581,-215.10087946536063,1,580,1,4000,cap,784.2899706912914,-999.4325418044318,0.0,nan,nan,nan,-215.14257111314043
582,-215.48525131557435,1,581,1,4000,cap,785.6261802943004,-1001.1531954027696,0.0,nan,nan,nan,-215.5270151084692
583,-215.8696247537192,1,582,1,4000,cap,786.9623898973094,-1002.873850590353,0.0,nan,nan,nan,-215.91146069304352
584,-216.25399977055395,1,583,1,4000,cap,788.2985995003186,-1004.5945073579651,0.0,nan,nan,nan,-216.2959078576465
585,-216.63837637063259,1,584,1,4000,cap,789.6348091033276,-1006.315165710138,0.0,nan,nan,nan,-216.6803566068104
586,-217.0227545418044,1,585,1,4000,cap,790.9710187063366,-1008.0358256347536,0.0,nan,nan,nan,-217.06480692841694
587,-217.40713429600754,1,586,1,4000,cap,792.3072283093456,-1009.7564871437189,0.0,nan,nan,nan,-217.44925883437327
588,-217.79151563256266,1,587,1,4000,cap,793.6434379123547,-1011.4771502363537,0.0,nan,nan,nan,-217.83371232399907
589,-218.17589854383803,1,588,1,4000,cap,794.9796475153637,-1013.1978149050356,0.0,nan,nan,nan,-218.21816738967186
590,-218.56028303798797,1,589,1,4000,cap,796.3158571183727,-1014.9184811579671,0.0,nan,nan,nan,-218.6026240395944
591,-218.94466911272383,1,590,1,4000,cap,797.6520667213817,-1016.6391489927692,0.0,nan,nan,nan,-218.9870822713874
592,-219.32905676556388,1,591,1,4000,cap,798.9882763243908,-1018.3598184070179,0.0,nan,nan,nan,-219.37154208262712
593,-219.7134460014752,1,592,1,4000,cap,800.3244859273999,-1020.0804894056464,0.0,nan,nan,nan,-219.7560034782465
594,-220.09783681002034,1,593,1,4000,cap,801.6606955304089,-1021.8011619783065,0.0,nan,nan,nan,-220.14046644789755
595,-220.48222920626742,1,594,1,4000,cap,802.996905133418,-1023.5218361399329,0.0,nan,nan,nan,-220.52493100651498
596,-220.86662317861044,1,595,1,4000,cap,804.333114736427,-1025.2425118789988,0.0,nan,nan,nan,-220.90939714257183
