H,e0_log2,e1_log2,e2_log2,e3_log2,e4_log2,e5_log2,e6_log2,e7_log2,e8_log2,total_log2
0,-408364.40466250916,-63.8926492,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-63.8926492
1,-408364.40466250916,-64.49522904194978,-127.7852984006155,-inf,-inf,-inf,-inf,-inf,-inf,-64.49522904194978
2,-408364.40466250916,-65.51292750569326,-127.06264756148946,-191.67802672328554,-inf,-inf,-inf,-inf,-inf,-65.51292750569326
3,-408364.40466250916,-66.70057202038255,-127.17857960517355,-190.1964895038649,-255.57083417607174,-inf,-inf,-inf,-inf,-66.70057202038255
4,-408364.40466250916,-67.98133497157183,-127.68110397510556,-189.67803103290976,-253.57553761130444,-319.4637207615775,-inf,-inf,-inf,-67.98133497157183
5,-408364.40466250916,-69.32099663639546,-128.40901603871012,-189.65131168950907,-252.5779577791523,-317.0896864242292,-383.3566864823639,-inf,-inf,-69.32099663639546
6,-408364.40466250916,-70.70130359998129,-129.2851363775794,-189.9285360038968,-252.1252472992166,-315.714648398328,-380.6875488258896,-447.2497313498098,-inf,-70.70130359998129
7,-408364.40466250916,-72.11136035028981,-130.2663084136322,-190.41327993763088,-252.02485987131274,-314.90979894119204,-379.0064331781826,-444.3411537733687,-511.1428553564412,-72.11136035028981
8,-408364.40466250916,-73.5441391520647,-131.3258950505596,-191.04901970913892,-252.17255958346615,-314.4869710126919,-377.90502892801135,-442.40634497426635,-508.03379509855176,-73.5441391520647
9,-408364.40466250916,-74.99484155042339,-132.44627854816642,-191.79966541714884,-252.50482252654828,-314.34020734187635,-377.20307630978033,-441.0517180216406,-505.88488775841876,-74.99484155042339
10,-408364.40466250916,-76.46004501965989,-133.61519240513192,-192.64073113213558,-252.97989755900826,-314.402802153302,-376.7962650900345,-440.1056549350578,-504.3116598305526,-76.46004501965989
11,-408364.40466250916,-77.93722250680656,-134.82374935600933,-193.55482625248987,-253.56882087014253,-314.6297885241861,-376.6171188120675,-439.4672956138682,-503.150417289203,-77.93722250680656
12,-408364.40466250916,-79.42445495838344,-136.0653025649158,-194.52914878012643,-254.25065710924056,-314.9893467842786,-376.6191124071327,-439.06994853647484,-502.3045697754444,-79.42445495838344
13,-408364.40466250916,-80.92025065727908,-137.33474988973518,-195.55399819804563,-255.0097742603614,-315.45811037250365,-376.76872071530244,-438.8666919819187,-501.70919960932946,-80.92025065727908
14,-408364.40466250916,-82.42342707303625,-138.62808909746707,-196.62184677774513,-255.83418763815325,-316.0184057019531,-377.0409618209359,-438.8231397190086,-501.3178149839599,-82.42342707303625
15,-408364.40466250916,-83.933030916489,-139.942122584221,-197.7267348191112,-256.71450489473585,-316.65653736040593,-377.4167128953611,-438.91331171041935,-501.0958035369431,-83.933030916489
16,-408364.40466250916,-85.44828244967687,-141.27425501939007,-198.86386286528204,-257.6432274197523,-317.3616752692134,-377.8810074788572,-439.1170939302037,-501.0166662901731,-85.44828244967687
17,-408364.40466250916,-86.96853577340572,-142.62235092158073,-200.02930856921617,-258.6142726014593,-318.12510626783177,-378.42191081138503,-439.41859482294393,-501.0596612300586,-86.96853577340572
18,-408364.40466250916,-88.49324984038714,-143.98463199419115,-201.21982502667942,-259.62263797548405,-318.93971540677137,-379.02975196893783,-439.8050406954055,-501.20825020277397,-88.49324984038714
19,-408364.40466250916,-90.02196691323394,-145.3596016145286,-202.4326939687019,-260.6641594830975,-319.7996171323623,-379.6965848526266,-440.26601029250327,-501.44903713020693,-90.02196691323394
20,-408364.40466250916,-91.55429630754064,-146.74598830924353,-203.66561683776953,-261.73533386343206,-320.6998871886562,-380.41580072065585,-440.79289065903873,-501.7710211874188,-91.55429630754064
21,-408364.40466250916,-93.08990189312594,-148.14270271550433,-204.91663254091497,-262.8331857294657,-321.63636386665064,-381.1818437785091,-441.37848165055624,-502.16505895219603,-93.08990189312594
22,-408364.40466250916,-94.62849238402936,-149.54880436777012,-206.18405442685838,-263.955166498828,-322.60549814216455,-381.98999860305065,-442.01670292332494,-502.6234691704571,-94.62849238402936
