H,e0_log2,e1_log2,e2_log2,e3_log2,e4_log2,e5_log2,e6_log2,e7_log2,e8_log2,total_log2
0,-916624.1598032789,-63.8926492,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-63.8926492
1,-916624.1598032789,-65.1341222402222,-127.78529840254697,-inf,-inf,-inf,-inf,-inf,-inf,-65.1341222402222
2,-916624.1598032789,-66.79071435637977,-127.60323357059013,-191.6779984213066,-inf,-inf,-inf,-inf,-inf,-66.79071435637977
3,-916624.1598032789,-68.61725296150148,-128.31803492334615,-190.65061856979307,-255.57074924578188,-inf,-inf,-inf,-inf,-68.61725296150148
4,-916624.1598032789,-70.53691045457761,-129.4377240881797,-190.6885137932589,-253.9544391488818,-319.4635508891991,-inf,-inf,-inf,-70.53691045457761
5,-916624.1598032789,-72.51546711274257,-130.79088469658788,-191.2547858369895,-253.46907327296242,-317.4037937166816,-383.35640335147417,-inf,-inf,-72.51546711274257
6,-916624.1598032789,-74.53466951574973,-132.29653387017606,-192.14190246678163,-253.58288286281658,-316.49611959283027,-380.94637654568584,-447.24930663596615,-inf,-74.53466951574973
7,-916624.1598032789,-76.58362216768295,-133.90977442114678,-193.24563340734176,-254.07528511928362,-316.2292519104355,-379.68796355078814,-444.5532299977863,-511.14226074893134,-76.58362216768295
8,-916624.1598032789,-78.65529730910086,-135.60305985553816,-194.50578766141473,-254.83018838542696,-316.38036530740413,-379.0942464949578,-442.99748055310346,-508.20664327580386,-78.65529730910086
9,-916624.1598032789,-80.74489649855701,-137.35825101456004,-195.88433623857944,-255.7783248098268,-316.8277271542854,-378.94568429533416,-442.11886899821326,-506.394886309963,-80.74489649855701
10,-916624.1598032789,-82.84899720497098,-139.16276095959844,-197.35567538936155,-256.87486007416413,-317.49671103075565,-379.1185899487027,-441.7040321393576,-505.2650548174622,-82.84899720497098
11,-916624.1598032789,-84.96507238612406,-141.00749466338263,-198.9017263121451,-258.08904014852084,-318.33802048272526,-379.53535412979085,-441.6296354486338,-504.6113977965198,-84.96507238612406
12,-916624.1598032789,-87.0912029751001,-142.8856646507139,-200.50924074310535,-259.3988240127799,-319.3172983936727,-380.1437923927332,-441.8166832523546,-504.31242271634727,-87.0912029751001
13,-916624.1598032789,-89.22589726016211,-144.7920702077294,-202.16821643879598,-260.78786210328946,-320.4096039929603,-380.907024282672,-442.21120732354797,-504.2888627302034,-89.22589726016211
14,-916624.1598032789,-91.36797272160187,-146.72263796035324,-203.87091450087095,-262.2436847783043,-321.59624022246845,-381.79797372255445,-442.7745851264281,-504.4857684500886,-91.36797272160187
15,-916624.1598032789,-93.51647604606822,-148.6741176365052,-205.61122305922677,-263.756560629982,-322.86281975373134,-382.79615246414255,-443.4781722611332,-504.8633583540709,-93.51647604606822
16,-916624.1598032789,-95.67062751978585,-150.64387414318253,-207.38423033438175,-265.3187471930986,-324.1980291720809,-383.88567016388987,-444.3001106906629,-505.39185175401747,-95.67062751978585
17,-916624.1598032789,-97.82978122743724,-152.62974135427652,-209.185929227038,-266.9239820750401,-325.5928080325929,-385.05394671572566,-445.22332666895693,-506.0483472729439,-97.82978122743724
18,-916624.1598032789,-99.99339612442122,-154.62991701366056,-211.01300773493526,-268.56712748255393,-327.0397858081808,-386.2908479647441,-446.23422046746197,-506.8148392470416,-99.99339612442122
19,-916624.1598032789,-102.16101448678666,-156.6428854961375,-212.8626967710147,-270.2439155956537,-328.532884877966,-387.5880873311995,-447.3217781664067,-507.6769051669952,-102.16101448678666
20,-916624.1598032789,-104.3322456140048,-158.66736002891267,-214.7326574991643,-271.95076226094886,-330.06703393974834,-388.93880054458737,-448.47695157839235,-508.62280772947133,-104.3322456140048
21,-916624.1598032789,-106.50675338126887,-160.70223883083364,-216.6208965312585,-273.6846281540039,-331.6379569072192,-390.3372365493123,-449.6922143911816,-509.64286306726035,-106.50675338126887
22,-916624.1598032789,-108.68424651067988,-162.74657124139884,-218.52570101282882,-275.4429134935219,-333.2420144903278,-391.77852827716794,-450.9612373682719,-510.7289853159751,-108.68424651067988
23,-916624.1598032789,-110.86447092210472,-164.79953126979768,-220.44558828852638,-277.22337705447336,-334.87608344054235,-393.25851971158954,-452.2786461456815,-511.87435139309457,-110.86447092210472
24,-916624.1598032789,-113.04720367991362,-166.8603967224237,-222.37926641181298,-279.0240730673896,-336.53746321104467,-394.77363341797474,-453.63983758820217,-513.0731497134548,-113.04720367991362
25,-916624.1598032789,-115.23224807456984,-168.92853247649975,-224.32560273243067,-280.84330138221327,-338.22380279856384,-396.32076758283904,-455.0408383725743,-514.3203886616336,-115.23224807456984
26,-916624.1598032789,-117.4194296923366,-171.00337704741705,-226.28359875338327,-282.6795677793857,-339.9330428356728,-397.89721508841643,-456.4781947200907,-515.6117485799651,-117.4194296923366
27,-916624.1598032789,-119.60859315516916,-173.08443161178346,-228.25236972415735,-284.5315519554945,-341.66336917833917,-399.50059909734676,-457.94888528453134,-516.9434658004432,-119.60859315516916
28,-916624.1598032789,-121.7995994314735,-175.1712509988969,-230.23112796995449,-286.3980814990149,-343.4131753822579,-401.1288212865333,-459.4502516107026,-518.3122407449183,-121.7995994314735
29,-916624.1598032789,-123.99232365613807,-177.2634362957983,-232.21916921899893,-288.27811061271564,-345.1810321520157,-402.78001991073586,-460.97994211942046,-519.7151643744254,-123.99232365613807
