k,N,delta,d,sigma,offset,h,outer_source,outer_log2,outer_z,inner_log2,term_log2,cum_log2,best_r,best_piece_log2,survivor_only_sum
1048576,2097152,0.106,222298,32,12,1,gf,-6.628911,0.005,-2.237843,-8.866754,-8.866754,0,-2.237843,exact
1048576,2097152,0.106,222298,32,12,2,exact,1.000352,,-4.475684,-3.475332,-3.441364,0,-4.475684,exact
1048576,2097152,0.106,222298,32,12,3,exact,2.005624,,-6.713526,-4.707901,-2.939893,0,-6.713526,exact
1048576,2097152,0.106,222298,32,12,4,exact,3.356795,,-8.951366,-5.594571,-2.727256,0,-8.951366,exact
1048576,2097152,0.106,222298,32,12,5,exact,4.728129,,-11.189206,-6.461077,-2.622700,0,-11.189206,exact
1048576,2097152,0.106,222298,32,12,6,exact,6.265068,,-13.427045,-7.161977,-2.561951,0,-13.427045,exact
1048576,2097152,0.106,222298,32,12,7,exact,7.982221,,-15.664883,-7.682662,-2.521070,0,-15.664883,exact
1048576,2097152,0.106,222298,32,12,8,exact,9.807275,,-17.902721,-8.095446,-2.491106,0,-17.902721,exact
1048576,2097152,0.106,222298,32,12,9,exact,11.636414,,-20.140558,-8.504144,-2.468938,0,-20.140558,exact
1048576,2097152,0.106,222298,32,12,10,exact,13.406124,,-22.378394,-8.972270,-2.453122,0,-22.378394,exact
1048576,2097152,0.106,222298,32,12,11,exact,15.096900,,-24.616229,-9.519329,-2.442396,0,-24.616230,exact
1048576,2097152,0.106,222298,32,12,12,exact,16.714537,,-26.854064,-10.139527,-2.435461,0,-26.854064,exact
1048576,2097152,0.106,222298,32,12,13,exact,18.275573,,-29.091897,-10.816325,-2.431139,0,-29.091899,exact
1048576,2097152,0.106,222298,32,12,14,exact,19.799282,,-31.329731,-11.530448,-2.428512,0,-31.329732,exact
1048576,2097152,0.106,222298,32,12,15,exact,21.303734,,-33.567563,-12.263829,-2.426933,0,-33.567565,exact
1048576,2097152,0.106,222298,32,12,16,exact,22.803939,,-35.805394,-13.001456,-2.425987,0,-35.805397,exact
1048576,2097152,0.106,222298,32,12,17,exact,24.310835,,-38.043225,-13.732390,-2.425418,0,-38.043228,exact
1048576,2097152,0.106,222298,32,12,18,exact,25.830594,,-40.281055,-14.450461,-2.425072,0,-40.281058,exact
1048576,2097152,0.106,222298,32,12,19,exact,27.364478,,-42.518884,-15.154406,-2.424859,0,-42.518888,exact
1048576,2097152,0.106,222298,32,12,20,exact,28.909702,,-44.756712,-15.847010,-2.424728,0,-44.756717,exact
1048576,2097152,0.106,222298,32,12,21,exact,30.461159,,-46.994540,-16.533380,-2.424646,0,-46.994546,exact
1048576,2097152,0.106,222298,32,12,22,exact,32.013342,,-49.232366,-17.219024,-2.424595,0,-49.232374,exact
1048576,2097152,0.106,222298,32,12,23,exact,33.561762,,-51.470191,-17.908430,-2.424564,0,-51.470200,exact
1048576,2097152,0.106,222298,32,12,24,exact,35.103592,,-53.708016,-18.604424,-2.424545,0,-53.708027,exact
1048576,2097152,0.106,222298,32,12,25,exact,36.637691,,-55.945839,-19.308148,-2.424533,0,-55.945852,exact
1048576,2097152,0.106,222298,32,12,26,exact,38.164254,,-58.183662,-20.019408,-2.424525,0,-58.183677,exact
1048576,2097152,0.106,222298,32,12,27,exact,39.684334,,-60.421483,-20.737149,-2.424521,0,-60.421501,exact
1048576,2097152,0.106,222298,32,12,28,exact,41.199386,,-62.659303,-21.459917,-2.424518,0,-62.659325,exact
1048576,2097152,0.106,222298,32,12,29,exact,42.710886,,-64.897122,-22.186235,-2.424517,0,-64.897147,exact
1048576,2097152,0.106,222298,32,12,30,exact,44.220075,,-67.134939,-22.914864,-2.424516,0,-67.134969,exact
1048576,2097152,0.106,222298,32,12,31,exact,45.727819,,-68.342861,-22.615042,-2.424514,0,-68.342878,blocked
1048576,2097152,0.106,222298,32,12,32,exact,47.234577,,-70.547794,-23.313217,-2.424514,0,-70.547814,blocked
1048576,2097152,0.106,222298,32,12,33,exact,48.740461,,-72.752776,-24.012315,-2.424513,0,-72.752799,blocked
1048576,2097152,0.106,222298,32,12,34,exact,50.245331,,-74.957806,-24.712475,-2.424513,0,-74.957832,blocked
1048576,2097152,0.106,222298,32,12,35,exact,51.748918,,-77.162885,-25.413967,-2.424513,0,-77.162914,blocked
1048576,2097152,0.106,222298,32,12,36,exact,53.250923,,-79.368011,-26.117088,-2.424513,0,-79.368045,blocked
1048576,2097152,0.106,222298,32,12,37,exact,54.751096,,-81.573185,-26.822089,-2.424513,0,-81.573224,blocked
1048576,2097152,0.106,222298,32,12,38,exact,56.249275,,-83.778407,-27.529132,-2.424513,0,-83.778451,blocked
1048576,2097152,0.106,222298,32,12,39,exact,57.745392,,-85.983677,-28.238285,-2.424512,0,-85.983727,blocked
1048576,2097152,0.106,222298,32,12,40,exact,59.239469,,-88.188995,-28.949526,-2.424512,0,-88.189051,blocked
1048576,2097152,0.106,222298,32,12,41,exact,60.731586,,-90.394359,-29.662773,-2.424512,0,-90.394423,blocked
1048576,2097152,0.106,222298,32,12,42,exact,62.221861,,-92.599772,-30.377911,-2.424512,0,-92.599844,blocked
1048576,2097152,0.106,222298,32,12,43,exact,63.710418,,-94.805231,-31.094813,-2.424512,0,-94.805312,blocked
1048576,2097152,0.106,222298,32,12,44,exact,65.197374,,-97.010737,-31.813363,-2.424512,0,-97.010829,blocked
1048576,2097152,0.106,222298,32,12,45,exact,66.682825,,-99.216289,-32.533465,-2.424512,0,-99.216393,blocked
1048576,2097152,0.106,222298,32,12,46,exact,68.166842,,-101.421888,-33.255046,-2.424512,0,-101.422005,blocked
1048576,2097152,0.106,222298,32,12,47,exact,69.649475,,-103.627534,-33.978059,-2.424512,0,-103.627665,blocked
1048576,2097152,0.106,222298,32,12,48,exact,71.130753,,-105.833225,-34.702472,-2.424512,0,-105.833373,blocked
1048576,2097152,0.106,222298,32,12,49,exact,72.610695,,-108.038962,-35.428268,-2.424512,0,-108.039128,blocked
1048576,2097152,0.106,222298,32,12,50,exact,74.089313,,-110.244745,-36.155432,-2.424512,0,-110.244931,blocked
