H,e0_log2,e1_log2,e2_log2,e3_log2,e4_log2,e5_log2,e6_log2,e7_log2,e8_log2,total_log2
0,-20.011734892647837,-63.8926492,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-20.01173489264775
1,-20.011734892647837,-62.90204465657999,-127.7852984003531,-inf,-inf,-inf,-inf,-inf,-inf,-20.01173489264766
2,-20.011734892647837,-62.326556202244795,-126.20055893867904,-191.67818634118788,-inf,-inf,-inf,-inf,-inf,-20.011734892647574
3,-20.011734892647837,-61.92101126480335,-125.20088479151366,-189.67848523084066,-255.57131306573098,-inf,-inf,-inf,-inf,-20.01173489264749
4,-20.011734892647837,-61.60858222980889,-124.46432313464189,-188.35688079527594,-253.24981473953255,-319.4646786126742,-inf,-inf,-inf,-20.011734892647404
5,-20.011734892647837,-61.35504937842738,-123.87983386452733,-187.35721772266777,-251.66529792730663,-316.8802732426796,-383.35828302497146,-inf,-inf,-20.01173489264732
6,-20.011734892647837,-61.14215928638124,-123.39494532932746,-186.55020830352785,-250.4433602980989,-315.07348680792353,-380.5516103337929,-447.25212634095743,-inf,-20.011734892647237
7,-20.011734892647837,-60.9590164550665,-122.98050867668677,-185.8724883376832,-249.4438207967651,-313.65902488915225,-378.55230107716716,-444.25293226333883,-511.14620860305064,-20.011734892647155
8,-20.011734892647837,-60.79859313847982,-122.61860026228945,-185.28788319838498,-248.59628821463983,-312.4896801908559,-376.9680349872339,-442.0838197971973,-507.97721227741295,-20.011734892647077
9,-20.011734892647837,-60.65609088308092,-122.29739331184099,-184.77367235789006,-247.85978965431318,-311.4902637973777,-375.6468072663837,-440.34767136246444,-505.6562181435123,-20.011734892647
10,-20.011734892647837,-60.528087164507795,-122.0086661960172,-184.31460788749985,-247.20818199593066,-310.61638068217314,-374.51000699117014,-438.88906025753255,-503.7826868207483,-20.01173489264692
11,-20.011734892647837,-60.41205493650971,-121.7464686680479,-183.89994237675398,-246.62369008381526,-309.8393609041073,-373.51071239453876,-437.6268488792685,-502.19866498817663,-20.011734892646842
12,-20.011734892647837,-60.30607513485974,-121.50635392430986,-183.5218077031138,-246.09364719691993,-309.13951036555653,-372.6183346533605,-436.51219661639306,-500.8210962355834,-20.011734892646768
13,-20.011734892647837,-60.20865604781978,-121.2849105020324,-183.17426649698191,-245.6086932321642,-308.5026707067689,-371.81168808027644,-435.51302308072013,-499.5996484105131,-20.011734892646693
14,-20.011734892647837,-60.11861514627643,-121.07946347601305,-182.85272587167978,-245.161708006321,-307.91829933170396,-371.07543186573145,-434.6069601519983,-498.5010587078243,-20.01173489264662
15,-20.011734892647837,-60.034999137034426,-120.88787634882402,-182.55355868397143,-244.7471450521031,-307.37832277932085,-370.39807017608643,-433.77771379521,-497.5020057927665,-20.011734892646547
16,-20.011734892647837,-59.95702828481755,-120.7084154232176,-182.27384974585712,-244.36059720135427,-306.87641484439155,-369.77074985127393,-433.01300848682916,-496.58541594819746,-20.011734892646473
17,-20.011734892647837,-59.884056689090706,-120.53965440975912,-182.01122048444256,-243.99850308472747,-306.40752244995303,-369.1864988158442,-432.3033452037844,-495.73836779321033,-20.011734892646402
18,-20.011734892647837,-59.815543299876815,-120.38040570963649,-181.76370455694945,-243.65794279893979,-305.9675431553623,-368.6397229603508,-431.64121084413074,-494.95082128241074,-20.011734892646334
19,-20.011734892647837,-59.75103038785382,-120.22966990872979,-181.52965761291904,-243.33649200101345,-305.55309930350245,-368.12586212969535,-431.02055358918335,-494.21480560777485,-20.011734892646267
20,-20.011734892647837,-59.690127261892165,-120.08659796016589,-181.30769050173765,-243.03211538358508,-305.16137582871903,-367.6411479842338,-430.4364226060597,-493.5238782752691,-20.011734892646196
21,-20.011734892647837,-59.63249779450219,-119.95046243433603,-181.09661898853153,-242.7430874153764,-304.7900012655652,-367.1824293412349,-429.8847134425173,-492.8727523413404,-20.011734892646132
22,-20.011734892647837,-59.577850702409414,-119.82063531369202,-180.89542527434185,-242.46793232678806,-304.43695875938386,-366.7470434537952,-429.36198363872853,-492.25703207819964,-20.011734892646064
23,-20.011734892647837,-59.52593191219907,-119.69657065026983,-180.70322816861724,-242.20537800728235,-304.10051842948894,-366.33271939900305,-428.8653163838879,-491.67302096339466,-20.011734892646
24,-20.011734892647837,-59.47651848421093,-119.57779084910216,-180.5192596651847,-241.95432009582885,-303.7791851848457,-365.9375043594103,-428.39221782273927,-491.11757925485153,-20.011734892645936
25,-20.011734892647837,-59.42941371293739,-119.46387568881876,-180.34284632305253,-241.71379365374912,-303.4716579117004,-365.55970653585325,-427.9405384342513,-490.58801639466645,-20.011734892645872
