H,total_log2
0,-63.8926492
1,-65.13412224022218
2,-66.79071435637974
3,-68.61725296150165
4,-70.53691045457789
5,-72.51546711274284
6,-74.53466951574978
7,-76.58362216768225
8,-78.65529730910086
9,-80.7448964985567
10,-82.84899720497037
11,-84.96507238612341
12,-87.09120297509968
13,-89.22589726016152
14,-91.36797272160065
15,-93.5164760460679
16,-95.67062751978509
17,-97.82978122743656
18,-99.99339612442012
19,-102.1610144867866
20,-104.33224561400345
21,-106.50675338126791
22,-108.68424651067924
23,-110.86447092210447
24,-113.04720367991408
25,-115.23224807456883
26,-117.41942969233578
27,-119.6085931551687
28,-121.79959943147234
29,-123.99232365613577
30,-126.18665322888788
31,-128.3824862841579
32,-130.57973036602496
33,-132.77830130971344
34,-134.97812225402842
35,-137.17912284143637
36,-139.38123849660352
37,-141.58440982413194
38,-143.78858203723462
39,-145.99370452379048
40,-148.1997304341277
41,-150.40661626720706
42,-152.6143216297973
43,-154.8228088998173
44,-157.0320429941521
45,-159.24199115122482
46,-161.45262270261387
47,-163.66390893570664
48,-165.87582291093804
49,-168.08833931517927
50,-170.3014343385542
51,-172.51508556958885
52,-174.72927186780376
53,-176.94397328737693
54,-179.15917097102272
55,-181.37484707963216
56,-183.59098472207066
57,-185.80756790431798
58,-188.0245814318718
59,-190.24201089360955
60,-192.45984257641118
61,-194.6780634398955
62,-196.89666108228533
63,-199.115623682547
64,-201.3349399581506
65,-203.55459915659483
66,-205.77459100242075
67,-207.9949056722196
68,-210.21553379513134
69,-212.4364663851762
70,-214.6576948323412
71,-216.8792109182509
72,-219.10100672571338
73,-221.32307468776608
74,-223.5454075382798
75,-225.76799830251161
76,-227.99084025113223
77,-230.2139269563104
78,-232.43725221237088
79,-234.66081004035027
80,-236.88459471112282
81,-239.10860068946627
82,-241.33282262736998
83,-243.55725540578837
84,-245.78189404688794
85,-248.00673377563442
86,-250.2317699775223
87,-252.45699818634077
88,-254.6824140906745
89,-256.90801353721724
90,-259.1337924874695
91,-261.35974705106025
92,-263.58587346626257
93,-265.81216807044626
94,-268.03862734605417
95,-270.26524786986187
96,-272.49202632108444
97,-274.71895949968626
98,-276.9460442740313
99,-279.1732776296233
100,-281.4006566521095
101,-283.6281784712014
102,-285.85584033731595
103,-288.0836395835173
104,-290.31157358008005
105,-292.53963981587776
106,-294.767835826954
107,-296.9961592247511
108,-299.22460767874344
109,-301.45317893933634
110,-303.68187079878754
111,-305.9106811190307
112,-308.1396078241781
113,-310.368648873726
114,-312.5978023023422
115,-314.82706618104584
116,-317.056438634054
117,-319.28591785745726
118,-321.5155020429132
119,-323.74518946425854
120,-325.97497843674586
121,-328.204867304685
122,-330.4348544520736
123,-332.66493831464624
124,-334.89511736640236
125,-337.12539009132934
126,-339.35575505310527
127,-341.58621081016076
128,-343.8167559662419
129,-346.04738917372646
130,-348.278109084258
131,-350.50891441327013
132,-352.73980389263977
133,-354.97077626189474
134,-357.2018303302228
135,-359.4329648942354
136,-361.66417880707223
137,-363.8954709139543
138,-366.12684012288724
139,-368.3582853310061
140,-370.5898054860172
141,-372.8213995408557
142,-375.0530664788816
143,-377.28480530211755
144,-379.5166150254882
145,-381.74849469854223
146,-383.9804433793933
147,-386.2124601576024
148,-388.44454412385613
149,-390.67669439393194
150,-392.9089101170436
151,-395.1411904309412
152,-397.3735345088521
153,-399.6059415370219
154,-401.83841072494903
155,-404.0709412784284
156,-406.30353243213983
157,-408.5361834235152
158,-410.76889353149727
159,-413.0016620135634
160,-415.23448817210624
161,-417.46737129217917
162,-419.7003107032054
163,-421.9333057120352
164,-424.166355676058
165,-426.3994599369014
166,-428.6326178619174
167,-430.86582882147763
168,-433.0990922041714
169,-435.3324073946645
170,-437.56577381094695
171,-439.79919086660055
172,-442.0326579924391
173,-444.26617461540127
174,-446.49974018605485
175,-448.7333541633346
176,-450.96701601026126
177,-453.20072520600087
178,-455.4344812205146
179,-457.6682835539137
180,-459.9021317168961
181,-462.13602519525426
182,-464.3699635166882
183,-466.60394621032117
184,-468.8379727986372
185,-471.0720428218426
186,-473.30615584089924
187,-475.54031139235497
188,-477.774509040077
189,-480.0087483626494
190,-482.2430289301706
191,-484.4773503188304
192,-486.7117121202474
193,-488.9461139240839
194,-491.1805553384156
195,-493.4150359726162
196,-495.64955543112063
197,-497.8841133395639
198,-500.1187093119247
199,-502.3533429876591
200,-504.5880139937066
201,-506.82272198185836
202,-509.0574665856179
203,-511.29224746853663
204,-513.5270642866659
205,-515.7619166887359
206,-517.996804354055
207,-520.2317269445198
208,-522.4666841373344
209,-524.7016756202067
210,-526.9367010758867
211,-529.1717601882917
212,-531.4068526594692
213,-533.6419781836511
214,-535.8771364643842
215,-538.1123271941245
216,-540.3475501091528
217,-542.5828049048309
218,-544.8180913067937
219,-547.053409040102
220,-549.2887578145929
221,-551.5241373801631
222,-553.7595474638945
223,-555.994987793228
224,-558.2304581192092
225,-560.4659581860531
226,-562.70148773302
227,-564.9370465178499
228,-567.1726342918907
229,-569.408250812901
230,-571.6438958364184
231,-573.8795691340559
232,-576.1152704634819
233,-578.3509995975746
234,-580.5867563052595
235,-582.8225403700204
236,-585.0583515654665
237,-587.2941896685676
238,-589.5300544675673
239,-591.7659457430676
240,-594.0018632975354
241,-596.2378069042329
242,-598.4737763690617
243,-600.7097714795825
244,-602.94579205082
245,-605.1818378582469
246,-607.4179087374158
247,-609.6540044686549
248,-611.8901248714052
249,-614.1262697588642
250,-616.3624389356586
251,-618.5986322224305
252,-620.8348494374618
253,-623.0710903944588
254,-625.3073549218705
255,-627.5436428499926
256,-629.7799539819832
