power,k,sigma,c,delta,n,w_out_log2,h0,s_tiny_log2,s_low_log2,gap_worst,gap_eta,s_lin_log2,s_top_log2,total_log2,h_cap,h_small_log2,h_tail_log2,h_total_log2,r_small_log2,r_total_log2,a_stop_h,a_peak_h,a_peak_log2,a_small_log2,a_tail_log2,a_total_log2,l_stop_h,l_peak_h,l_peak_log2,l_tail_log2,l_total_log2,q_single,q_peak_h,q_peak_log2,q_total_log2
20,1048576,23,3,0.12,2097175.0,5.960891727501389,10.0,9.178792315624081,4.980441736155264,-0.13720528772275742,0.5000032188136595,-287723.01981249964,-879135.7990506619,9.255312625856023,64.0,-26.24683420847879,-17.4315832249023,-17.428384050171214,5.799347730475451,5.799347877019259,109.0,9.0,2.81201160306658,5.799561463742051,-36.108270692450276,5.799561463742401,109.0,9.0,2.81201160306658,-16.751989460226444,5.799561698424832,0.24,6.0,-0.44311882416113413,2.1061248960843852
20,1048576,24,4,0.12,2097176.0,5.375929226780233,10.0,7.466798047185275,4.395479235434107,-0.13720528772275742,0.5000032188136595,-287723.15701680054,-879136.2182575259,7.628970623282109,64.0,-27.246833741398596,-18.01654572562346,-18.01414567896648,-1.310792894025684,-1.3107793969462143,35.0,7.0,-3.273476813509813,-1.3107928973822636,-5.980458246536988,-1.2551935381967483,35.0,7.0,-3.273476813509813,-inf,-1.3107928973822636,0.24,6.0,-1.1540360031067394,1.4164650166965327
20,1048576,25,5,0.12,2097177.0,4.790966726059077,10.0,6.6910897223510695,3.810516734712951,-0.13720528772275742,0.5000032188136595,-287723.29422110145,-879136.63746439,6.874783191207443,64.0,-28.246833274317883,-18.601508226344613,-18.599707816559114,-5.960164180032069,-5.959938383738187,27.0,5.0,-8.164891741249352,-5.960164180059868,-3.245120753027394,-3.040608516780213,27.0,5.0,-8.164891741249352,-40.0546986347208,-5.960164179981218,0.24,6.0,-1.8752255969781295,0.7268051373086805
20,1048576,26,6,0.12,2097178.0,4.206004225337921,10.0,6.041477169551531,3.225554233991795,-0.13720528772275742,0.5000032188136595,-287723.43142638914,-879137.0566712541,6.233054024424956,64.0,-29.246832807572552,-19.18647072706577,-19.18512020869441,-9.492790742906838,-9.491049641737629,22.0,5.0,-11.54010457570701,-9.492790742908614,-1.7548957573543307,-1.7481532597200702,22.0,5.0,-11.54010457570701,-inf,-9.492790742908614,0.24,6.0,-2.6060617661756833,0.03714525792082736
