file,n,cut,delta,q1,s,pairs,q_s,late_base,corr,beta_nat,beta_bits,pred_beta_nat,pred_beta_bits
enum_WC12_WC120.120.12.txt,120,10,0.08333333333333333,0.1666260069925079,2,1.0,0.025702832864358666,0.02435550491382994,1.0553192370798958,0.053843315544108115,0.07767948432050442,0.06496961693663872,0.09373134416294429
enum_WC12_WC120.120.12.txt,120,10,0.08333333333333333,0.1666260069925079,3,3.0,0.003655919079994879,0.0030571415726295915,1.1958618837695012,0.05962238902060928,0.08601692496598559,0.06496961693663872,0.09373134416294429
enum_WC12_WC120.120.12.txt,120,10,0.08333333333333333,0.1666260069925079,4,6.0,0.00048025210531207717,0.00032102707081007405,1.4959863169801146,0.06713095551779837,0.0968494966156653,0.06496961693663872,0.09373134416294429
enum_WC12_WC120.120.12.txt,120,10,0.08333333333333333,0.1666260069925079,5,10.0,5.915762653865964e-05,2.7233704991938124e-05,2.172221023770795,0.07757501573782337,0.11191709050184107,0.06496961693663872,0.09373134416294429
enum_WC12_WC120.120.12.txt,120,10,0.08333333333333333,0.1666260069925079,6,15.0,7.1145045031959045e-06,1.7787780287527153e-06,3.999658410546378,0.09241393067399484,0.1333251194924288,0.06496961693663872,0.09373134416294429
enum_WC12_WC120.120.12.txt,120,11,0.09166666666666666,0.1832886076917587,2,1.0,0.03140351713076208,0.02991026919242273,1.0499242560718123,0.04871802449296361,0.07028525233790567,0.05890870563899525,0.08498729749056616
enum_WC12_WC120.120.12.txt,120,11,0.09166666666666666,0.1832886076917587,3,3.0,0.005014558482533817,0.004271006608820752,1.1740928876526284,0.053498612978048914,0.0771821836378691,0.05890870563899525,0.08498729749056616
enum_WC12_WC120.120.12.txt,120,11,0.09166666666666666,0.1832886076917587,4,6.0,0.0007469649492253584,0.0005228155153192634,1.428735237073474,0.059464933886087756,0.08578976522424889,0.05890870563899525,0.08498729749056616
enum_WC12_WC120.120.12.txt,120,11,0.09166666666666666,0.1832886076917587,5,10.0,0.00010481378482004798,5.341995979187863e-05,1.9620715782714366,0.06740008427771155,0.09723776734295264,0.05890870563899525,0.08498729749056616
enum_WC12_WC120.120.12.txt,120,11,0.09166666666666666,0.1832886076917587,6,15.0,1.4224350463451042e-05,4.3984329438248964e-06,3.2339586950895938,0.07824713259948077,0.11288675016505205,0.05890870563899525,0.08498729749056616
enum_WC12_WC120.120.12.txt,120,12,0.1,0.19995120839100947,2,1.0,0.03767336410442601,0.03603475288420453,1.0454730805421937,0.04446949162794539,0.06415591504249009,0.052847794341351784,0.07624325081818804
enum_WC12_WC120.120.12.txt,120,12,0.1,0.19995120839100947,3,3.0,0.006673372010203467,0.0057696054189332975,1.1566427035554991,0.04850719589629119,0.06998109096700877,0.052847794341351784,0.07624325081818804
