H,e0_log2,e1_log2,e2_log2,e3_log2,e4_log2,e5_log2,e6_log2,e7_log2,e8_log2,total_log2
0,-78367.18702551708,-63.8926492,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-63.8926492
1,-78367.18702551708,-63.643803984651,-127.78529839950284,-inf,-inf,-inf,-inf,-inf,-inf,-63.643803984651
2,-78367.18702551708,-63.810076384728454,-126.46021075518196,-191.6780903658308,-inf,-inf,-inf,-inf,-inf,-63.810076384728454
3,-78367.18702551708,-64.14629381997922,-125.84571235992755,-189.77820478335843,-255.5710251079273,-inf,-inf,-inf,-inf,-64.14629381997922
4,-78367.18702551708,-64.57562868401912,-125.56856813707748,-188.65377521594618,-253.28912491660083,-319.4641026464295,-inf,-inf,-inf,-64.57562868401912
5,-78367.18702551708,-65.0638612539825,-125.49260099033339,-187.92995138593358,-251.80356289338908,-316.89550507277676,-383.35732299397563,-inf,-inf,-65.0638612539825
6,-78367.18702551708,-65.59273810693557,-125.55113159032253,-187.4605071801931,-250.7424794771282,-315.13717412256045,-380.5568724912219,-447.250686164065,-inf,-65.59273810693557
7,-78367.18702551708,-66.15136374427492,-125.7061919088292,-187.16909381471456,-249.9608069109587,-313.81351022234236,-378.58067311802785,-444.2538066902823,-511.1441921728207,-66.15136374427492
8,-78367.18702551708,-66.73271041865175,-125.93400620808323,-187.0098745877706,-249.38118130311952,-312.7803890599944,-377.0459820632673,-442.0953865870536,-507.97589539472483,-66.73271041865175
9,-78367.18702551708,-67.3319796792143,-126.2186650453708,-186.9529076923858,-248.955747506629,-311.9615985416705,-375.80711874084955,-440.3854218928321,-505.6596326580813,-67.3319796792143
10,-78367.18702551708,-67.94574900025658,-126.54898514941027,-186.9774699681447,-248.65227978573242,-311.30971817934665,-374.7884022665231,-438.97494598836766,-503.79945693565895,-67.94574900025658
11,-78367.18702551708,-68.57149133284182,-126.91679949543175,-187.06859213642107,-248.44784882944174,-310.7923258159501,-373.9433023244366,-437.7874827505563,-502.24262360551177,-68.57149133284182
12,-78367.18702551708,-69.20728761811553,-127.31595884700572,-187.21509593705008,-248.32548848946962,-310.38591046421715,-373.2400433344948,-436.7768458376825,-500.91084341003443,-69.20728761811553
13,-78367.18702551708,-69.85164613762275,-127.74171591682273,-187.4084079203168,-248.27226584339616,-310.07273531477523,-372.6554124113988,-435.9119209866655,-499.75745511477146,-69.85164613762275
14,-78367.18702551708,-70.50338436762429,-128.1903283654433,-187.64180583741543,-248.27808609053102,-309.8390321990138,-372.17168284631947,-435.1700945407679,-498.75157452459416,-70.50338436762429
15,-78367.18702551708,-71.1615490108924,-128.65879328570608,-187.90992017966417,-248.33491457134923,-309.6738770206266,-371.7748992272598,-434.5340527963544,-497.87107800012495,-71.1615490108924
16,-78367.18702551708,-71.82536033887209,-129.1446641139667,-188.2083934072596,-248.4362503611203,-309.5684483087371,-371.45383042727144,-433.99006029489215,-497.0991550067233,-71.82536033887209
17,-78367.18702551708,-72.4941724429638,-129.64592097130824,-188.53364034102879,-248.57675875565428,-309.5155172609636,-371.19928417719643,-433.5269477793794,-496.42247839880486,-72.4941724429638
18,-78367.18702551708,-73.16744428125367,-130.16087677927175,-188.88267565803935,-248.75200801246297,-309.50908552366843,-371.00363444822545,-433.1354694544661,-495.8301627522959,-73.16744428125367
19,-78367.18702551708,-73.84471811635439,-130.68810784400875,-189.25298702531128,-248.9582765175866,-309.5441211458732,-370.860482665936,-432.80786779754607,-495.3131288283327,-73.84471811635439
20,-78367.18702551708,-74.52560326117337,-131.226401697908,-189.64244015847655,-249.19240890884063,-309.61636207210375,-370.7644077513716,-432.537563880083,-494.86368927881284,-74.52560326117337
21,-78367.18702551708,-75.20976358956015,-131.77471724076878,-190.04920656689947,-249.45170687846485,-309.7221672246102,-370.7107774372809,-432.31892847482277,-494.47526200038214,-75.20976358956015
22,-78367.18702551708,-75.89690781286691,-132.33215385477922,-190.47170777118453,-249.73384507140727,-309.85840190926905,-370.6956032438576,-432.1471080316819,-494.142161777961,-75.89690781286691
