k,k_eff,N,delta,d,sigma,block_bits,blocks,d0,h_max,model,singleton_volume,total_log2,margin_bits,peak_h,peak_term_log2,peak_outer_log2,peak_inner_log2
1048576,1048576,2097152,0.106,222298,32,256,4096,40,220,random-like,0,-49.093660,49.093660,40,-50.422836,39.090172,-89.513008
1048576,1048576,2097152,0.106,222298,32,256,4096,42,220,random-like,0,-50.557962,50.557962,42,-51.887154,42.101434,-93.988588
1048576,1048576,2097152,0.106,222298,32,256,4096,44,220,random-like,0,-52.022242,52.022242,44,-53.351454,45.112696,-98.464149
1048576,1048576,2097152,0.106,222298,32,256,4096,46,220,random-like,0,-53.486495,53.486495,46,-54.815731,48.123958,-102.939689
1048576,1048576,2097152,0.106,222298,32,256,4096,48,220,random-like,0,-54.950713,54.950713,48,-56.279980,51.135220,-107.415200
1048576,1048576,2097152,0.106,222298,32,256,4096,50,220,random-like,0,-56.414888,56.414888,50,-57.744194,54.146482,-111.890676
1048576,1048576,2097152,0.106,222298,32,256,4096,52,220,random-like,0,-57.879007,57.879007,52,-59.208363,57.157744,-116.366107
1048576,1048576,2097152,0.106,222298,32,256,4096,54,220,random-like,0,-59.343057,59.343057,54,-60.672476,60.169006,-120.841482
1048576,1048576,2097152,0.106,222298,32,256,4096,56,220,random-like,0,-60.807017,60.807017,56,-62.136517,63.180268,-125.316785
1048576,1048576,2097152,0.106,222298,32,256,4096,58,220,random-like,0,-62.270865,62.270865,58,-63.600467,66.191530,-129.791997
1048576,1048576,2097152,0.106,222298,32,256,4096,60,220,random-like,0,-63.734570,63.734570,60,-65.064301,69.202792,-134.267094
1048576,1048576,2097152,0.106,222298,32,256,4096,62,220,random-like,0,-65.198093,65.198093,62,-66.527988,72.214054,-138.742043
1048576,1048576,2097152,0.106,222298,32,256,4096,64,220,random-like,0,-66.661385,66.661385,64,-67.991489,75.225317,-143.216806
1048576,1048576,2097152,0.106,222298,32,256,4096,66,220,random-like,0,-68.124385,68.124385,66,-69.454753,78.236579,-147.691331
1048576,1048576,2097152,0.106,222298,32,256,4096,68,220,random-like,0,-69.587015,69.587015,68,-70.917716,81.247841,-152.165557
1048576,1048576,2097152,0.106,222298,32,256,4096,70,220,random-like,0,-71.049176,71.049176,70,-72.380300,84.259103,-156.639403
1048576,1048576,2097152,0.106,222298,32,256,4096,72,220,random-like,0,-72.510745,72.510745,72,-73.842402,87.270365,-161.112767
1048576,1048576,2097152,0.106,222298,32,256,4096,74,220,random-like,0,-73.971567,73.971567,74,-75.303897,90.281627,-165.585524
1048576,1048576,2097152,0.106,222298,32,256,4096,76,220,random-like,0,-75.431449,75.431449,76,-76.764626,93.292889,-170.057515
1048576,1048576,2097152,0.106,222298,32,256,4096,78,220,random-like,0,-76.890150,76.890150,78,-78.224389,96.304151,-174.528540
1048576,1048576,2097152,0.106,222298,32,256,4096,80,220,random-like,0,-78.347368,78.347368,80,-79.682940,99.315413,-178.998353
1048576,1048576,2097152,0.106,222298,32,256,4096,82,220,random-like,0,-79.802735,79.802735,82,-81.139971,102.326675,-183.466646
1048576,1048576,2097152,0.106,222298,32,256,4096,84,220,random-like,0,-81.255794,81.255794,84,-82.595102,105.337937,-187.933039
1048576,1048576,2097152,0.106,222298,32,256,4096,86,220,random-like,0,-82.705989,82.705989,86,-84.047867,108.349199,-192.397066
1048576,1048576,2097152,0.106,222298,32,256,4096,88,220,random-like,0,-84.152646,84.152646,88,-85.497695,111.360462,-196.858157
1048576,1048576,2097152,0.106,222298,32,256,4096,90,220,random-like,0,-85.594956,85.594956,90,-86.943900,114.371724,-201.315623
