H,e0_log2,e1_log2,e2_log2,e3_log2,e4_log2,e5_log2,e6_log2,e7_log2,e8_log2,total_log2
0,-228370.87214175472,-63.8926492,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-63.8926492
1,-228370.87214175472,-64.13148727246988,-127.7852984006155,-inf,-inf,-inf,-inf,-inf,-inf,-64.13148727246988
2,-228370.87214175472,-64.78544360664479,-126.78283653399521,-191.67804941357474,-inf,-inf,-inf,-inf,-inf,-64.78544360664479
3,-228370.87214175472,-65.60934563167685,-126.57241346126195,-189.98484061678653,-255.57090225002543,-inf,-inf,-inf,-inf,-65.60934563167685
4,-228370.87214175472,-66.52636573312019,-126.73235697766994,-189.17969026959577,-253.41795327686515,-319.46385691538416,-inf,-inf,-inf,-66.52636573312019
5,-228370.87214175472,-67.50228418810921,-127.11014281162781,-188.83461538143422,-252.17379851754305,-316.97405639710547,-383.35691341510926,-inf,-inf,-67.50228418810921
6,-228370.87214175472,-68.51884757639732,-127.6320165686144,-188.7776824368631,-251.42950920562683,-315.39129089820955,-380.6038402882004,-447.2500717581651,-inf,-68.51884757639732
7,-228370.87214175472,-69.5651603993811,-128.25644598444373,-188.91937865200293,-251.0132438123982,-314.3234621606617,-378.7511577813661,-444.2813182350213,-511.14333195360024,-69.5651603993811
8,-228370.87214175472,-70.63419491105537,-128.95766354127053,-189.2066150683618,-250.83088104214033,-313.60517241962384,-377.41631706766174,-442.2074243429554,-507.9915548613369,-70.63419491105537
9,-228370.87214175472,-71.72115265922477,-129.71855911606258,-189.60518477975899,-250.82422191395435,-313.143142500604,-376.44114388211267,-440.6489076832099,-505.73182463022636,-71.72115265922477
10,-228370.87214175472,-72.82261111818327,-130.52718244604392,-190.09171446666204,-250.95452569882156,-312.8778186367178,-375.7356233436349,-439.4532501696232,-503.9833571313961,-72.82261111818327
11,-228370.87214175472,-73.93604323765055,-131.37485355403632,-190.6495107827855,-251.1946375796206,-312.76843605343066,-375.2410295327871,-438.53436297243826,-502.5969902597511,-73.93604323765055
12,-228370.87214175472,-75.05952995339767,-132.25506712799663,-191.26622983450304,-251.5247662180215,-312.7857565425568,-374.91622599463795,-437.83550755723803,-501.4901948989195,-75.05952995339767
13,-228370.87214175472,-76.19157956174926,-133.1628209782423,-191.9324840137505,-251.93003472170352,-312.9080669492553,-374.73109141976227,-437.31624614996304,-500.60866921647215,-76.19157956174926
14,-228370.87214175472,-77.33100952687381,-134.09418544492152,-192.64096632014846,-252.3989751092736,-313.118792771858,-374.66286069951053,-436.94643077676085,-499.9133146536607,-77.33100952687381
15,-228370.87214175472,-78.47686655691794,-135.04601690302835,-193.38587708781859,-252.92255961792975,-313.4049934414671,-374.69389932798924,-436.7029006502644,-499.374555014034,-78.47686655691794
16,-228370.87214175472,-79.62837092198299,-136.0157610125713,-194.16253565024735,-253.4935537595463,-313.7563723013718,-374.8102688555052,-436.5674594980019,-498.96932986236357,-79.62837092198299
