H,total_log2
0,-63.8926492
1,-64.84975686509476
2,-66.22198342876777
3,-67.76415630942249
4,-69.39944789530001
5,-71.09363847965801
6,-72.82847463150088
7,-74.59306084416329
8,-76.38036937432918
9,-78.18560178592409
10,-80.00533553711972
11,-81.83704358032318
12,-83.67880687011608
13,-85.52913366788859
14,-87.38684146468124
15,-89.25097695789383
16,-91.12076041762478
17,-92.9955459393074
18,-94.87479247296497
19,-96.75804229464836
20,-98.64490470919952
21,-100.53504358644108
22,-102.42816764847241
23,-104.32402282053509
24,-106.22238616162494
25,-108.12306096757733
26,-110.02587281928477
27,-111.93066633870114
28,-113.83730249960551
29,-115.74565642076375
30,-117.6556155234023
31,-119.5670779258274
32,-121.47995119361568
33,-123.39415113511934
34,-125.30960090526695
35,-127.22623014115021
36,-129.14397426743577
37,-131.06277389409988
38,-132.98257423435564
39,-134.90332467070755
40,-136.82497834273457
41,-138.7474917762701
42,-140.67082455658488
43,-142.59493907234688
44,-144.51980023506667
45,-146.44537528316707
46,-148.3716335536013
47,-150.298546328382
48,-152.22608666794417
49,-154.15422925915914
50,-156.08295029752531
51,-158.01222737156837
52,-159.9420393300601
53,-161.87236623255308
54,-163.80318922713613
55,-165.73449046932552
56,-167.66625307336145
57,-169.59846103984904
58,-171.531099174286
59,-173.46415306554982
60,-175.39760900589482
61,-177.33145394956549
62,-179.26567550553335
63,-181.20026183126717
64,-183.1352016549856
65,-185.07048423493669
66,-187.00609927953795
67,-188.94203698150363
68,-190.8782879484764
69,-192.8148432105996
70,-194.75169416323465
71,-196.688832571883
72,-198.62625052472703
73,-200.56394046017854
74,-202.5018951067339
75,-204.44010748965047
76,-206.3785708903473
77,-208.31727886487056
78,-210.2562252075441
79,-212.19540395552872
80,-214.13480936357467
81,-216.07443590720905
82,-218.01427823842096
83,-219.95433122741596
84,-221.89458990710966
85,-223.8350495024673
86,-225.77570539360946
87,-227.71655311432502
88,-229.65758835319895
89,-231.59880696229888
90,-233.5402048923771
91,-235.48177826381098
92,-237.42352331487396
93,-239.3654363775609
94,-241.30751393431518
95,-243.24975256191206
96,-245.19214894494095
97,-247.13469987261766
98,-249.07740222942957
99,-251.02025298475687
100,-252.96324922962086
101,-254.90638810448314
102,-256.84966684901036
103,-258.7930827908928
104,-260.7366333165286
105,-262.6803158986677
106,-264.62412807872823
107,-266.56806747352715
108,-268.5121317471641
109,-270.4563186500444
110,-272.4006259851749
111,-274.3450515983656
112,-276.2895934191038
113,-278.2342494068852
114,-280.1790176017523
115,-282.12389606935
116,-284.0688829446435
117,-286.0139764022263
118,-287.95917464987895
119,-289.9044759614386
120,-291.849878646783
121,-293.79538104484783
122,-295.74098155575354
123,-297.6866786044864
124,-299.6324706596713
125,-301.578356226793
126,-303.52433384265834
127,-305.47040207644545
128,-307.41655954265013
129,-309.3628048775267
130,-311.3091367434677
131,-313.25555385053224
132,-315.202054930597
133,-317.14863872856466
134,-319.095304048248
135,-321.04204969163345
136,-322.98887450111135
137,-324.93577733265204
138,-326.88275708888665
139,-328.8298126669499
140,-330.776943025297
141,-332.7241470953656
142,-334.6714238766389
143,-336.6187723711396
144,-338.566191588418
145,-340.5136805833971
146,-342.4612384034421
147,-344.4088641434873
148,-346.3565569049695
149,-348.30431579291644
150,-350.25213995116763
151,-352.20002852822205
152,-354.1479806973066
153,-356.095995639294
154,-358.0440725636809
155,-359.99221067088894
156,-361.9404092117205
157,-363.8886674128591
158,-365.836984553247
159,-367.78535989573675
160,-369.73379273197156
161,-371.6822823577533
162,-373.6308280971319
163,-375.5794292623304
164,-377.5280852053659
165,-379.4767952678642
166,-381.4255588171786
167,-383.37437522905407
168,-385.32324388670617
169,-387.2721641801748
170,-389.22113552207594
171,-391.1701573259913
172,-393.11922901735954
173,-395.06835003924334
174,-397.01751983146164
175,-398.9667378529487
176,-400.91600357210046
177,-402.8653164627073
178,-404.81467598935717
179,-406.7640816682843
180,-408.713532988689
181,-410.6630294632351
182,-412.61257060350005
183,-414.5621559278578
184,-416.51178498566526
185,-418.4614573010051
186,-420.41117242408995
187,-422.36092991296584
188,-424.31072932612534
189,-426.2605702314031
190,-428.2104522042733
191,-430.16037482629883
192,-432.1103376837251
193,-434.0603403715877
194,-436.01038249258863
195,-437.96046365072635
196,-439.91058346656035
197,-441.8607415496016
198,-443.81093752457764
199,-445.7611710255699
200,-447.7114416848926
201,-449.66174914358834
202,-451.612093056658
203,-453.56247306078075
204,-455.5128888281318
205,-457.463340002066
206,-459.4138262618923
207,-461.3643472748817
208,-463.31490271286367
209,-465.2654922635464
210,-467.21611561505404
211,-469.16677244055535
212,-471.11746245284627
213,-473.068185346159
214,-475.0189408132912
215,-476.969728562823
216,-478.9205483149107
217,-480.87139977566545
218,-482.82228265997327
219,-484.7731967036448
220,-486.7241416165153
221,-488.6751171431087
222,-490.62612300513126
223,-492.57715894614773
224,-494.52822470645503
225,-496.47932002489335
226,-498.4304446622212
227,-500.38159834393133
228,-502.33278084824417
229,-504.28399192754347
230,-506.2352313212447
231,-508.1864988224574
232,-510.13779417810116
233,-512.0891171664293
234,-514.0404675456177
235,-515.9918451098998
236,-517.9432496275102
237,-519.8946808807929
238,-521.8461386472421
239,-523.7976227235844
240,-525.7491328907873
241,-527.7006689489872
242,-529.6522306772121
243,-531.6038178845204
244,-533.555430369814
245,-535.5070679246892
246,-537.4587303578254
247,-539.4104174871723
248,-541.3621290999246
249,-543.3138650254031
250,-545.2656250682344
251,-547.2174090383118
252,-549.1692167646656
253,-551.1210480556285
254,-553.0729027450227
255,-555.0247806470215
256,-556.9766815916556
257,-558.928605406611
258,-560.8805519205596
259,-562.8325209665147
260,-564.7845123798498
261,-566.736525990971
262,-568.6885616395153
263,-570.6406191670841
264,-572.5926984100038
265,-574.5447992189862
266,-576.4969214358209
267,-578.4490648969722
268,-580.4012294694397
269,-582.3534149791675
270,-584.3056213007019
271,-586.2578482748995
272,-588.2100957556459
273,-590.1623636028495
274,-592.1146516754652
275,-594.0669598299122
276,-596.0192879238899
277,-597.9716358309679
278,-599.9240034068237
279,-601.8763905092507
280,-603.8287970235588
281,-605.7812228020094
282,-607.7336677215026
283,-609.6861316499244
284,-611.6386144662555
285,-613.5911160269584
286,-615.5436362237436
287,-617.4961749338723
288,-619.4487320188426
289,-621.4013073714679
290,-623.3539008662285
291,-625.3065123848885
292,-627.259141804505
293,-629.2117890177035
294,-631.1644539045968
295,-633.1171363530937
296,-635.0698362469755
297,-637.0225534754863
298,-638.9752879268165
299,-640.9280394977237
300,-642.8808080762968
301,-644.8335935516083
302,-646.7863958126297
303,-648.7392147632893
304,-650.6920502999164
305,-652.6449023155807
306,-654.5977707044331
307,-656.550655371446
308,-658.5035562045409
309,-660.4564731219692
310,-662.4094060122195
311,-664.3623547814259
312,-666.3153193309231
313,-668.2682995778044
314,-670.2212954056264
315,-672.1743067333647
316,-674.1273334715191
317,-676.0803755158412
318,-678.033432784086
319,-679.9865051828901
320,-681.9395926176674
321,-683.8926950132567
322,-685.8458122647214
323,-687.7989442956385
324,-689.752091019664
325,-691.7052523504782
326,-693.6584282009862
327,-695.6116184825361
328,-697.5648231148934
329,-699.5180420200951
330,-701.4712751163236
331,-703.4245223171554
332,-705.3777835469477
333,-707.3310587186096
334,-709.28434776513
335,-711.2376505904911
336,-713.1909671334623
337,-715.1442973131585
338,-717.0976410498481
339,-719.050998264279
340,-721.0043688931265
341,-722.9577528560858
342,-724.911150071339
343,-726.8645604871556
344,-728.8179840060087
345,-730.7714205699323
346,-732.7248701061562
347,-734.6783325479811
348,-736.6318078126707
349,-738.5852958438466
350,-740.5387965625162
351,-742.4923099148575
352,-744.4458358232608
353,-746.3993742180038
354,-748.3529250366765
355,-750.3064882128741
356,-752.2600636756322
357,-754.21365137038
358,-756.1672512315233
359,-758.1208631818976
360,-760.074487175242
361,-762.0281231419177
362,-763.9817710152658
363,-765.9354307364645
364,-767.8891022486429
365,-769.8427854802587
366,-771.7964803875889
367,-773.7501868897505
368,-775.703904954196
369,-777.6576344887501
370,-779.6113754593637
371,-781.5651278090306
372,-783.5188914680657
373,-785.4726663805168
374,-787.42645249296
375,-789.3802497594205
376,-791.3340581033046
377,-793.2878774814535
378,-795.2417078460793
379,-797.1955491282122
380,-799.1494012802672
381,-801.1032642487484
382,-803.0571379845759
383,-805.0110224265493
384,-806.9649175224364
385,-808.9188232285616
386,-810.8727394932869
387,-812.8266662512342
388,-814.7806034712634
389,-816.734551086215
390,-818.6885090516416
391,-820.6424773239313
392,-822.5964558438023
393,-824.5504445735543
394,-826.5044434483237
395,-828.458452440212
396,-830.412471482684
397,-832.366500545446
398,-834.3205395642259
399,-836.2745884995369
400,-838.2286473202103
401,-840.1827159493016
402,-842.1367943658664
403,-844.0908825078805
404,-846.0449803417748
405,-847.9990878191061
406,-849.9532048977277
407,-851.9073315253428
408,-853.8614676714266
409,-855.815613278539
410,-857.7697683157555
411,-859.7239327246075
412,-861.6781064778932
413,-863.632289525625
414,-865.5864818216035
415,-867.5406833338609
416,-869.4948940174913
