H,e0_log2,e1_log2,e2_log2,e3_log2,e4_log2,e5_log2,e6_log2,e7_log2,e8_log2,total_log2
0,-228328.79112409707,-63.8926492,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-63.8926492
1,-228328.79112409707,-64.13138384102876,-127.78529839929288,-inf,-inf,-inf,-inf,-inf,-inf,-64.13138384102876
2,-228328.79112409707,-64.78523674376254,-126.7827609041001,-191.67804941831938,-inf,-inf,-inf,-inf,-inf,-64.78523674376254
3,-228328.79112409707,-65.6090353400407,-126.57224731804332,-189.9847866203718,-255.5709022710194,-inf,-inf,-inf,-inf,-65.6090353400407
4,-228328.79112409707,-66.52595201004293,-126.73209486316692,-189.1795593618972,-253.41791557763653,-319.4638569572671,-inf,-inf,-inf,-66.52595201004293
5,-228328.79112409707,-67.50176703627808,-127.1097821269177,-188.8343971172649,-252.17369737498913,-316.9740306199081,-383.3569134880213,-inf,-inf,-67.50176703627808
6,-228328.79112409707,-68.51822699581228,-127.63155587094106,-188.77737139061114,-251.42933019394354,-315.3912142747686,-380.60382300300563,-447.2500718695591,-inf,-68.51822699581228
7,-228328.79112409707,-69.56443638735495,-128.25588438793687,-188.91897169657648,-251.01297868781637,-314.3233176515345,-378.7511008486959,-444.2813068595053,-511.1433321081788,-69.56443638735495
8,-228328.79112409707,-70.6333674675881,-128.9570004660767,-189.20611025780823,-250.83052483122668,-313.60494923583855,-377.4162023056085,-442.2073828380174,-507.9915475229265,-70.6333674675881
9,-228328.79112409707,-71.72022178431638,-129.71779416102177,-189.60458082685653,-250.82377144478392,-313.142833759621,-376.44095846211644,-440.64881805329895,-505.73179493034166,-71.72022178431638
10,-228328.79112409707,-72.82157680914652,-130.52631531941924,-190.09101047600248,-250.95397884553932,-312.8774198112121,-375.7353585454931,-439.4530982288287,-503.9832882959261,-72.82157680914652
11,-228328.79112409707,-73.93490549985992,-131.37388404604667,-190.64870611666618,-251.19399286716256,-312.767944069711,-375.240679415623,-438.53413839214295,-502.5968675224965,-73.93490549985992
12,-228328.79112409707,-75.0582887841659,-132.25399507148538,-191.265324012383,-251.5240225753606,-312.7851692322741,-374.9157864215754,-437.83520297498933,-501.49000665791027,-75.0582887841659
13,-228328.79112409707,-76.19023496107637,-133.16164624466154,-191.93147667126027,-251.92919135522615,-312.90738274320637,-374.730559447229,-437.3158563115073,-500.6084067963535,-76.19023496107637
14,-228328.79112409707,-77.32956149207259,-134.09290792921115,-192.63985717064125,-252.39803141205417,-313.11801050012986,-374.6622341777531,-436.945951877869,-499.91297166007894,-77.32956149207259
15,-228328.79112409707,-78.47531509336281,-135.04463652770667,-193.38466591122102,-252.92151512548884,-313.4041122210398,-374.6931766602491,-436.7023298971368,-499.3741267344684,-78.47531509336281
16,-228328.79112409707,-79.62671602429953,-136.0142777042619,-194.16122225928729,-253.4924080944128,-313.7553914369761,-374.80944881577705,-436.5667947855691,-498.96881277397347,-79.62671602429953
17,-228328.79112409707,-80.78311838300134,-136.99972766049572,-194.96569386815176,-254.10482351876112,-314.1635215902657,-374.9998447605645,-436.52479069994985,-498.6786668339967,-80.78311838300134
18,-228328.79112409707,-81.94398112486704,-137.99923297816733,-195.79490322798782,-254.75390697804232,-314.62167403881404,-375.2552222912336,-436.56449507050786,-498.4888247503927,-81.94398112486704
