power,k,sigma,c,delta,n,w_out_log2,h0,s_tiny_log2,s_low_log2,gap_worst,gap_eta,s_lin_log2,s_top_log2,total_log2,h_cap,h_small_log2,h_tail_log2,h_total_log2
10,1024,10,0,0.11,2048.0,3.556934338142976,5.0,17.40709295650469,4.651671843191069,-0.08410484708168553,0.5000032188136595,-161.76694655926286,-854.143340262395,17.407301587473153,64.0,-13.282783849308572,-19.835540614260715,-13.267497795410565
10,1024,11,1,0.11,2048.0,2.97197183742182,5.0,12.109571875982034,4.066709342469913,-0.08410484708168553,0.5000032188136595,-161.76694655926286,-854.143340262395,12.115032088700708,64.0,-14.281637098292954,-20.420503114981873,-14.26130752655338
10,1024,12,2,0.11,2048.0,2.3870093367006633,5.0,7.3621493281078445,3.4817468417487567,-0.08410484708168553,0.5000032188136595,-161.76694655926286,-854.143340262395,7.456928563713545,64.0,-15.280489724463546,-21.005465615703027,-15.25346809326032
10,1024,13,3,0.11,2048.0,1.802046835979507,5.0,4.350540526982516,2.8967843410276,-0.08410484708168553,0.5000032188136595,-161.76694655926286,-854.143340262395,4.799515137053918,64.0,-16.279341727150886,-21.590428116424185,-16.243452413907004
10,1024,14,4,0.11,2048.0,1.217084335258351,5.0,3.0773813699841215,2.311821840306444,-0.08410484708168553,0.5000032188136595,-161.76694655926286,-854.143340262395,3.7447968519414463,64.0,-17.278193105684462,-22.17539061714534,-17.230573692116284
12,4096,12,0,0.11,8192.0,4.393372618454079,6.0,20.96598648141664,5.073072624223329,-0.08410484708168553,0.5000032188136595,-676.5073796239116,-3427.785078736077,20.96601019117789,64.0,-15.282742343940518,-18.99910233394961,-15.176958494456553
12,4096,13,1,0.11,8192.0,3.808410117732923,6.0,14.666282849398252,4.488110123502173,-0.08410484708168553,0.5000032188136595,-676.5073796239116,-3427.785078736077,14.667527512724803,64.0,-16.28245505663082,-19.58406483467077,-16.1430925430757
12,4096,14,2,0.11,8192.0,3.2234476170117667,6.0,8.926942842501052,3.9031476227810162,-0.08410484708168553,0.5000032188136595,-676.5073796239116,-3427.785078736077,8.97062163121865,64.0,-17.282167730240445,-20.169027335391924,-17.09922441107942
12,4096,15,3,0.11,8192.0,2.6384851162906107,6.0,5.3680810024973304,3.3181851220598597,-0.08410484708168553,0.5000032188136595,-676.5073796239116,-3427.785078736077,5.680167019660008,64.0,-18.281880364758877,-20.75398983611308,-18.042815467413167
12,4096,16,4,0.11,8192.0,2.053522615569454,6.0,4.0901146726634465,2.7332226213387036,-0.08410484708168553,0.5000032188136595,-676.5073796239116,-3427.785078736077,4.565637962736662,64.0,-19.28159296017559,-21.338952336834236,-18.970955748498785
14,16384,14,0,0.11,32768.0,5.2250340617153395,7.0,24.519395590636826,5.489696568205745,-0.08410484708168553,0.5000032188136595,-2741.4681646590193,-13728.212970958162,24.51939828628941,64.0,-17.275670622019387,-18.167440890688354,-16.65372202442201
14,16384,15,1,0.11,32768.0,4.6400715609941825,7.0,17.21874196482304,4.904734067484588,-0.08410484708168553,0.5000032188136595,-2741.4681646590193,-13728.212970958162,17.219025264548367,64.0,-18.275598403059092,-18.75240339140951,-17.49439212766007
14,16384,16,2,0.11,32768.0,4.055109060273026,7.0,10.475288838108783,4.319771566763432,-0.08410484708168553,0.5000032188136595,-2741.4681646590193,-13728.212970958162,10.495386736882626,64.0,-19.27552618162928,-19.337365892130666,-18.30611472491141
14,16384,17,3,0.11,32768.0,3.470146559551871,7.0,6.306519523262033,3.734809066042276,-0.08410484708168553,0.5000032188136595,-2741.4681646590193,-13728.212970958162,6.530812562729885,64.0,-20.275453957729788,-19.92232839285182,-19.088113809401133
14,16384,18,4,0.11,32768.0,2.885184058830714,7.0,5.007814243106624,3.14984656532112,-0.08410484708168553,0.5000032188136595,-2741.4681646590193,-13728.212970958162,5.35928949304373,64.0,-21.27538173136044,-20.50729089357298,-19.840812405224934
16,65536,16,0,0.11,131072.0,6.0555053990178465,8.0,28.072336265441564,5.905130406229408,-0.08410484708168553,0.5000032188136595,-11007.311067966366,-54935.9256398809,28.072336571765273,64.0,-19.26651505776223,-17.336969553385845,-17.000672615552514
16,65536,17,1,0.11,131072.0,5.47054289829669,8.0,19.771326947412387,5.320167905508252,-0.08410484708168553,0.5000032188136595,-11007.311067966366,-54935.9256398809,19.771391354327896,64.0,-20.266496884846042,-17.921932054107003,-17.66264585796351
16,65536,18,2,0.11,131072.0,4.885580397575533,8.0,12.021452268588781,4.735205404787095,-0.08410484708168553,0.5000032188136595,-11007.311067966366,-54935.9256398809,12.030665420278622,64.0,-21.266478711773495,-18.506894554828158,-18.308190908109935
16,65536,19,3,0.11,131072.0,4.300617896854377,8.0,7.191914836795177,4.150242904065939,-0.08410484708168553,0.5000032188136595,-11007.311067966366,-54935.9256398809,7.357268621263315,64.0,-22.26646053854457,-19.091857055549315,-18.940321128121525
16,65536,20,4,0.11,131072.0,3.7156553961332213,8.0,5.859130070119543,3.565280403344783,-0.08410484708168553,0.5000032188136595,-11007.311067966366,-54935.9256398809,6.1268823280199545,64.0,-23.266442365159268,-19.67681955627047,-19.561700290115876
18,262144,18,0,0.11,524288.0,6.885679465251168,9.0,31.624917422664435,6.320266973183886,-0.08410484708168553,0.5000032188136595,-44076.68261409107,-219772.77219057397,31.624917457475373,64.0,-21.25675474631328,-16.506795487152523,-16.454151768386886
18,262144,19,1,0.11,524288.0,6.300716964530011,9.0,22.323795240483886,5.73530447246273,-0.08410484708168553,0.5000032188136595,-44076.68261409107,-219772.77219057397,22.323809880414938,64.0,-22.256750172011206,-17.09175798787368,-17.052096082300462
18,262144,20,2,0.11,524288.0,5.715754463808855,9.0,13.568748153797594,5.1503419717415735,-0.08410484708168553,0.5000032188136595,-44076.68261409107,-219772.77219057397,13.572958791203307,64.0,-23.25674559769922,-17.676720488594835,-17.646872213017694
18,262144,21,3,0.11,524288.0,5.130791963087699,9.0,8.039964217148016,4.565379471020417,-0.08410484708168553,0.5000032188136595,-44076.68261409107,-219772.77219057397,8.164238399874934,64.0,-24.25674102337733,-18.261682989315993,-18.239239017682543
18,262144,22,4,0.11,524288.0,4.545829462366543,9.0,6.661565104732333,3.980416970299261,-0.08410484708168553,0.5000032188136595,-44076.68261409107,-219772.77219057397,6.870603146806946,64.0,-25.256736449045533,-18.84664549003715,-18.829779809322055
20,1048576,20,0,0.11,2097152.0,7.715779229664858,10.0,35.17748360313335,6.735329238318733,-0.08410484708168553,0.5000032188136595,-176360.16881536614,-879126.1572927875,35.17748360708914,64.0,-23.246821919110584,-15.676695722738833,-15.669123919593194
20,1048576,21,1,0.11,2097152.0,7.130816728943702,10.0,24.876327101350952,6.150366737597576,-0.08410484708168553,0.5000032188136595,-176360.16881536614,-879126.1572927875,24.876330428699305,64.0,-24.24682076761801,-16.26165822345999,-16.25597564424142
20,1048576,22,2,0.11,2097152.0,6.545854228222546,10.0,15.117902941416,5.56540423687642,-0.08410484708168553,0.5000032188136595,-176360.16881536614,-879126.1572927875,15.119822922179132,64.0,-25.246819616124817,-16.846620724181147,-16.842356689349398
20,1048576,23,3,0.11,2097152.0,5.960891727501389,10.0,8.861589295105105,4.980441736155264,-0.08410484708168553,0.5000032188136595,-176360.16881536614,-879126.1572927875,8.956321167117888,64.0,-26.246818464630994,-17.4315832249023,-17.428384015297738
20,1048576,24,4,0.11,2097152.0,5.375929226780233,10.0,7.427020098295399,4.395479235434107,-0.08410484708168553,0.5000032188136595,-176360.16881536614,-879126.1572927875,7.593474419350772,64.0,-27.246817313136543,-18.01654572562346,-18.014145651659224
