k,k_eff,N,delta,d,sigma,block_bits,blocks,d0,h_max,model,singleton_volume,total_log2,margin_bits,peak_h,peak_term_log2,peak_outer_log2,peak_inner_log2
1048576,1048576,2097152,0.106,222298,32,128,8192,30,180,random-like,0,-37.136296,37.136296,30,-39.879738,27.255202,-67.134939
1048576,1048576,2097152,0.106,222298,32,128,8192,32,180,random-like,0,-37.603394,37.603394,32,-40.341314,31.269255,-71.610569
1048576,1048576,2097152,0.106,222298,32,128,8192,34,180,random-like,0,-38.072611,38.072611,34,-40.802884,35.283309,-76.086193
1048576,1048576,2097152,0.106,222298,32,128,8192,36,180,random-like,0,-38.544791,38.544791,36,-41.264445,39.297363,-80.561808
1048576,1048576,2097152,0.106,222298,32,128,8192,38,180,random-like,0,-39.021153,39.021153,38,-41.725997,43.311417,-85.037414
1048576,1048576,2097152,0.106,222298,32,128,8192,40,180,random-like,0,-39.545237,39.545237,40,-42.231931,47.281077,-89.513008
1048576,1048576,2097152,0.106,222298,32,128,8192,42,180,random-like,0,-40.077245,40.077245,42,-42.739261,51.249327,-93.988588
1048576,1048576,2097152,0.106,222298,32,128,8192,44,180,random-like,0,-40.665062,40.665062,44,-43.296984,55.167165,-98.464149
1048576,1048576,2097152,0.106,222298,32,128,8192,46,180,random-like,0,-41.293455,41.293455,46,-43.888530,59.051159,-102.939689
1048576,1048576,2097152,0.106,222298,32,128,8192,48,180,random-like,0,-41.974941,41.974941,48,-44.523319,62.891881,-107.415200
1048576,1048576,2097152,0.106,222298,32,128,8192,50,180,random-like,0,-42.753243,42.753243,50,-45.253928,66.636748,-111.890676
