k,k_eff,N,delta,d,sigma,block_bits,local_length,blocks,d0,h,outer_log2,outer_z,inner_log2,term_log2,cum_log2
1048576,1048576,2097152,0.106,222298,32,64,128,16384,22,1,-inf,,-2.237843,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,64,128,16384,22,2,-inf,,-4.475684,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,64,128,16384,22,3,-inf,,-6.713526,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,64,128,16384,22,4,-inf,,-8.951366,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,64,128,16384,22,5,-inf,,-11.189206,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,64,128,16384,22,6,-inf,,-13.427045,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,64,128,16384,22,7,-inf,,-15.664883,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,64,128,16384,22,8,-inf,,-17.902721,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,64,128,16384,22,9,-inf,,-20.140558,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,64,128,16384,22,10,-inf,,-22.378394,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,64,128,16384,22,11,-inf,,-24.616229,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,64,128,16384,22,12,-inf,,-26.854064,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,64,128,16384,22,13,-inf,,-29.091897,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,64,128,16384,22,14,-inf,,-31.329731,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,64,128,16384,22,15,-inf,,-33.567563,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,64,128,16384,22,16,-inf,,-35.805394,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,64,128,16384,22,17,-inf,,-38.043225,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,64,128,16384,22,18,-inf,,-40.281055,-inf,-inf
1048576,1048576,2097152,0.106,222298,32,64,128,16384,22,19,-inf,,-42.518884,-inf,-inf
