band0_weight,band1_weight,count
0,0,1
0,6,2
0,7,5
0,8,81
0,9,273
0,10,940
0,11,2714
0,12,7394
0,13,17579
0,14,37317
0,15,72164
0,16,125176
0,17,200766
0,18,291993
0,19,382083
0,20,458205
0,21,500598
0,22,500676
0,23,459013
0,24,381405
0,25,290045
0,26,201006
0,27,126216
0,28,72580
0,29,37359
0,30,17413
0,31,7330
0,32,2697
0,33,932
0,34,253
0,35,75
0,36,13
1,4,2
1,5,13
1,6,115
1,7,676
1,8,2847
1,9,11267
1,10,38338
1,11,115218
1,12,307199
1,13,732264
1,14,1569717
1,15,3035289
1,16,5313315
1,17,8435021
1,18,12180112
1,19,16029856
1,20,19237383
1,21,21070264
1,22,21070557
1,23,19239539
1,24,16030765
1,25,12180157
1,26,8437914
1,27,5312490
1,28,3032253
1,29,1570356
1,30,732107
1,31,306287
1,32,115793
1,33,38675
1,34,11316
1,35,2884
1,36,635
1,37,127
1,38,16
1,39,1
2,3,4
2,4,45
2,5,383
2,6,2422
2,7,13119
2,8,59214
2,9,232697
2,10,786594
2,11,2360800
2,12,6296088
2,13,15017124
2,14,32186600
2,15,62206466
2,16,108880100
2,17,172916462
2,18,249739317
2,19,328653573
2,20,394370025
2,21,431925131
2,22,431943201
2,23,394342195
2,24,328633513
2,25,249789591
2,26,172921124
2,27,108858706
2,28,62203750
2,29,32188350
2,30,15018098
2,31,6293684
2,32,2362638
2,33,787536
2,34,231317
2,35,59509
2,36,13436
2,37,2500
2,38,383
2,39,40
2,40,7
2,41,2
3,3,51
3,4,636
3,5,5068
3,6,33287
3,7,176439
3,8,796474
3,9,3091153
3,10,10497663
3,11,31474178
3,12,83953172
3,13,200236422
3,14,429059429
3,15,829508429
3,16,1451627301
3,17,2305532704
3,18,3330202883
3,19,4381811166
3,20,5258257398
3,21,5759097070
3,22,5759050519
3,23,5258153445
3,24,4381799647
3,25,3330269666
3,26,2305495101
3,27,1451593010
3,28,829564520
3,29,429071154
3,30,200217223
3,31,83961987
3,32,31482459
3,33,10494312
3,34,3084993
3,35,794907
3,36,176946
3,37,33102
3,38,5238
3,39,692
3,40,71
3,41,5
4,1,2
4,2,38
4,3,702
4,4,6623
4,5,51820
4,6,326154
4,7,1718256
4,8,7742980
4,9,30087730
4,10,102338380
4,11,307017637
4,12,818638580
4,13,1952183794
4,14,4183317453
4,15,8087677527
4,16,14153210582
4,17,22478944405
4,18,32469818048
4,19,42723110359
4,20,51267792856
4,21,56150260154
4,22,56150216553
4,23,51267841905
4,24,42723106328
4,25,32469675733
4,26,22478969708
4,27,14153328771
4,28,8087681712
4,29,4183241150
4,30,1952202775
4,31,818663889
4,32,306986134
4,33,102353389
4,34,30096546
4,35,7733795
4,36,1719941
4,37,325738
4,38,51305
4,39,6551
4,40,664
4,41,53
5,1,11
5,2,349
5,3,5068
5,4,50081
5,5,391188
5,6,2472811
5,7,13071471
5,8,58793233
5,9,228727350
5,10,777775026
5,11,2333265528
5,12,6221753000
5,13,14836539359
5,14,31792943409
5,15,61466155152
5,16,107566105901
5,17,170840315885
5,18,246768499555
5,19,324695332449
5,20,389634657380
5,21,426742709439
5,22,426742582943
5,23,389635744536
5,24,324696898149
5,25,246767872987
5,26,170839242525
5,27,107566261495
5,28,61466301820
5,29,31792815125
5,30,14836549059
5,31,6221813668
5,32,2333257051
5,33,777738068
5,34,228750116
5,35,58814275
5,36,13068919
5,37,2474105
5,38,391234
5,39,50021
5,40,4962
5,41,355
5,42,13
5,43,1
6,0,1
6,1,101
6,2,2217
6,3,30832
6,4,308705
6,5,2409570
6,6,15250069
6,7,80608945
6,8,362679197
6,9,1410610147
6,10,4796023268
6,11,14387942852
6,12,38367965661
6,13,91492912135
6,14,196056105246
6,15,379041286604
6,16,663322994925
6,17,1053512808906
6,18,1521740348053
6,19,2002290314748
6,20,2402747629217
6,21,2631582268211
6,22,2631582578584
6,23,2402748298716
6,24,2002289777587
6,25,1521739014670
6,26,1053513349187
6,27,663323873766
6,28,379041098667
6,29,196056172101
6,30,91492739818
6,31,38367820840
6,32,14388149634
6,33,4795930649
6,34,1410555382
6,35,362737160
6,36,80607126
6,37,15248735
6,38,2407947
6,39,309599
6,40,30880
6,41,2183
6,42,101
6,43,2
7,0,23
7,1,611
7,2,11763
7,3,159105
7,4,1588185
7,5,12381298
7,6,78439581
7,7,414525017
