band0_weight,band1_weight,pair_count,denominator
5,24,24027523897035,25194642458308104600
5,25,18260845388539,19147928268314159496
5,26,12642132068547,13256258031909802728
5,27,7959894917911,8346532834906172088
5,28,4548499759342,4769447334232098336
5,29,2352671192231,2466955517706257760
5,30,1097908754091,1151245908262920288
5,31,460414030756,482780542174773024
5,32,172659408691,181042703315539884
5,33,57551892410,60347567771846628
5,34,16927086584,17749284638778420
5,35,4352551135,4564101764257308
5,36,967192759,1014244836501624
5,37,183034295,191884158257064
5,38,28923340,30297498672168
5,39,3708371,3884294701560
5,40,368874,388429470156
5,41,26233,28421668548
5,42,1087,1353412788
5,43,49,31474716
6,0,197,188848296
6,1,7913,8120476728
6,2,162153,170530011288
6,3,2223687,2330576820936
6,4,22230675,23305768209360
6,5,173413606,181784992033008
6,6,1098079551,1151304949542384
6,7,5803597139,6085469019009744
6,8,26114707807,27384610585543848
6,9,101563427471,106495707832670520
6,10,345313248652,362085406631079768
6,11,1035931748904,1086256219893239304
6,12,2762492142729,2896683253048638144
6,13,6587487464553,6907475449577521728
6,14,14116036410526,14801733106237546560
6,15,27290991894328,28616684005392590016
6,16,47759239766948,50079197009437032528
6,17,75852899830181,79537548191458816368
6,18,109565318752178,114887569609884956976
6,19,144164912870877,151167854749848627600
6,20,172997879081557,181401425699818353120
6,21,189473918224081,198677751956943910560
6,22,189473899267892,198677751956943910560
6,23,172997831668308,181401425699818353120
6,24,144164856836778,151167854749848627600
6,25,109565303718941,114887569609884956976
6,26,75852948977216,79537548191458816368
6,27,47759274113153,50079197009437032528
6,28,27290986311967,28616684005392590016
6,29,14116031556395,14801733106237546560
6,30,6587477190130,6907475449577521728
6,31,2762492108676,2896683253048638144
6,32,1035940078283,1086256219893239304
6,33,345308456814,362085406631079768
6,34,101560938141,106495707832670520
6,35,26116584468,27384610585543848
6,36,5803527504,6085469019009744
6,37,1097986741,1151304949542384
6,38,173365181,181784992033008
6,39,22248957,23305768209360
6,40,2222307,2330576820936
6,41,160600,170530011288
6,42,7612,8120476728
6,43,191,188848296
7,0,1149,944241480
7,1,40369,40602383640
7,2,819697,852650056440
7,3,11112323,11652884104680
7,4,111134899,116528841046800
7,5,866700742,908924960165040
7,6,5490175359,5756524747711920
7,7,29016908771,30427345095048720
7,8,130582726991,136923052927719240
7,9,507814660775,532478539163352600
7,10,1726561597348,1810427033155398840
7,11,5179658058432,5431281099466196520
7,12,13812452955177,14483416265243190720
7,13,32937425942289,34537377247887608640
7,14,70580163569230,74008665531187732800
7,15,136455029840280,143083420026962950080
7,16,238796170915408,250395985047185162640
7,17,379264466539041,397687740957294081840
7,18,547826652295550,574437848049424784880
7,19,720824593992569,755839273749243138000
7,20,864989522806333,907007128499091765600
7,21,947369370365297,993388759784719552800
7,22,947369297094924,993388759784719552800
7,23,864989233235852,907007128499091765600
7,24,720824380218846,755839273749243138000
7,25,547826825333857,574437848049424784880
7,26,379264618573540,397687740957294081840
7,27,238796151933309,250395985047185162640
7,28,136455046042031,143083420026962950080
7,29,70580127440051,74008665531187732800
7,30,32937389358066,34537377247887608640
7,31,13812487894388,14483416265243190720
7,32,5179671231623,5431281099466196520
7,33,1726554154154,1810427033155398840
7,34,507809776745,532478539163352600
7,35,130580452796,136923052927719240
7,36,29017258648,30427345095048720
7,37,5490040709,5756524747711920
7,38,866834293,908924960165040
7,39,111064165,116528841046800
7,40,11104799,11652884104680
7,41,818684,852650056440
7,42,39264,40602383640
7,43,1067,944241480
8,0,3217,4013026290
8,1,162195,172560130470
8,2,3456539,3623762739870
8,3,47165344,49524757444890
8,4,472213721,495247574448900
8,5,3683744401,3862931080701420
8,6,23331136488,24465230177775660
8,7,123325174967,129316216653957060
8,8,554969326950,581922974942806770
8,9,2158201081394,2263033791444248550
8,10,7337868334975,7694314890910445070
8,11,22013590748148,23082944672731335210
8,12,58702944529647,61554519127283560560
8,13,139984009924791,146783853303522336720
8,14,299965721699428,314536828507547864400
8,15,579933710032937,608104535114592537840
8,16,1014883917698916,1064182936450536941220
8,17,1611874425862756,1690172899068499847820
8,18,2328263227466489,2441360854210055335740
8,19,3063504328405579,3212316913434283336500
8,20,3676204836901561,3854780296121140003800
8,21,4026319219234245,4221902229085058099400
8,22,4026319691788732,4221902229085058099400
8,23,3676205423468497,3854780296121140003800
8,24,3063504311571558,3212316913434283336500
8,25,2328263108940798,2441360854210055335740
8,26,1611874362036561,1690172899068499847820
8,27,1014883810049689,1064182936450536941220
8,28,579933715705749,608104535114592537840
8,29,299965720935413,314536828507547864400
8,30,139983979156052,146783853303522336720
8,31,58702969317679,61554519127283560560
8,32,22013610789251,23082944672731335210
8,33,7337872685929,7694314890910445070
8,34,2158199136568,2263033791444248550
8,35,554966139109,581922974942806770
8,36,123325881770,129316216653957060
8,37,23331481278,24465230177775660
8,38,3684021732,3862931080701420
8,39,472231424,495247574448900
8,40,47231740,49524757444890
8,41,3461808,3623762739870
8,42,164516,172560130470
8,43,3779,4013026290
9,0,13225,14714429730
9,1,602781,632720478390
9,2,12654211,13287130046190
9,3,173191220,181590777297930
9,4,1731768613,1815907772979300
9,5,13507918415,14164080629238540
9,6,85550404572,89705843985177420
9,7,452198619373,474159461064509220
9,8,2034861516764,2133717574790291490
9,9,7913372568238,8297790568628911350
9,10,26905494800177,28212487933338298590
9,11,80716651079594,84637463800014895770
9,12,215244242985507,225699903466706388720
9,13,513274528984533,538207462112915234640
9,14,1099874327913366,1153301704527675502800
9,15,2126423405166109,2229716628753505972080
9,16,3721241002364744,3902004100318635451140
9,17,5910206603666676,6197300629917832775340
9,18,8536964989359093,8951656465436869564380
9,19,11232848572507839,11778495349259038900500
9,20,13479417684515669,14134194419110846680600
9,21,14763172056943283,15480308173311879697800
9,22,14763172492698770,15480308173311879697800
9,23,13479418625114257,14134194419110846680600
9,24,11232849002109670,11778495349259038900500
9,25,8536964364530414,8951656465436869564380
9,26,5910206209212597,6197300629917832775340
9,27,3721241261827089,3902004100318635451140
9,28,2126423304480017,2229716628753505972080
9,29,1099874314272615,1153301704527675502800
9,30,513274744162338,538207462112915234640
9,31,215244146904315,225699903466706388720
