band0_weight,band1_weight,count
8,34,19496044647
8,35,5013319540
8,36,1114101245
8,37,210773173
8,38,33279934
8,39,4266314
8,40,426362
8,41,31331
8,42,1506
8,43,28
9,0,137
9,1,5750
9,2,121204
9,3,1655556
9,4,16594627
9,5,129417652
9,6,819634797
9,7,4332554872
9,8,19496292928
9,9,75818858702
9,10,257784043976
9,11,773354290243
9,12,2062278533544
9,13,4917735941267
9,14,10538010425081
9,15,20373492704672
9,16,35653603083216
9,17,56626306919396
9,18,81793557307169
9,19,107623100888876
9,20,129147723568876
9,21,141447503510383
9,22,141447496625535
9,23,129147727577036
9,24,107623120232328
9,25,81793561240696
9,26,56626300593653
9,27,35653598668086
9,28,20373488710204
9,29,10538010919665
9,30,4917736766163
9,31,2062276863448
9,32,773354431723
9,33,257785086342
9,34,75819267039
9,35,19496373920
9,36,4332521229
9,37,819638361
9,38,129409864
9,39,16592772
9,40,1659988
9,41,121306
9,42,5839
9,43,119
10,0,432
10,1,19825
10,2,413441
10,3,5645485
10,4,56412902
10,5,440009624
10,6,2786920063
10,7,14730764762
10,8,66287262378
10,9,257784018669
10,10,876467309566
10,11,2629405080001
10,12,7011743086804
10,13,16720307108303
10,14,35829243175333
10,15,69269858767453
10,16,121222231767069
10,17,192529455450378
10,18,278098111803001
10,19,365918535950044
10,20,439102251667574
10,21,480921535112301
10,22,480921529317773
10,23,439102261409117
10,24,365918541571443
10,25,278098092807796
10,26,192529457288145
10,27,121222242501984
10,28,69269855552144
10,29,35829242213065
10,30,16720310227139
10,31,7011741809759
10,32,2629401896459
10,33,876467749361
10,34,257785534302
10,35,66287284943
10,36,14730524256
10,37,2786890179
10,38,440024108
10,39,56412877
10,40,5645035
10,41,412627
10,42,19641
10,43,455
11,0,1286
11,1,58769
11,2,1239463
11,3,16928529
11,4,169223397
11,5,1320091122
11,6,8360644738
11,7,44191658761
11,8,198862521609
11,9,773354350140
11,10,2629406300327
11,11,7888209504174
11,12,21035224138005
11,13,50160939815230
11,14,107487706863860
11,15,207809543267905
11,16,363666736106676
11,17,577588370206901
11,18,834294318750090
11,19,1097755660110572
11,20,1317306744244791
11,21,1442764567074716
11,22,1442764615843492
11,23,1317306764451807
11,24,1097755600263258
11,25,834294292838025
11,26,577588375104422
11,27,363666748875850
11,28,207809564713111
11,29,107487708103686
11,30,50160934298308
11,31,21035228313043
11,32,7888210609398
11,33,2629403232858
11,34,773352549735
11,35,198862299811
11,36,44191743608
11,37,8360588302
11,38,1320114658
11,39,169247492
11,40,16923821
11,41,1237947
11,42,58971
11,43,1384
12,0,3705
12,1,157087
12,2,3300513
12,3,45136351
12,4,451328876
12,5,3520195088
12,6,22294960029
