series,outer_model,block_bits,dimension,message_exponent,message_bits,output_bits,outer_rows,bad_weight,step_bits,state_bits,epochs_per_region,margin_bits,dominant_weight,dominant_log_surprisal,dominant_witness_at_grid_edge,a_minimum_distance,kernel_minimum_distance,kernel_weight_four,map_tag,map_source,notes
"RM(2,5) [32,16,8] exact",fixed,32,16,20,1048576,2097152,65536,209715,64,14,1024,1.155380852400658,8,-9.1,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(3,7) [128,64,16] exact",fixed,128,64,20,1048576,2097152,16384,209715,64,14,256,9.823263332344737,16,-9.1,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(4,9) [512,256,32] exact",fixed,512,256,20,1048576,2097152,4096,209715,64,14,64,38.16369166653844,32,-8.6,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [64,32] reused",random-ensemble-average,64,32,20,1048576,2097152,32768,209715,64,14,512,0.879760720027547,7,-10.0,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [128,64] reused",random-ensemble-average,128,64,20,1048576,2097152,16384,209715,64,14,256,20.48567534239645,13,-9.4,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [512,256] reused",random-ensemble-average,512,256,20,1048576,2097152,4096,209715,64,14,64,135.24418758992346,54,-7.9,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [8,4,4] exact",fixed,8,4,16,65536,131072,16384,13107,64,16,256,2.9957007907611026,4,-7.0,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [32,16,8] exact",fixed,32,16,16,65536,131072,4096,13107,64,16,64,6.831088942823192,8,-6.1,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [128,64,22] exact",fixed,128,64,16,65536,131072,1024,13107,64,16,16,36.268860717350705,22,-5.7,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"Philips shortened-XBCH [64,32,12] exact",fixed,64,32,16,65536,131072,2048,13107,64,16,32,14.11361720518146,12,-6.2,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(1,3) [8,4,4] exact",fixed,8,4,16,65536,131072,16384,13107,64,16,256,2.9957007907611026,4,-7.0,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(2,5) [32,16,8] exact",fixed,32,16,16,65536,131072,4096,13107,64,16,64,6.831088942823192,8,-6.1,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(3,7) [128,64,16] exact",fixed,128,64,16,65536,131072,1024,13107,64,16,16,14.465731164072295,16,-6.3,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(4,9) [512,256,32] exact",fixed,512,256,16,65536,131072,256,13107,64,16,4,42.861379248060686,32,-5.8,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [64,32] reused",random-ensemble-average,64,32,16,65536,131072,2048,13107,64,16,32,5.441201780968722,7,-7.2,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [128,64] reused",random-ensemble-average,128,64,16,65536,131072,1024,13107,64,16,16,25.0837329940169,13,-6.6,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [512,256] reused",random-ensemble-average,512,256,16,65536,131072,256,13107,64,16,4,140.49196225357736,51,-5.2,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [8,4,4] exact",fixed,8,4,20,1048576,2097152,262144,209715,64,16,4096,-1.0939744463115713,4,-9.8,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [32,16,8] exact",fixed,32,16,20,1048576,2097152,65536,209715,64,16,1024,2.841580191876581,8,-8.9,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [128,64,22] exact",fixed,128,64,20,1048576,2097152,16384,209715,64,16,256,32.331591568035876,22,-8.4,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"Philips shortened-XBCH [64,32,12] exact",fixed,64,32,20,1048576,2097152,32768,209715,64,16,512,10.085776531963607,12,-8.9,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(1,3) [8,4,4] exact",fixed,8,4,20,1048576,2097152,262144,209715,64,16,4096,-1.0939744463115713,4,-9.8,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(2,5) [32,16,8] exact",fixed,32,16,20,1048576,2097152,65536,209715,64,16,1024,2.841580191876581,8,-8.9,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(3,7) [128,64,16] exact",fixed,128,64,20,1048576,2097152,16384,209715,64,16,256,10.412191997458052,16,-9.1,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(4,9) [512,256,32] exact",fixed,512,256,20,1048576,2097152,4096,209715,64,16,64,38.935961944309184,32,-8.6,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [64,32] reused",random-ensemble-average,64,32,20,1048576,2097152,32768,209715,64,16,512,1.3421466341703778,7,-10.0,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
